enrollment_id,user_id,course_id,enrollment_date,progress_pct,last_activity_date,completion_status,final_score,ai_risk_of_dropout,recommended_next_action,learning_streak_days
ENR0000074,USR041585,CRS026054,2025-09-19,27,2026-04-25,In Progress,28,0.517,Join forum discussion,163
ENR0000075,USR033850,CRS001182,2025-10-21,40,2026-05-12,In Progress,90,0.249,Schedule mentor call,83
ENR0000076,USR039775,CRS011838,2026-05-10,26,2026-04-18,In Progress,31,0.104,Continue next lesson,101
ENR0000077,USR020851,CRS022798,2026-03-27,78,2026-05-08,In Progress,42,0.529,Join forum discussion,87
ENR0000078,USR009380,CRS047347,2025-10-24,43,2026-04-17,In Progress,8,0.566,Revise weak concepts,10
ENR0000079,USR015329,CRS038829,2025-12-30,20,2026-04-18,In Progress,16,0.715,Continue next lesson,101
ENR0000080,USR043320,CRS042459,2026-02-28,18,2026-04-30,In Progress,55,0.741,Join forum discussion,10
ENR0000081,USR011540,CRS037858,2025-08-22,27,2026-05-09,In Progress,39,0.674,Revise weak concepts,13
ENR0000082,USR015139,CRS041002,2026-04-03,13,2026-03-24,In Progress,9,0.7,Schedule mentor call,49
ENR0000083,USR040923,CRS037030,2026-01-14,20,2026-03-20,In Progress,20,0.339,Schedule mentor call,43
ENR0000084,USR027769,CRS002940,2026-02-27,48,2026-03-18,In Progress,56,0.122,Schedule mentor call,127
ENR0000085,USR025834,CRS046270,2026-01-05,47,2026-04-12,In Progress,92,0.271,Take mock interview,62
ENR0000086,USR004751,CRS029405,2025-05-21,86,2026-04-24,In Progress,94,0.323,Revise weak concepts,98
ENR0000087,USR037886,CRS022359,2026-02-05,58,2026-04-03,In Progress,87,0.839,Continue next lesson,117
ENR0000088,USR026831,CRS015138,2025-05-21,70,2026-04-02,In Progress,16,0.395,Revise weak concepts,16
ENR0000089,USR033215,CRS041447,2026-04-24,80,2026-03-16,In Progress,44,0.866,Revise weak concepts,155
ENR0000090,USR039937,CRS033522,2025-10-14,85,2026-03-14,In Progress,24,0.245,Attempt assessment,75
ENR0000091,USR002847,CRS003504,2025-06-07,45,2026-03-21,In Progress,73,0.552,Revise weak concepts,109
ENR0000092,USR043201,CRS021788,2025-05-27,61,2026-04-09,In Progress,82,0.252,Revise weak concepts,148
ENR0000093,USR026547,CRS021024,2025-12-17,48,2026-05-02,In Progress,6,0.655,Take mock interview,3
ENR0000094,USR017319,CRS047248,2026-03-10,10,2026-03-31,In Progress,57,0.097,Take mock interview,165
ENR0000095,USR022677,CRS039039,2026-04-19,22,2026-04-16,In Progress,0,0.252,Attempt assessment,139
ENR0000096,USR000250,CRS011688,2025-06-22,96,2026-04-14,Completed,53,0.729,Revise weak concepts,147
ENR0000097,USR043396,CRS007639,2026-03-06,100,2026-05-12,Completed,2,0.39,Attempt assessment,25
ENR0000098,USR013228,CRS040868,2026-05-10,6,2026-04-09,In Progress,46,0.626,Join forum discussion,86
ENR0000099,USR009766,CRS023659,2025-09-14,32,2026-04-02,In Progress,10,0.082,Revise weak concepts,132
ENR0000100,USR005282,CRS040677,2026-04-03,31,2026-03-15,In Progress,32,0.439,Revise weak concepts,111
ENR0000101,USR046869,CRS035574,2026-04-09,13,2026-04-29,In Progress,17,0.761,Schedule mentor call,85
ENR0000102,USR015546,CRS021759,2026-01-21,92,2026-05-07,In Progress,24,0.559,Join forum discussion,153
ENR0000103,USR002011,CRS025127,2026-03-12,9,2026-03-31,In Progress,29,0.532,Join forum discussion,28
ENR0000104,USR033837,CRS034059,2025-07-31,64,2026-04-02,In Progress,58,0.376,Schedule mentor call,96
ENR0000105,USR048093,CRS002429,2026-05-07,47,2026-05-04,In Progress,93,0.184,Take mock interview,113
ENR0000106,USR000873,CRS019633,2026-04-27,86,2026-04-27,In Progress,37,0.589,Revise weak concepts,172
ENR0000107,USR019193,CRS039323,2025-09-19,95,2026-04-11,Completed,10,0.775,Join forum discussion,118
ENR0000108,USR023089,CRS027441,2025-06-29,26,2026-04-17,In Progress,18,0.44,Schedule mentor call,18
ENR0000109,USR033893,CRS011453,2025-07-15,50,2026-03-22,In Progress,41,0.613,Schedule mentor call,100
ENR0000110,USR020592,CRS040510,2025-08-09,75,2026-05-07,In Progress,42,0.058,Take mock interview,16
ENR0000111,USR014732,CRS017304,2025-08-11,16,2026-04-30,In Progress,33,0.509,Attempt assessment,83
ENR0000112,USR011986,CRS007140,2025-10-27,20,2026-03-27,In Progress,48,0.078,Revise weak concepts,157
ENR0000113,USR047443,CRS036921,2025-05-20,95,2026-04-22,Completed,89,0.101,Join forum discussion,65
ENR0000114,USR032524,CRS029770,2026-03-24,29,2026-03-20,In Progress,35,0.807,Join forum discussion,49
ENR0000115,USR049423,CRS046679,2025-12-09,75,2026-04-22,In Progress,97,0.273,Schedule mentor call,166
ENR0000116,USR033464,CRS027407,2026-03-12,33,2026-04-28,In Progress,82,0.206,Attempt assessment,96
ENR0000117,USR048535,CRS006385,2025-11-06,66,2026-05-01,In Progress,59,0.687,Attempt assessment,11
ENR0000118,USR009194,CRS041936,2026-02-01,56,2026-03-17,In Progress,24,0.11,Revise weak concepts,119
ENR0000119,USR028205,CRS010283,2026-01-14,27,2026-03-31,In Progress,47,0.472,Continue next lesson,46
ENR0000120,USR034207,CRS027163,2025-12-22,43,2026-05-02,In Progress,87,0.188,Schedule mentor call,126
ENR0000121,USR011557,CRS013470,2025-09-03,26,2026-05-05,In Progress,37,0.845,Revise weak concepts,110
ENR0000122,USR033091,CRS017426,2025-08-17,88,2026-04-04,In Progress,12,0.758,Revise weak concepts,69
ENR0000123,USR030234,CRS042205,2025-09-10,53,2026-04-14,In Progress,97,0.395,Join forum discussion,35
ENR0000124,USR013036,CRS009417,2025-08-10,100,2026-04-05,Completed,27,0.315,Schedule mentor call,106
ENR0000125,USR034570,CRS010812,2025-05-30,35,2026-05-11,In Progress,94,0.642,Take mock interview,85
ENR0000126,USR005539,CRS025281,2025-11-09,31,2026-05-06,In Progress,17,0.045,Attempt assessment,173
ENR0000127,USR045313,CRS049841,2025-12-06,60,2026-04-15,In Progress,38,0.9,Attempt assessment,45
ENR0000128,USR042343,CRS014781,2025-09-15,50,2026-04-05,In Progress,76,0.218,Take mock interview,46
ENR0000129,USR013981,CRS030667,2026-05-12,45,2026-05-10,In Progress,73,0.09,Revise weak concepts,30
ENR0000130,USR039238,CRS012614,2026-05-07,23,2026-04-20,In Progress,69,0.456,Join forum discussion,156
ENR0000131,USR009375,CRS007931,2025-07-23,43,2026-05-02,In Progress,25,0.503,Take mock interview,122
ENR0000132,USR030987,CRS032786,2026-01-24,57,2026-03-24,In Progress,27,0.515,Continue next lesson,62
ENR0000133,USR024660,CRS022036,2025-11-03,96,2026-04-11,Completed,23,0.754,Join forum discussion,23
ENR0000134,USR012913,CRS028321,2026-02-14,84,2026-04-15,In Progress,62,0.44,Continue next lesson,127
ENR0000135,USR047678,CRS011110,2025-07-03,1,2026-04-13,In Progress,21,0.169,Revise weak concepts,40
ENR0000136,USR022066,CRS026341,2025-09-16,23,2026-04-26,In Progress,39,0.762,Take mock interview,41
ENR0000137,USR042729,CRS021173,2026-04-13,96,2026-05-08,Completed,100,0.189,Revise weak concepts,45
ENR0000138,USR049848,CRS015410,2025-11-03,87,2026-03-23,In Progress,11,0.82,Take mock interview,59
ENR0000139,USR030504,CRS023486,2026-03-13,80,2026-04-16,In Progress,83,0.791,Revise weak concepts,84
ENR0000140,USR011427,CRS022481,2025-06-30,95,2026-04-01,Completed,11,0.372,Attempt assessment,123
ENR0000141,USR026752,CRS049559,2025-11-07,22,2026-03-30,In Progress,83,0.746,Schedule mentor call,143
ENR0000142,USR042931,CRS001378,2026-03-31,92,2026-03-20,In Progress,57,0.499,Continue next lesson,135
ENR0000143,USR024360,CRS012882,2026-04-29,98,2026-05-02,Completed,11,0.293,Attempt assessment,112
ENR0000144,USR048296,CRS035322,2025-05-25,98,2026-03-18,Completed,3,0.229,Continue next lesson,160
ENR0000145,USR017181,CRS038410,2025-11-09,59,2026-03-26,In Progress,6,0.426,Join forum discussion,57
ENR0000146,USR000886,CRS041980,2025-10-05,85,2026-03-30,In Progress,38,0.503,Continue next lesson,16
ENR0000147,USR024734,CRS034453,2025-10-31,32,2026-03-23,In Progress,84,0.251,Continue next lesson,141
ENR0000148,USR023565,CRS018817,2025-08-03,91,2026-05-03,In Progress,25,0.424,Take mock interview,142
ENR0000149,USR049047,CRS031161,2026-03-28,83,2026-03-31,In Progress,64,0.172,Revise weak concepts,44
ENR0000150,USR009698,CRS039820,2026-02-20,97,2026-04-10,Completed,92,0.776,Take mock interview,12
ENR0000151,USR018992,CRS012671,2025-07-13,39,2026-03-15,In Progress,60,0.429,Revise weak concepts,62
ENR0000152,USR049221,CRS010602,2025-10-06,14,2026-05-04,In Progress,26,0.321,Attempt assessment,126
ENR0000153,USR011105,CRS047450,2025-11-28,77,2026-04-04,In Progress,36,0.218,Revise weak concepts,54
ENR0000154,USR020598,CRS044884,2025-06-07,69,2026-05-05,In Progress,91,0.063,Take mock interview,22
ENR0000155,USR026719,CRS018096,2026-04-12,90,2026-04-20,In Progress,7,0.808,Revise weak concepts,49
ENR0000156,USR027996,CRS031273,2025-09-08,39,2026-05-09,In Progress,78,0.491,Schedule mentor call,41
ENR0000157,USR045683,CRS032732,2025-10-05,48,2026-04-09,In Progress,55,0.561,Join forum discussion,128
ENR0000158,USR019168,CRS022354,2025-10-29,0,2026-03-22,Not Started,10,0.347,Continue next lesson,71
ENR0000159,USR025292,CRS037135,2025-12-09,3,2026-05-03,In Progress,23,0.607,Schedule mentor call,153
ENR0000160,USR028246,CRS002475,2025-06-13,83,2026-03-29,In Progress,32,0.598,Take mock interview,71
ENR0000161,USR012767,CRS031012,2025-07-31,43,2026-04-16,In Progress,50,0.55,Schedule mentor call,77
ENR0000162,USR017157,CRS039900,2025-10-25,34,2026-04-26,In Progress,71,0.541,Attempt assessment,17
ENR0000163,USR022879,CRS037395,2026-02-04,76,2026-03-16,In Progress,79,0.496,Take mock interview,2
ENR0000164,USR002222,CRS017930,2025-10-20,62,2026-03-20,In Progress,71,0.84,Join forum discussion,38
ENR0000165,USR028775,CRS035170,2025-05-20,87,2026-03-28,In Progress,16,0.784,Take mock interview,51
ENR0000166,USR000918,CRS036586,2025-08-06,29,2026-04-20,In Progress,45,0.289,Schedule mentor call,53
ENR0000167,USR015926,CRS031097,2026-05-12,82,2026-03-20,In Progress,51,0.879,Schedule mentor call,89
ENR0000168,USR010479,CRS020638,2026-04-13,20,2026-05-04,In Progress,5,0.179,Continue next lesson,44
ENR0000169,USR044654,CRS004543,2026-02-07,17,2026-05-06,In Progress,49,0.138,Take mock interview,81
ENR0000170,USR026393,CRS042410,2025-10-15,63,2026-04-21,In Progress,48,0.486,Revise weak concepts,153
ENR0000171,USR000081,CRS032490,2025-10-16,80,2026-04-28,In Progress,66,0.188,Schedule mentor call,160
ENR0000172,USR043317,CRS027685,2026-02-16,94,2026-04-23,In Progress,64,0.117,Schedule mentor call,129
ENR0000173,USR018973,CRS042872,2025-06-05,37,2026-04-16,In Progress,46,0.659,Schedule mentor call,22
ENR0000174,USR039008,CRS021994,2025-05-15,87,2026-05-11,In Progress,91,0.685,Revise weak concepts,88
ENR0000175,USR036908,CRS008468,2025-08-13,75,2026-04-11,In Progress,59,0.323,Take mock interview,140
ENR0000176,USR049108,CRS019889,2025-09-25,30,2026-05-07,In Progress,3,0.77,Schedule mentor call,38
ENR0000177,USR007543,CRS042710,2025-11-18,23,2026-03-15,In Progress,22,0.134,Revise weak concepts,17
ENR0000178,USR019191,CRS044875,2025-05-28,34,2026-04-27,In Progress,32,0.672,Join forum discussion,115
ENR0000179,USR043792,CRS018990,2026-03-27,37,2026-03-15,In Progress,58,0.673,Take mock interview,30
ENR0000180,USR017110,CRS022874,2025-08-18,84,2026-04-27,In Progress,3,0.413,Continue next lesson,132
ENR0000181,USR009692,CRS026191,2026-01-06,33,2026-03-22,In Progress,80,0.947,Take mock interview,98
ENR0000182,USR005998,CRS040399,2025-06-01,33,2026-04-18,In Progress,14,0.561,Revise weak concepts,73
ENR0000183,USR013624,CRS028289,2025-11-15,20,2026-04-28,In Progress,14,0.714,Take mock interview,17
ENR0000184,USR037995,CRS042796,2025-11-02,23,2026-05-12,In Progress,97,0.09,Continue next lesson,57
ENR0000185,USR041673,CRS003777,2026-05-01,95,2026-04-28,Completed,29,0.187,Revise weak concepts,33
ENR0000186,USR031369,CRS016721,2025-06-13,10,2026-03-25,In Progress,16,0.034,Schedule mentor call,14
ENR0000187,USR001945,CRS000061,2026-02-08,63,2026-05-06,In Progress,73,0.574,Take mock interview,20
ENR0000188,USR006090,CRS041798,2025-05-17,26,2026-04-20,In Progress,60,0.236,Attempt assessment,169
ENR0000189,USR014779,CRS011362,2025-09-25,93,2026-03-27,In Progress,47,0.397,Continue next lesson,169
ENR0000190,USR031335,CRS023841,2025-07-03,17,2026-04-04,In Progress,16,0.073,Attempt assessment,164
ENR0000191,USR004345,CRS000544,2025-06-14,45,2026-05-03,In Progress,33,0.208,Continue next lesson,161
ENR0000192,USR029274,CRS013600,2025-05-19,54,2026-04-23,In Progress,78,0.091,Join forum discussion,64
ENR0000193,USR000311,CRS048076,2026-03-26,52,2026-04-04,In Progress,17,0.223,Schedule mentor call,19
ENR0000194,USR005660,CRS013480,2025-10-20,64,2026-04-28,In Progress,67,0.146,Schedule mentor call,114
ENR0000195,USR044618,CRS043597,2025-12-01,63,2026-04-02,In Progress,62,0.527,Revise weak concepts,152
ENR0000196,USR021004,CRS009986,2025-06-10,76,2026-04-18,In Progress,43,0.67,Schedule mentor call,144
ENR0000197,USR039691,CRS032745,2025-11-08,3,2026-04-04,In Progress,33,0.427,Schedule mentor call,177
ENR0000198,USR029102,CRS034597,2025-09-05,74,2026-03-22,In Progress,38,0.59,Schedule mentor call,21
ENR0000199,USR011996,CRS017731,2025-08-26,14,2026-04-28,In Progress,54,0.055,Attempt assessment,155
ENR0000200,USR015438,CRS026081,2026-02-20,98,2026-05-04,Completed,54,0.321,Schedule mentor call,87
ENR0000201,USR023429,CRS026364,2026-01-04,65,2026-04-20,In Progress,8,0.907,Schedule mentor call,51
ENR0000202,USR003268,CRS022665,2025-08-28,80,2026-04-24,In Progress,56,0.141,Join forum discussion,89
ENR0000203,USR043694,CRS038881,2025-12-11,65,2026-03-28,In Progress,73,0.744,Revise weak concepts,30
ENR0000204,USR027063,CRS049384,2025-11-28,16,2026-03-14,In Progress,56,0.65,Continue next lesson,9
ENR0000205,USR013508,CRS036029,2025-09-06,53,2026-03-21,In Progress,81,0.808,Attempt assessment,97
ENR0000206,USR038054,CRS032188,2025-08-11,49,2026-04-02,In Progress,60,0.031,Join forum discussion,122
ENR0000207,USR035526,CRS001677,2025-09-26,53,2026-04-03,In Progress,67,0.476,Join forum discussion,115
ENR0000208,USR038599,CRS036603,2026-02-17,22,2026-03-27,In Progress,54,0.13,Schedule mentor call,81
ENR0000209,USR047322,CRS021777,2026-05-07,74,2026-03-14,In Progress,43,0.926,Join forum discussion,122
ENR0000210,USR047751,CRS000208,2026-02-04,92,2026-04-15,In Progress,49,0.947,Take mock interview,132
ENR0000211,USR018972,CRS025592,2026-03-29,67,2026-04-01,In Progress,34,0.877,Take mock interview,163
ENR0000212,USR047086,CRS009958,2026-04-21,70,2026-05-05,In Progress,18,0.227,Continue next lesson,4
ENR0000213,USR005789,CRS008915,2026-02-26,4,2026-04-21,In Progress,45,0.067,Schedule mentor call,62
ENR0000214,USR027084,CRS028668,2026-04-04,2,2026-04-17,In Progress,51,0.417,Join forum discussion,52
ENR0000215,USR018369,CRS044775,2026-01-27,92,2026-04-11,In Progress,27,0.502,Join forum discussion,168
ENR0000216,USR006275,CRS030031,2025-08-03,22,2026-05-03,In Progress,52,0.141,Join forum discussion,55
ENR0000217,USR039048,CRS036561,2025-11-20,43,2026-04-25,In Progress,5,0.606,Attempt assessment,67
ENR0000218,USR028847,CRS010365,2025-06-03,28,2026-03-24,In Progress,31,0.05,Take mock interview,165
ENR0000219,USR001965,CRS031132,2025-09-10,62,2026-04-23,In Progress,3,0.861,Schedule mentor call,102
ENR0000220,USR010072,CRS017418,2025-06-25,3,2026-04-15,In Progress,41,0.703,Continue next lesson,164
ENR0000221,USR023440,CRS029142,2026-03-11,13,2026-04-14,In Progress,31,0.498,Continue next lesson,177
ENR0000222,USR040506,CRS001866,2026-02-07,61,2026-04-13,In Progress,52,0.051,Revise weak concepts,127
ENR0000223,USR002480,CRS047377,2025-09-19,28,2026-04-27,In Progress,11,0.658,Schedule mentor call,109
ENR0000224,USR036433,CRS023545,2026-02-22,63,2026-05-12,In Progress,53,0.278,Take mock interview,130
ENR0000225,USR043487,CRS005146,2026-01-25,67,2026-03-14,In Progress,89,0.694,Continue next lesson,118
ENR0000226,USR011118,CRS024726,2026-01-26,8,2026-03-28,In Progress,20,0.841,Take mock interview,180
ENR0000227,USR001894,CRS038822,2025-10-14,4,2026-03-15,In Progress,35,0.59,Attempt assessment,6
ENR0000228,USR029613,CRS006048,2026-01-12,33,2026-04-09,In Progress,2,0.439,Revise weak concepts,6
ENR0000229,USR031896,CRS028306,2026-02-20,6,2026-04-24,In Progress,27,0.78,Schedule mentor call,66
ENR0000230,USR015753,CRS007647,2026-02-03,77,2026-04-01,In Progress,60,0.8,Attempt assessment,84
ENR0000231,USR044343,CRS038706,2025-09-23,59,2026-05-06,In Progress,8,0.229,Attempt assessment,51
ENR0000232,USR037273,CRS039817,2026-03-27,71,2026-04-27,In Progress,11,0.315,Join forum discussion,52
ENR0000233,USR040323,CRS030903,2025-06-23,2,2026-04-07,In Progress,16,0.653,Revise weak concepts,6
ENR0000234,USR013877,CRS007854,2025-10-31,57,2026-04-16,In Progress,83,0.92,Take mock interview,64
ENR0000235,USR040725,CRS014645,2025-06-30,58,2026-04-20,In Progress,54,0.095,Schedule mentor call,43
ENR0000236,USR045630,CRS014318,2026-01-03,30,2026-05-12,In Progress,71,0.048,Continue next lesson,3
ENR0000237,USR024035,CRS011680,2025-12-06,99,2026-05-06,Completed,47,0.446,Join forum discussion,59
ENR0000238,USR043345,CRS046941,2025-07-25,2,2026-04-28,In Progress,60,0.208,Schedule mentor call,140
ENR0000239,USR030182,CRS037847,2025-09-12,53,2026-05-05,In Progress,44,0.15,Join forum discussion,87
ENR0000240,USR021174,CRS011143,2026-03-22,56,2026-04-17,In Progress,45,0.821,Revise weak concepts,164
ENR0000241,USR027888,CRS049513,2025-06-14,87,2026-03-20,In Progress,17,0.932,Revise weak concepts,8
ENR0000242,USR047735,CRS036493,2025-09-18,85,2026-03-26,In Progress,20,0.451,Schedule mentor call,27
ENR0000243,USR048469,CRS041016,2026-01-18,97,2026-05-05,Completed,41,0.129,Attempt assessment,52
ENR0000244,USR025387,CRS038941,2026-02-12,42,2026-03-26,In Progress,86,0.744,Join forum discussion,75
ENR0000245,USR034392,CRS018356,2025-09-02,53,2026-05-10,In Progress,37,0.397,Continue next lesson,102
ENR0000246,USR046285,CRS048961,2025-05-18,61,2026-04-22,In Progress,82,0.203,Revise weak concepts,87
ENR0000247,USR011473,CRS008880,2025-12-11,60,2026-04-09,In Progress,75,0.812,Join forum discussion,175
ENR0000248,USR035915,CRS031084,2025-08-08,37,2026-04-15,In Progress,9,0.426,Schedule mentor call,90
ENR0000249,USR025267,CRS007024,2025-07-01,43,2026-04-26,In Progress,22,0.826,Attempt assessment,141
ENR0000250,USR028688,CRS043542,2025-07-01,18,2026-04-05,In Progress,60,0.155,Take mock interview,15
ENR0000251,USR011518,CRS009064,2025-08-05,48,2026-04-03,In Progress,24,0.59,Join forum discussion,37
