enterprise_id,enterprise_name,industry,city,country,employee_count,subscription_plan,created_at
ENT00092,Global Industries 92,Automotive,New York,USA,879,Enterprise,2025-09-26
ENT00093,Data Group 93,Government,New York,UK,46404,Starter,2025-08-01
ENT00094,Skill Labs 94,Energy,Kuala Lumpur,Malaysia,31736,Enterprise,2025-08-02
ENT00095,Insight Labs 95,Government,Hyderabad,India,18329,Enterprise,2025-01-17
ENT00096,NextGen Group 96,Government,Pune,UK,21350,Starter,2025-09-24
ENT00097,Future Consulting 97,Healthcare,Chennai,USA,39119,Professional,2025-12-03
ENT00098,Nova University 98,BFSI,Hyderabad,Singapore,26685,Enterprise,2025-12-02
ENT00099,Future Academy 99,Telecom,Ahmedabad,India,6148,Professional,2024-12-25
ENT00100,Prime University 100,Healthcare,New York,Malaysia,24234,Enterprise,2025-11-30
ENT00101,Tech Consulting 101,Retail,Singapore,Malaysia,21728,Professional,2026-05-02
ENT00102,NextGen Labs 102,Healthcare,Delhi,UAE,7957,Starter,2025-04-01
ENT00103,Data Bank 103,Education,Hyderabad,Singapore,31782,Professional,2026-01-06
ENT00104,Tech Labs 104,BFSI,Hyderabad,USA,14958,Professional,2024-11-12
ENT00105,Apex Systems 105,Automotive,Bengaluru,USA,3032,Free Trial,2025-11-30
ENT00106,Apex Bank 106,Telecom,Mumbai,India,37671,Professional,2025-09-05
ENT00107,NextGen Academy 107,Government,Bengaluru,India,16596,Enterprise,2024-09-06
ENT00108,Data Group 108,Telecom,Mumbai,Malaysia,41301,Free Trial,2024-10-15
ENT00109,Skill Labs 109,BFSI,Hyderabad,India,36623,Enterprise,2026-01-23
ENT00110,Insight University 110,Automotive,Kolkata,UK,29064,Professional,2026-01-05
ENT00111,Prime Labs 111,Energy,London,India,40002,Free Trial,2024-12-11
ENT00112,Future Labs 112,BFSI,Bengaluru,UAE,11441,Government,2024-07-28
ENT00113,Skill Systems 113,Retail,Ahmedabad,Singapore,38966,Enterprise,2025-03-07
ENT00114,Nova University 114,Healthcare,Singapore,USA,46120,Enterprise,2024-07-24
ENT00115,Future Labs 115,Energy,New York,UAE,27911,Free Trial,2025-11-21
ENT00116,Future Bank 116,Healthcare,Bengaluru,India,3958,Starter,2025-03-23
ENT00117,Insight Labs 117,Telecom,Mumbai,UK,45183,Professional,2026-04-29
ENT00118,Prime Labs 118,Automotive,Dubai,UK,28738,Free Trial,2026-01-15
ENT00119,Nova Group 119,Government,London,USA,1745,Free Trial,2025-01-02
ENT00120,Insight Systems 120,Healthcare,London,India,49612,Starter,2025-09-06
ENT00121,Tech Academy 121,Healthcare,Bengaluru,Malaysia,28616,Enterprise,2024-08-14
ENT00122,NextGen Consulting 122,Retail,Chennai,USA,43967,Free Trial,2024-10-24
ENT00123,Global Group 123,Telecom,Delhi,Singapore,26294,Government,2024-06-19
ENT00124,NextGen Industries 124,Government,Delhi,USA,7647,Enterprise,2025-10-21
ENT00125,Nova Academy 125,Retail,Pune,UAE,34026,Professional,2026-02-09
ENT00126,NextGen Academy 126,IT Services,Hyderabad,USA,36043,Starter,2025-03-03
ENT00127,NextGen Academy 127,BFSI,Pune,Singapore,39953,Starter,2026-05-09
ENT00128,Skill Labs 128,Automotive,Pune,Malaysia,26788,Free Trial,2024-12-29
ENT00129,Data Academy 129,BFSI,New York,UAE,32711,Professional,2025-10-16
ENT00130,Apex Group 130,Telecom,Ahmedabad,UAE,29985,Government,2024-10-08
ENT00131,Prime University 131,Energy,Dubai,Singapore,8996,Free Trial,2025-02-19
ENT00132,Prime Consulting 132,Automotive,Delhi,India,18586,Professional,2026-01-04
ENT00133,Insight Academy 133,Manufacturing,Ahmedabad,Malaysia,31791,Professional,2025-04-18
ENT00134,Tech Group 134,Telecom,Chennai,UAE,45761,Starter,2025-12-19
ENT00135,Prime University 135,Retail,Pune,USA,48854,Enterprise,2026-05-05
ENT00136,Prime Group 136,Manufacturing,Ahmedabad,India,8323,Government,2026-01-07
ENT00137,Global Industries 137,Telecom,Mumbai,Malaysia,29995,Free Trial,2024-10-07
ENT00138,Prime Bank 138,BFSI,Ahmedabad,USA,22237,Government,2026-04-22
ENT00139,Prime Industries 139,Government,New York,Malaysia,24954,Professional,2026-02-13
ENT00140,NextGen Systems 140,Energy,Mumbai,UAE,41413,Professional,2024-12-31
ENT00141,Data Group 141,BFSI,Kuala Lumpur,Singapore,46180,Free Trial,2025-08-10
ENT00142,Skill Labs 142,IT Services,Pune,USA,3727,Professional,2025-05-15
ENT00143,Global Group 143,Manufacturing,Hyderabad,Malaysia,27054,Government,2026-04-11
ENT00144,Skill Bank 144,Manufacturing,Mumbai,Malaysia,25120,Government,2026-04-12
ENT00145,Future Academy 145,Energy,Bengaluru,UAE,30271,Professional,2025-08-26
ENT00146,Apex Systems 146,Telecom,Delhi,Singapore,35871,Starter,2024-07-27
ENT00147,NextGen Consulting 147,Energy,Delhi,Singapore,27857,Professional,2025-08-23
ENT00148,Apex University 148,Retail,Ahmedabad,India,15595,Enterprise,2025-12-19
ENT00149,Global Labs 149,Healthcare,Pune,Singapore,25989,Professional,2024-05-21
ENT00150,Insight Systems 150,Energy,Singapore,UK,18806,Starter,2026-01-24
ENT00151,Global University 151,Education,London,USA,44467,Starter,2026-02-15
ENT00152,Data Systems 152,Healthcare,Kuala Lumpur,UK,2236,Government,2025-05-21
ENT00153,Skill Industries 153,Healthcare,Chennai,Singapore,27280,Starter,2024-12-04
ENT00154,Skill Consulting 154,Automotive,Dubai,USA,10833,Professional,2025-09-18
ENT00155,Apex Consulting 155,BFSI,Ahmedabad,India,9274,Starter,2026-04-05
ENT00156,Prime Consulting 156,BFSI,Kuala Lumpur,UK,962,Professional,2025-11-13
ENT00157,Data Academy 157,Government,New York,Singapore,44112,Professional,2026-01-01
ENT00158,Prime Consulting 158,BFSI,New York,UAE,30948,Free Trial,2026-02-06
ENT00159,Tech Consulting 159,Energy,Hyderabad,Singapore,4192,Enterprise,2026-04-30
ENT00160,Apex Group 160,BFSI,Bengaluru,India,2488,Professional,2025-09-29
ENT00161,Data Industries 161,Education,Dubai,UAE,25520,Enterprise,2025-05-27
ENT00162,Tech Group 162,Energy,Singapore,Singapore,10176,Enterprise,2026-03-14
ENT00163,Data Academy 163,Energy,Kolkata,USA,2194,Professional,2024-12-21
ENT00164,NextGen Academy 164,Education,Chennai,India,44986,Professional,2025-11-21
ENT00165,Global Systems 165,Retail,Delhi,UAE,8055,Enterprise,2024-08-14
ENT00166,Future Systems 166,IT Services,Kuala Lumpur,USA,16012,Starter,2025-12-12
ENT00167,Future Industries 167,Automotive,Hyderabad,Malaysia,14202,Starter,2025-04-14
ENT00168,Skill Systems 168,Healthcare,Bengaluru,UAE,35453,Professional,2024-11-07
ENT00169,Data Systems 169,Manufacturing,Pune,USA,15643,Government,2025-04-09
ENT00170,Nova Bank 170,Healthcare,Pune,UAE,48659,Enterprise,2025-11-02
ENT00171,Data Industries 171,Telecom,Ahmedabad,USA,33685,Government,2024-09-01
ENT00172,NextGen University 172,Energy,Pune,Singapore,43231,Government,2025-03-17
ENT00173,NextGen Systems 173,IT Services,Ahmedabad,UK,27986,Free Trial,2025-09-27
ENT00174,NextGen Industries 174,BFSI,Chennai,Malaysia,9771,Free Trial,2024-09-19
ENT00175,Apex Consulting 175,Retail,London,Malaysia,19376,Enterprise,2025-10-12
ENT00176,Insight Group 176,BFSI,Kuala Lumpur,Singapore,7548,Government,2024-12-19
ENT00177,Prime Academy 177,Education,Kolkata,USA,29770,Enterprise,2025-07-12
ENT00178,Data Consulting 178,Retail,Chennai,Singapore,16754,Professional,2024-10-16
ENT00179,NextGen Industries 179,BFSI,Mumbai,India,28353,Free Trial,2025-05-29
ENT00180,Skill Systems 180,Energy,Dubai,Malaysia,21653,Free Trial,2025-07-07
ENT00181,Global Group 181,IT Services,Delhi,Malaysia,20526,Professional,2024-08-27
ENT00182,Insight University 182,Manufacturing,New York,UK,14746,Free Trial,2025-05-06
ENT00183,Tech Consulting 183,BFSI,Kuala Lumpur,USA,37674,Starter,2025-07-26
ENT00184,Tech Systems 184,Energy,New York,Singapore,17577,Free Trial,2024-11-13
ENT00185,Apex Labs 185,Government,Chennai,India,11938,Starter,2025-12-13
ENT00186,Prime Industries 186,Manufacturing,Singapore,Singapore,2059,Free Trial,2025-11-07
ENT00187,Future Group 187,Retail,Ahmedabad,USA,10365,Professional,2025-03-28
ENT00188,Global Industries 188,IT Services,Bengaluru,UAE,49492,Government,2024-07-02
ENT00189,Data Labs 189,Telecom,New York,UK,31878,Government,2025-08-08
ENT00190,Prime Labs 190,Education,Kuala Lumpur,Malaysia,7509,Professional,2025-07-27
ENT00191,Data Labs 191,Energy,Ahmedabad,Malaysia,43771,Professional,2024-06-28
ENT00192,Future Group 192,Energy,Pune,India,13447,Professional,2024-12-15
ENT00193,Skill Labs 193,Healthcare,Chennai,India,556,Enterprise,2025-07-27
ENT00194,Skill Bank 194,Retail,Dubai,Singapore,15130,Government,2025-12-06
ENT00195,Global Industries 195,Retail,Singapore,India,28638,Free Trial,2025-08-26
ENT00196,Data Consulting 196,Energy,Kolkata,Malaysia,26554,Enterprise,2025-03-05
ENT00197,Data Group 197,IT Services,Chennai,UAE,40559,Enterprise,2026-04-19
ENT00198,Global Industries 198,Retail,Mumbai,UAE,28602,Government,2025-06-27
ENT00199,Tech Industries 199,Retail,Delhi,Singapore,22300,Starter,2025-04-19
ENT00200,Skill Industries 200,Automotive,New York,India,34823,Government,2024-11-27
ENT00201,Global Consulting 201,Manufacturing,Hyderabad,India,9647,Professional,2024-12-01
ENT00202,Skill Bank 202,BFSI,Bengaluru,Singapore,32432,Enterprise,2025-12-11
ENT00203,Insight Academy 203,Energy,New York,Singapore,40978,Professional,2026-02-14
ENT00204,Global Bank 204,Telecom,Mumbai,UK,29030,Professional,2025-02-18
ENT00205,Insight Systems 205,Government,Dubai,India,20392,Enterprise,2025-08-18
ENT00206,Nova Systems 206,Government,Delhi,India,42298,Free Trial,2026-02-01
ENT00207,Insight Group 207,Telecom,London,Malaysia,48475,Free Trial,2025-08-16
ENT00208,Insight University 208,Government,London,UK,32907,Starter,2024-07-15
ENT00209,NextGen Industries 209,Government,Singapore,India,33116,Starter,2024-06-22
ENT00210,Future Academy 210,Telecom,Dubai,Malaysia,40014,Starter,2025-05-20
ENT00211,Global Labs 211,Retail,Kolkata,USA,44542,Government,2024-07-05
ENT00212,Global Industries 212,Government,Mumbai,Malaysia,44508,Enterprise,2025-02-27
ENT00213,Apex Bank 213,Government,Mumbai,Malaysia,43540,Starter,2025-05-06
ENT00214,Apex Group 214,Manufacturing,London,Singapore,5602,Professional,2025-12-06
ENT00215,Prime Consulting 215,Manufacturing,New York,Singapore,48466,Government,2024-08-16
ENT00216,Prime Consulting 216,IT Services,Chennai,USA,11863,Starter,2025-04-27
ENT00217,NextGen University 217,Education,Bengaluru,UAE,5107,Professional,2024-08-24
ENT00218,Tech Systems 218,Government,Kuala Lumpur,Malaysia,8638,Government,2025-06-02
ENT00219,Skill Bank 219,Manufacturing,Singapore,Malaysia,10898,Enterprise,2024-06-26
ENT00220,Prime Consulting 220,Education,Ahmedabad,Malaysia,18723,Enterprise,2025-01-07
ENT00221,Tech University 221,Healthcare,Kuala Lumpur,UK,12765,Professional,2026-04-07
ENT00222,Insight Academy 222,Telecom,Kuala Lumpur,USA,25076,Government,2025-11-04
ENT00223,Prime Bank 223,Education,Kuala Lumpur,Malaysia,9120,Professional,2024-07-05
ENT00224,NextGen Consulting 224,Automotive,Mumbai,Singapore,33860,Free Trial,2025-02-28
ENT00225,Data Bank 225,Healthcare,Ahmedabad,Malaysia,9706,Enterprise,2024-08-14
ENT00226,Future Academy 226,Government,Pune,UK,3540,Enterprise,2025-10-09
ENT00227,Global University 227,Retail,Mumbai,USA,14765,Free Trial,2025-04-04
ENT00228,Data Consulting 228,Manufacturing,Bengaluru,India,18850,Enterprise,2026-04-25
ENT00229,Skill Academy 229,Telecom,London,India,5242,Free Trial,2025-01-30
ENT00230,Future Bank 230,Automotive,Singapore,Malaysia,34638,Enterprise,2024-09-03
ENT00231,Apex University 231,Healthcare,Mumbai,India,15676,Enterprise,2026-02-26
ENT00232,Insight Academy 232,BFSI,Mumbai,UK,39157,Government,2024-05-29
ENT00233,Tech University 233,Manufacturing,Delhi,UK,152,Government,2025-05-09
ENT00234,Future Group 234,Manufacturing,New York,Singapore,5660,Government,2025-05-17
ENT00235,Data Systems 235,Retail,Ahmedabad,India,41709,Enterprise,2025-05-30
ENT00236,Apex Systems 236,Government,Kuala Lumpur,India,22646,Starter,2026-03-16
ENT00237,Data Consulting 237,Manufacturing,Pune,USA,35833,Professional,2026-03-02
ENT00238,Skill Academy 238,Telecom,New York,UAE,8887,Free Trial,2025-08-24
ENT00239,Nova Labs 239,Education,Pune,UAE,2796,Professional,2025-03-26
ENT00240,Tech Group 240,Automotive,Ahmedabad,USA,2449,Starter,2025-03-01
ENT00241,Global Systems 241,Government,Delhi,India,24168,Enterprise,2025-06-26
ENT00242,NextGen Group 242,Government,Bengaluru,UK,45405,Enterprise,2025-05-24
ENT00243,Tech Labs 243,BFSI,Singapore,UK,5222,Enterprise,2026-01-19
ENT00244,Skill Labs 244,Government,Mumbai,India,21540,Professional,2025-03-22
ENT00245,NextGen Group 245,Manufacturing,Singapore,UK,23088,Enterprise,2024-06-25
ENT00246,Global Group 246,Healthcare,New York,India,4967,Enterprise,2025-05-20
ENT00247,Tech Bank 247,IT Services,Bengaluru,Malaysia,44489,Enterprise,2024-06-17
ENT00248,Skill Industries 248,Education,Kuala Lumpur,Singapore,24057,Professional,2025-06-09
ENT00249,Insight Systems 249,Energy,Bengaluru,Singapore,29536,Professional,2025-05-28
ENT00250,NextGen Industries 250,Energy,Bengaluru,Malaysia,24098,Enterprise,2025-03-30
ENT00251,Apex University 251,BFSI,Pune,Singapore,12242,Enterprise,2025-10-25
ENT00252,Prime Industries 252,Healthcare,Kuala Lumpur,USA,46189,Enterprise,2024-12-18
ENT00253,Insight Labs 253,Telecom,Hyderabad,India,8945,Free Trial,2025-08-18
ENT00254,Skill Academy 254,BFSI,Kuala Lumpur,Singapore,20994,Professional,2026-05-09
ENT00255,Data Labs 255,Healthcare,Bengaluru,Singapore,46551,Starter,2025-05-18
ENT00256,Tech University 256,BFSI,Hyderabad,UAE,15564,Enterprise,2024-06-08
ENT00257,Global Consulting 257,Telecom,Kuala Lumpur,Malaysia,8554,Government,2024-08-09
ENT00258,Data Labs 258,Retail,Singapore,Singapore,31419,Government,2025-07-07
ENT00259,Prime Industries 259,Manufacturing,Chennai,Singapore,4910,Enterprise,2025-09-02
ENT00260,Tech Consulting 260,Manufacturing,Kuala Lumpur,Malaysia,41979,Government,2024-11-15
ENT00261,Skill Group 261,Automotive,Pune,India,34004,Starter,2025-03-20
ENT00262,Skill Bank 262,Government,Singapore,UAE,22726,Government,2025-02-27
ENT00263,Data Labs 263,Education,New York,Malaysia,18036,Starter,2026-02-12
ENT00264,Apex Industries 264,Automotive,New York,UAE,38834,Government,2024-10-17
ENT00265,Skill Consulting 265,Energy,Pune,India,5373,Free Trial,2026-02-28
ENT00266,Insight Labs 266,Education,Kuala Lumpur,Malaysia,27351,Government,2026-02-26
ENT00267,Nova Academy 267,Automotive,Delhi,Singapore,19848,Enterprise,2025-01-18
ENT00268,Prime Labs 268,Telecom,Mumbai,Singapore,3976,Starter,2025-08-06
ENT00269,Prime Academy 269,Telecom,Hyderabad,USA,39808,Starter,2025-03-29
ENT00270,Global Consulting 270,Retail,Bengaluru,USA,33799,Government,2024-08-29
ENT00271,Global University 271,Telecom,Mumbai,USA,29514,Starter,2024-10-04
ENT00272,Data Systems 272,Healthcare,Kolkata,Malaysia,27452,Starter,2024-10-23
ENT00273,Global Consulting 273,Education,Kuala Lumpur,UAE,32704,Government,2025-09-03
ENT00274,NextGen Labs 274,Telecom,Pune,India,25821,Government,2025-08-24
ENT00275,Future University 275,Energy,Chennai,India,3362,Professional,2025-10-01
ENT00276,Insight Academy 276,Healthcare,Dubai,India,7094,Enterprise,2024-09-27
ENT00277,Apex Consulting 277,Retail,Chennai,India,26302,Free Trial,2025-12-17
ENT00278,Tech University 278,Government,Dubai,USA,4868,Enterprise,2025-10-11
ENT00279,NextGen Labs 279,Energy,New York,Malaysia,7836,Starter,2024-08-20
ENT00280,Prime Consulting 280,Government,Dubai,USA,49527,Starter,2024-12-02
ENT00281,Insight Group 281,Automotive,Pune,India,2600,Starter,2026-05-13
ENT00282,Global Academy 282,Automotive,Ahmedabad,UAE,39781,Government,2024-10-03
ENT00283,Global Consulting 283,Manufacturing,Kolkata,Malaysia,48502,Professional,2026-01-10
ENT00284,Global Academy 284,Energy,Delhi,UK,1140,Professional,2025-04-17
ENT00285,Data Group 285,Energy,Delhi,Singapore,45141,Free Trial,2026-01-14
ENT00286,NextGen Labs 286,Energy,London,UAE,47327,Free Trial,2025-12-31
ENT00287,NextGen Bank 287,Automotive,New York,Singapore,40665,Enterprise,2024-10-11
ENT00288,Future Systems 288,Energy,Singapore,India,12553,Free Trial,2025-08-07
ENT00289,Global Group 289,Manufacturing,Kolkata,Singapore,13412,Enterprise,2025-10-08
ENT00290,Insight Academy 290,IT Services,Singapore,UAE,34042,Starter,2025-12-08
ENT00291,Global Academy 291,Automotive,Kolkata,USA,11399,Enterprise,2025-11-09
ENT00292,Global Consulting 292,Healthcare,London,UK,12650,Starter,2025-02-22
ENT00293,Tech Labs 293,Education,Delhi,USA,46246,Starter,2026-04-19
ENT00294,NextGen Consulting 294,Telecom,Chennai,Malaysia,47344,Professional,2025-03-03
ENT00295,Data Group 295,Retail,Chennai,UAE,19085,Free Trial,2025-03-03
ENT00296,Data Consulting 296,Telecom,New York,USA,49027,Enterprise,2024-12-18
ENT00297,Future Labs 297,Automotive,Singapore,USA,9046,Free Trial,2026-02-02
ENT00298,Insight University 298,Education,Pune,Singapore,34852,Starter,2026-02-25
ENT00299,Future Systems 299,BFSI,Kolkata,USA,47062,Enterprise,2024-08-23
ENT00300,Skill Systems 300,Automotive,Bengaluru,UK,42837,Enterprise,2025-09-13
ENT00301,Future Labs 301,Government,Delhi,Singapore,3927,Free Trial,2026-03-11
ENT00302,Insight University 302,Automotive,Singapore,Singapore,2494,Starter,2025-07-14
ENT00303,Skill Systems 303,Retail,Kuala Lumpur,UK,12260,Professional,2024-06-20
ENT00304,Nova Labs 304,Energy,London,India,22007,Professional,2025-08-21
ENT00305,Tech Academy 305,Manufacturing,Dubai,UK,17930,Starter,2024-09-05
ENT00306,Global Bank 306,Telecom,New York,USA,47144,Starter,2024-05-27
ENT00307,Global Labs 307,Energy,New York,UAE,11551,Government,2026-02-26
ENT00308,Prime Group 308,Automotive,Chennai,India,26319,Free Trial,2024-11-18
ENT00309,Skill Academy 309,Government,Hyderabad,India,17140,Enterprise,2025-01-09
ENT00310,NextGen Labs 310,Government,Delhi,Malaysia,47424,Government,2024-05-24
ENT00311,Apex Consulting 311,Education,Pune,Singapore,7797,Enterprise,2025-03-23
ENT00312,Skill Group 312,Automotive,Singapore,USA,45288,Free Trial,2026-02-26
ENT00313,Apex Consulting 313,Energy,Hyderabad,UAE,8803,Enterprise,2024-10-16
ENT00314,NextGen Consulting 314,Retail,Singapore,Malaysia,30906,Government,2026-03-24
ENT00315,Future University 315,Energy,Kuala Lumpur,India,34489,Enterprise,2025-11-04
ENT00316,Global Industries 316,Energy,Mumbai,India,35940,Government,2024-12-06
ENT00317,Insight Bank 317,Manufacturing,Chennai,Malaysia,29006,Free Trial,2026-04-09
ENT00318,Future Academy 318,BFSI,Dubai,UK,3696,Enterprise,2024-09-25
ENT00319,Tech Group 319,Telecom,London,India,36671,Enterprise,2026-04-01
ENT00320,Apex Systems 320,Retail,Delhi,India,48927,Starter,2025-12-26
ENT00321,Data Systems 321,Retail,Chennai,Singapore,4228,Government,2024-07-13
