gamification_id,user_id,xp_points,coins,level,badges_count,current_streak_days,leaderboard_rank_global,mission_completed_count,challenge_win_rate,last_reward_date
GAM0000121,USR000121,2918,913,6,27,40,121,106,0.75,2026-04-07
GAM0000122,USR000122,11905,4419,24,39,34,122,18,0.233,2026-04-06
GAM0000123,USR000123,4150,3239,9,53,196,123,13,0.236,2026-04-02
GAM0000124,USR000124,14103,7943,29,75,313,124,174,0.786,2026-05-11
GAM0000125,USR000125,8754,7863,18,41,4,125,139,0.367,2026-04-02
GAM0000126,USR000126,1628,1892,4,75,283,126,137,0.626,2026-04-22
GAM0000127,USR000127,7828,6892,16,58,41,127,191,0.539,2026-05-02
GAM0000128,USR000128,24707,5460,50,67,92,128,45,0.222,2026-05-07
GAM0000129,USR000129,992,2869,2,56,12,129,166,0.509,2026-04-28
GAM0000130,USR000130,17473,1776,35,0,98,130,89,0.316,2026-04-03
GAM0000131,USR000131,4378,1480,9,76,136,131,17,0.147,2026-04-01
GAM0000132,USR000132,11886,1109,24,2,306,132,197,0.557,2026-04-23
GAM0000133,USR000133,14311,4927,29,53,110,133,125,0.625,2026-03-28
GAM0000134,USR000134,7059,7834,15,4,54,134,98,0.108,2026-03-15
GAM0000135,USR000135,17841,6695,36,29,129,135,36,0.07,2026-04-21
GAM0000136,USR000136,15429,9491,31,11,299,136,177,0.92,2026-03-30
GAM0000137,USR000137,21431,1721,43,41,20,137,122,0.901,2026-05-12
GAM0000138,USR000138,17678,4567,36,30,177,138,62,0.418,2026-04-09
GAM0000139,USR000139,4478,1398,9,8,306,139,163,0.464,2026-03-31
GAM0000140,USR000140,21096,5249,43,4,8,140,83,0.694,2026-04-14
GAM0000141,USR000141,7112,3677,15,27,167,141,181,0.905,2026-04-26
GAM0000142,USR000142,1739,9938,4,73,171,142,16,0.128,2026-03-21
GAM0000143,USR000143,3314,7416,7,37,244,143,77,0.858,2026-03-22
GAM0000144,USR000144,19250,1125,39,39,354,144,17,0.814,2026-04-13
GAM0000145,USR000145,16161,6242,33,8,272,145,192,0.036,2026-04-17
GAM0000146,USR000146,12227,7458,25,33,350,146,77,0.396,2026-04-01
GAM0000147,USR000147,13536,9907,28,1,299,147,47,0.423,2026-04-12
GAM0000148,USR000148,18857,3873,38,2,134,148,129,0.605,2026-03-26
GAM0000149,USR000149,18337,2209,37,39,179,149,26,0.126,2026-04-23
GAM0000150,USR000150,3766,4076,8,26,263,150,185,0.648,2026-05-12
GAM0000151,USR000151,3169,450,7,39,93,151,114,0.534,2026-04-25
GAM0000152,USR000152,3938,3203,8,25,232,152,63,0.458,2026-04-22
GAM0000153,USR000153,3428,284,7,0,128,153,135,0.397,2026-03-19
GAM0000154,USR000154,6445,8507,13,20,352,154,73,0.985,2026-05-03
GAM0000155,USR000155,19428,9511,39,78,297,155,100,0.843,2026-03-25
GAM0000156,USR000156,14669,2066,30,2,201,156,152,0.106,2026-05-11
GAM0000157,USR000157,23351,4404,47,49,75,157,10,0.639,2026-04-30
GAM0000158,USR000158,5877,4058,12,59,113,158,67,0.743,2026-04-27
GAM0000159,USR000159,11346,9771,23,71,254,159,38,0.525,2026-04-06
GAM0000160,USR000160,23508,7394,48,23,359,160,43,0.443,2026-05-03
GAM0000161,USR000161,24212,3132,49,76,134,161,75,0.675,2026-04-18
GAM0000162,USR000162,11515,5379,24,52,336,162,187,0.767,2026-03-21
GAM0000163,USR000163,10598,8649,22,15,358,163,138,0.281,2026-05-06
GAM0000164,USR000164,24555,905,50,40,34,164,119,0.395,2026-04-12
GAM0000165,USR000165,13578,5679,28,61,335,165,187,0.336,2026-05-11
GAM0000166,USR000166,9556,616,20,26,181,166,24,0.586,2026-03-30
GAM0000167,USR000167,19784,8139,40,79,354,167,7,0.113,2026-05-11
GAM0000168,USR000168,23321,4505,47,67,40,168,105,0.614,2026-04-19
GAM0000169,USR000169,4364,8051,9,8,276,169,170,0.535,2026-04-10
GAM0000170,USR000170,1868,1090,4,77,362,170,163,0.347,2026-04-14
GAM0000171,USR000171,9708,9737,20,0,99,171,96,0.941,2026-03-26
GAM0000172,USR000172,1812,8461,4,44,31,172,85,0.274,2026-04-25
GAM0000173,USR000173,8350,9297,17,8,293,173,81,0.187,2026-03-23
GAM0000174,USR000174,7298,2876,15,48,214,174,182,0.821,2026-03-23
GAM0000175,USR000175,15513,8429,32,42,163,175,135,0.139,2026-03-26
GAM0000176,USR000176,34,3508,1,6,205,176,6,0.914,2026-04-18
GAM0000177,USR000177,3780,182,8,9,179,177,13,0.474,2026-04-05
GAM0000178,USR000178,5457,1322,11,66,58,178,187,0.89,2026-04-19
GAM0000179,USR000179,1284,9580,3,56,291,179,178,0.193,2026-04-09
GAM0000180,USR000180,22311,2705,45,2,113,180,151,0.888,2026-05-11
GAM0000181,USR000181,7105,8794,15,1,107,181,50,0.776,2026-05-13
GAM0000182,USR000182,5180,3005,11,53,102,182,190,0.197,2026-04-24
GAM0000183,USR000183,1341,4249,3,57,149,183,126,0.343,2026-03-26
GAM0000184,USR000184,24330,1926,49,49,99,184,134,0.662,2026-03-22
GAM0000185,USR000185,19355,1639,39,39,347,185,31,0.874,2026-04-19
GAM0000186,USR000186,7319,9079,15,63,254,186,67,0.512,2026-04-14
GAM0000187,USR000187,20897,5224,42,5,234,187,91,0.319,2026-04-08
GAM0000188,USR000188,5509,7874,12,59,346,188,156,0.67,2026-05-03
GAM0000189,USR000189,3599,3872,8,61,121,189,104,0.561,2026-05-03
GAM0000190,USR000190,24948,90,50,77,198,190,130,0.633,2026-04-18
GAM0000191,USR000191,17076,5444,35,65,165,191,89,0.16,2026-04-12
GAM0000192,USR000192,22235,5376,45,21,75,192,89,0.178,2026-04-21
GAM0000193,USR000193,6925,6422,14,2,338,193,171,0.422,2026-05-06
GAM0000194,USR000194,5995,5766,12,59,84,194,21,0.037,2026-04-17
GAM0000195,USR000195,260,3054,1,42,345,195,174,0.234,2026-04-17
GAM0000196,USR000196,6573,5581,14,47,91,196,92,0.057,2026-05-11
GAM0000197,USR000197,17199,5652,35,40,89,197,153,0.228,2026-05-10
GAM0000198,USR000198,24750,2542,50,25,73,198,150,0.79,2026-04-05
GAM0000199,USR000199,12906,7943,26,72,99,199,149,0.546,2026-04-29
GAM0000200,USR000200,3525,6351,8,31,253,200,78,0.075,2026-03-22
GAM0000201,USR000201,4816,4398,10,57,280,201,79,0.516,2026-03-23
GAM0000202,USR000202,5244,976,11,44,228,202,132,0.566,2026-03-28
GAM0000203,USR000203,3798,1996,8,25,32,203,56,0.355,2026-05-06
GAM0000204,USR000204,504,4162,2,49,276,204,168,0.51,2026-04-29
GAM0000205,USR000205,19570,7425,40,33,130,205,76,0.108,2026-03-15
GAM0000206,USR000206,21279,7639,43,63,98,206,189,0.066,2026-05-10
GAM0000207,USR000207,23734,6208,48,0,71,207,200,0.97,2026-04-24
GAM0000208,USR000208,4020,6755,9,25,171,208,81,0.678,2026-04-10
GAM0000209,USR000209,16073,2071,33,38,40,209,9,0.962,2026-05-03
GAM0000210,USR000210,141,9925,1,74,150,210,136,0.197,2026-05-03
GAM0000211,USR000211,4810,359,10,30,36,211,194,0.657,2026-05-08
GAM0000212,USR000212,2286,7556,5,29,298,212,102,0.399,2026-05-11
GAM0000213,USR000213,6828,4864,14,65,94,213,138,0.127,2026-03-21
GAM0000214,USR000214,12537,4569,26,63,257,214,136,0.01,2026-03-17
GAM0000215,USR000215,7324,302,15,44,208,215,109,0.999,2026-04-04
GAM0000216,USR000216,2798,1147,6,21,35,216,144,0.417,2026-04-08
GAM0000217,USR000217,16478,4926,33,16,123,217,14,0.267,2026-03-14
GAM0000218,USR000218,7665,29,16,44,363,218,15,0.793,2026-04-30
GAM0000219,USR000219,9228,4295,19,46,137,219,54,0.587,2026-04-12
GAM0000220,USR000220,13110,5367,27,48,218,220,117,0.983,2026-03-16
GAM0000221,USR000221,315,2635,1,25,198,221,169,0.189,2026-03-28
GAM0000222,USR000222,22561,2211,46,67,47,222,9,0.766,2026-03-26
GAM0000223,USR000223,7025,8359,15,62,109,223,165,0.197,2026-05-08
GAM0000224,USR000224,21622,7416,44,54,82,224,51,0.766,2026-04-08
GAM0000225,USR000225,7572,6047,16,33,335,225,48,0.267,2026-05-01
GAM0000226,USR000226,16559,2130,34,20,231,226,178,0.942,2026-05-03
GAM0000227,USR000227,16301,354,33,13,243,227,81,0.486,2026-04-06
GAM0000228,USR000228,9191,5784,19,20,195,228,112,0.022,2026-04-20
GAM0000229,USR000229,22841,723,46,16,191,229,11,0.866,2026-05-10
GAM0000230,USR000230,13726,7724,28,71,35,230,144,0.652,2026-03-20
GAM0000231,USR000231,7955,4947,16,78,145,231,60,0.035,2026-05-12
GAM0000232,USR000232,20272,6587,41,57,287,232,23,0.617,2026-04-27
GAM0000233,USR000233,751,5004,2,5,54,233,66,0.975,2026-04-18
GAM0000234,USR000234,20533,7694,42,7,35,234,97,0.755,2026-03-24
GAM0000235,USR000235,16729,1207,34,32,179,235,134,0.468,2026-04-13
GAM0000236,USR000236,12684,7706,26,78,244,236,101,0.766,2026-04-21
GAM0000237,USR000237,14984,4246,30,63,138,237,102,0.4,2026-04-08
GAM0000238,USR000238,23704,4475,48,52,28,238,85,0.397,2026-03-28
GAM0000239,USR000239,12655,3497,26,10,65,239,83,0.468,2026-04-24
GAM0000240,USR000240,4355,7542,9,14,229,240,8,0.896,2026-04-15
GAM0000241,USR000241,2840,7507,6,13,53,241,96,0.84,2026-03-19
GAM0000242,USR000242,23178,1421,47,24,329,242,113,0.725,2026-05-10
GAM0000243,USR000243,1011,6303,3,30,336,243,36,0.911,2026-04-22
GAM0000244,USR000244,13026,132,27,52,149,244,58,0.78,2026-03-14
GAM0000245,USR000245,18155,1293,37,80,233,245,175,0.551,2026-04-03
GAM0000246,USR000246,16707,3515,34,8,34,246,180,0.57,2026-03-21
GAM0000247,USR000247,18957,9267,38,66,170,247,158,0.582,2026-03-16
GAM0000248,USR000248,9852,7058,20,36,340,248,3,0.818,2026-04-27
GAM0000249,USR000249,14579,5451,30,67,145,249,191,0.818,2026-03-18
GAM0000250,USR000250,11373,8666,23,69,103,250,22,0.394,2026-04-22
GAM0000251,USR000251,23334,8653,47,13,35,251,4,0.964,2026-05-02
GAM0000252,USR000252,11524,2934,24,80,251,252,60,0.49,2026-03-31
GAM0000253,USR000253,17638,379,36,7,189,253,179,0.194,2026-04-16
GAM0000254,USR000254,18380,5725,37,6,85,254,88,0.23,2026-04-16
GAM0000255,USR000255,22171,7144,45,2,286,255,114,0.081,2026-04-16
GAM0000256,USR000256,13805,5349,28,67,111,256,12,0.785,2026-04-30
GAM0000257,USR000257,15155,8235,31,20,82,257,119,0.354,2026-03-16
GAM0000258,USR000258,6238,9219,13,24,86,258,9,0.013,2026-04-29
GAM0000259,USR000259,24193,1390,49,5,18,259,96,0.087,2026-04-04
GAM0000260,USR000260,15299,8195,31,31,349,260,184,0.392,2026-03-18
GAM0000261,USR000261,18843,4628,38,18,295,261,48,0.906,2026-05-09
GAM0000262,USR000262,7929,3203,16,17,10,262,138,0.502,2026-05-07
GAM0000263,USR000263,20528,2770,42,12,296,263,89,0.221,2026-03-18
GAM0000264,USR000264,16021,5851,33,47,162,264,156,0.651,2026-05-13
GAM0000265,USR000265,17964,4813,36,33,205,265,6,0.934,2026-03-28
GAM0000266,USR000266,8834,7825,18,10,68,266,110,0.665,2026-03-25
GAM0000267,USR000267,16042,6200,33,24,188,267,76,0.842,2026-04-25
GAM0000268,USR000268,2109,9087,5,79,221,268,150,0.818,2026-03-14
GAM0000269,USR000269,6721,2703,14,64,131,269,7,0.153,2026-03-30
GAM0000270,USR000270,3957,3770,8,57,68,270,96,0.615,2026-04-09
GAM0000271,USR000271,8125,1960,17,73,347,271,50,0.136,2026-05-03
GAM0000272,USR000272,13147,9411,27,45,325,272,14,0.047,2026-03-30
GAM0000273,USR000273,707,373,2,79,298,273,154,0.911,2026-04-02
GAM0000274,USR000274,12642,490,26,36,324,274,184,0.192,2026-04-21
GAM0000275,USR000275,11528,8760,24,37,63,275,146,0.362,2026-04-24
GAM0000276,USR000276,20728,285,42,44,39,276,34,0.243,2026-03-17
GAM0000277,USR000277,9134,122,19,73,5,277,108,0.76,2026-03-17
GAM0000278,USR000278,1722,4898,4,58,238,278,9,0.619,2026-05-01
GAM0000279,USR000279,9354,6341,19,47,180,279,25,0.335,2026-05-09
GAM0000280,USR000280,24896,5813,50,22,146,280,95,0.152,2026-04-24
GAM0000281,USR000281,12462,4070,25,65,276,281,150,0.507,2026-04-06
GAM0000282,USR000282,21933,7046,44,61,91,282,95,0.049,2026-03-28
GAM0000283,USR000283,2319,2145,5,74,94,283,61,0.474,2026-05-04
GAM0000284,USR000284,11697,4929,24,75,264,284,48,0.777,2026-05-02
GAM0000285,USR000285,22845,9087,46,69,321,285,65,0.619,2026-04-09
GAM0000286,USR000286,22286,111,45,74,288,286,43,0.023,2026-03-20
GAM0000287,USR000287,10341,6053,21,58,258,287,154,0.616,2026-03-29
GAM0000288,USR000288,680,7331,2,79,93,288,161,0.988,2026-04-18
GAM0000289,USR000289,2581,525,6,37,189,289,77,0.97,2026-03-29
GAM0000290,USR000290,23713,7803,48,5,29,290,143,0.373,2026-03-27
GAM0000291,USR000291,12071,2408,25,4,25,291,119,0.279,2026-04-04
GAM0000292,USR000292,21128,5964,43,52,143,292,41,0.141,2026-04-30
GAM0000293,USR000293,18854,3339,38,79,29,293,173,0.873,2026-04-06
GAM0000294,USR000294,9033,5311,19,12,158,294,171,0.391,2026-03-18
GAM0000295,USR000295,20108,9462,41,14,275,295,57,0.665,2026-05-05
GAM0000296,USR000296,4952,1022,10,74,45,296,86,0.964,2026-05-02
GAM0000297,USR000297,24536,5379,50,27,172,297,196,0.51,2026-03-28
GAM0000298,USR000298,8258,2053,17,78,95,298,140,0.592,2026-03-29
GAM0000299,USR000299,13625,7658,28,35,38,299,189,0.354,2026-04-04
GAM0000300,USR000300,19619,4337,40,33,143,300,118,0.264,2026-03-28
GAM0000301,USR000301,6951,1832,14,42,29,301,189,0.493,2026-04-07
GAM0000302,USR000302,19396,8124,39,61,144,302,63,0.448,2026-05-08
GAM0000303,USR000303,16303,4598,33,8,166,303,6,0.823,2026-04-07
GAM0000304,USR000304,1403,4885,3,27,114,304,102,0.826,2026-04-02
GAM0000305,USR000305,23792,2832,48,74,4,305,22,0.619,2026-04-05
GAM0000306,USR000306,11764,6814,24,37,203,306,37,0.216,2026-05-02
GAM0000307,USR000307,12456,2479,25,73,204,307,139,0.044,2026-05-08
GAM0000308,USR000308,2243,909,5,18,184,308,172,0.455,2026-03-28
GAM0000309,USR000309,8161,5192,17,23,36,309,159,0.661,2026-05-07
GAM0000310,USR000310,17498,8665,35,29,159,310,114,0.788,2026-05-08
GAM0000311,USR000311,6829,9835,14,30,6,311,68,0.146,2026-03-23
GAM0000312,USR000312,4227,9805,9,33,222,312,2,0.332,2026-03-27
GAM0000313,USR000313,20461,701,41,67,1,313,175,0.526,2026-03-28
GAM0000314,USR000314,14601,1646,30,52,108,314,71,0.373,2026-05-03
GAM0000315,USR000315,24792,7165,50,43,232,315,184,0.737,2026-05-06
GAM0000316,USR000316,6785,9148,14,52,43,316,180,0.819,2026-04-06
GAM0000317,USR000317,7505,9562,16,39,310,317,48,0.691,2026-05-08
GAM0000318,USR000318,11262,4796,23,13,113,318,156,0.477,2026-05-02
GAM0000319,USR000319,6075,7069,13,54,121,319,22,0.719,2026-05-12
GAM0000320,USR000320,10425,2403,21,44,196,320,155,0.596,2026-04-27
GAM0000321,USR000321,8878,5808,18,46,245,321,25,0.896,2026-04-28
GAM0000322,USR000322,14308,2172,29,21,230,322,34,0.169,2026-04-23
GAM0000323,USR000323,524,3469,2,51,195,323,135,0.038,2026-04-16
GAM0000324,USR000324,24509,2616,50,75,35,324,79,0.146,2026-03-17
GAM0000325,USR000325,7910,2193,16,57,225,325,176,0.356,2026-04-14
GAM0000326,USR000326,7548,4548,16,33,220,326,134,0.121,2026-03-15
GAM0000327,USR000327,19190,5172,39,7,32,327,15,0.966,2026-04-14
GAM0000328,USR000328,7336,6767,15,14,102,328,19,0.857,2026-04-22
GAM0000329,USR000329,3386,9776,7,4,216,329,35,0.764,2026-03-15
GAM0000330,USR000330,7406,2939,15,80,180,330,99,0.724,2026-04-04
GAM0000331,USR000331,1052,9595,3,57,146,331,76,0.031,2026-03-30
GAM0000332,USR000332,18868,6229,38,12,288,332,24,0.123,2026-04-04
GAM0000333,USR000333,24412,4046,49,63,332,333,104,0.557,2026-04-17
GAM0000334,USR000334,13425,2432,27,20,285,334,92,0.617,2026-05-13
GAM0000335,USR000335,9544,4751,20,64,122,335,54,0.053,2026-04-22
GAM0000336,USR000336,20689,3393,42,25,320,336,4,0.163,2026-03-22
GAM0000337,USR000337,8178,3364,17,52,81,337,15,0.178,2026-04-08
GAM0000338,USR000338,8812,305,18,6,329,338,115,0.201,2026-03-30
GAM0000339,USR000339,15115,2322,31,61,141,339,6,0.507,2026-03-18
GAM0000340,USR000340,19032,945,39,75,152,340,48,0.363,2026-04-19
GAM0000341,USR000341,16167,207,33,72,112,341,129,0.543,2026-05-06
GAM0000342,USR000342,3182,8682,7,45,254,342,180,0.494,2026-03-24
GAM0000343,USR000343,2098,7525,5,34,69,343,96,0.346,2026-04-21
GAM0000344,USR000344,6217,88,13,56,31,344,133,0.537,2026-03-14
GAM0000345,USR000345,12780,2590,26,18,153,345,120,0.305,2026-04-04
GAM0000346,USR000346,17767,9316,36,61,180,346,46,0.348,2026-04-16
GAM0000347,USR000347,19120,5127,39,2,322,347,51,0.942,2026-05-01
GAM0000348,USR000348,22483,7410,45,36,279,348,80,0.865,2026-04-08
GAM0000349,USR000349,24278,855,49,0,102,349,155,0.228,2026-03-28
GAM0000350,USR000350,16038,1310,33,65,214,350,170,0.835,2026-04-24
GAM0000351,USR000351,6295,5267,13,12,336,351,4,0.472,2026-03-15
GAM0000352,USR000352,22518,1923,46,1,231,352,72,0.763,2026-04-17
GAM0000353,USR000353,5188,7019,11,2,252,353,111,0.837,2026-05-11
GAM0000354,USR000354,2236,8475,5,10,238,354,86,0.801,2026-05-04
GAM0000355,USR000355,20527,8766,42,29,39,355,95,0.401,2026-04-01
GAM0000356,USR000356,5267,7012,11,52,132,356,74,0.921,2026-03-14
