skill_id,skill_name,domain,skill_level,description,market_demand_score,ai_recommendation_weight
SKL00020,Healthcare Skill 20,Healthcare,Expert,"Competency in Healthcare Skill 20 for practical, enterprise-ready outcomes.",74,0.718
SKL00021,Project Management Skill 21,Project Management,Expert,"Competency in Project Management Skill 21 for practical, enterprise-ready outcomes.",76,0.893
SKL00022,Finance Skill 22,Finance,Advanced,"Competency in Finance Skill 22 for practical, enterprise-ready outcomes.",45,0.455
SKL00023,Quality Management Skill 23,Quality Management,Beginner,"Competency in Quality Management Skill 23 for practical, enterprise-ready outcomes.",72,0.614
SKL00024,Healthcare Skill 24,Healthcare,Intermediate,"Competency in Healthcare Skill 24 for practical, enterprise-ready outcomes.",47,0.954
SKL00025,Finance Skill 25,Finance,Intermediate,"Competency in Finance Skill 25 for practical, enterprise-ready outcomes.",100,0.986
SKL00026,Cybersecurity Skill 26,Cybersecurity,Intermediate,"Competency in Cybersecurity Skill 26 for practical, enterprise-ready outcomes.",48,0.138
SKL00027,Data Science Skill 27,Data Science,Expert,"Competency in Data Science Skill 27 for practical, enterprise-ready outcomes.",52,0.998
SKL00028,Governance Skill 28,Governance,Intermediate,"Competency in Governance Skill 28 for practical, enterprise-ready outcomes.",93,0.636
SKL00029,Full Stack Skill 29,Full Stack,Beginner,"Competency in Full Stack Skill 29 for practical, enterprise-ready outcomes.",45,0.449
SKL00030,Leadership Skill 30,Leadership,Advanced,"Competency in Leadership Skill 30 for practical, enterprise-ready outcomes.",94,0.349
SKL00031,Finance Skill 31,Finance,Beginner,"Competency in Finance Skill 31 for practical, enterprise-ready outcomes.",90,0.73
SKL00032,Manufacturing Skill 32,Manufacturing,Expert,"Competency in Manufacturing Skill 32 for practical, enterprise-ready outcomes.",47,0.473
SKL00033,Cloud Skill 33,Cloud,Beginner,"Competency in Cloud Skill 33 for practical, enterprise-ready outcomes.",99,0.195
SKL00034,Sales Skill 34,Sales,Beginner,"Competency in Sales Skill 34 for practical, enterprise-ready outcomes.",90,0.357
SKL00035,Healthcare Skill 35,Healthcare,Advanced,"Competency in Healthcare Skill 35 for practical, enterprise-ready outcomes.",96,0.47
SKL00036,Leadership Skill 36,Leadership,Expert,"Competency in Leadership Skill 36 for practical, enterprise-ready outcomes.",76,0.648
SKL00037,AI Skill 37,AI,Intermediate,"Competency in AI Skill 37 for practical, enterprise-ready outcomes.",57,0.463
SKL00038,Manufacturing Skill 38,Manufacturing,Expert,"Competency in Manufacturing Skill 38 for practical, enterprise-ready outcomes.",42,0.456
SKL00039,Project Management Skill 39,Project Management,Advanced,"Competency in Project Management Skill 39 for practical, enterprise-ready outcomes.",84,0.314
SKL00040,HR Skill 40,HR,Expert,"Competency in HR Skill 40 for practical, enterprise-ready outcomes.",98,0.342
SKL00041,Full Stack Skill 41,Full Stack,Beginner,"Competency in Full Stack Skill 41 for practical, enterprise-ready outcomes.",61,0.836
SKL00042,Digital Marketing Skill 42,Digital Marketing,Advanced,"Competency in Digital Marketing Skill 42 for practical, enterprise-ready outcomes.",57,0.859
SKL00043,Quality Management Skill 43,Quality Management,Beginner,"Competency in Quality Management Skill 43 for practical, enterprise-ready outcomes.",95,0.305
SKL00044,Digital Marketing Skill 44,Digital Marketing,Expert,"Competency in Digital Marketing Skill 44 for practical, enterprise-ready outcomes.",89,0.843
SKL00045,Digital Marketing Skill 45,Digital Marketing,Expert,"Competency in Digital Marketing Skill 45 for practical, enterprise-ready outcomes.",78,0.681
SKL00046,Cybersecurity Skill 46,Cybersecurity,Expert,"Competency in Cybersecurity Skill 46 for practical, enterprise-ready outcomes.",53,0.922
SKL00047,Leadership Skill 47,Leadership,Expert,"Competency in Leadership Skill 47 for practical, enterprise-ready outcomes.",88,0.565
SKL00048,Full Stack Skill 48,Full Stack,Beginner,"Competency in Full Stack Skill 48 for practical, enterprise-ready outcomes.",72,0.812
SKL00049,Data Science Skill 49,Data Science,Advanced,"Competency in Data Science Skill 49 for practical, enterprise-ready outcomes.",85,0.556
SKL00050,Cloud Skill 50,Cloud,Beginner,"Competency in Cloud Skill 50 for practical, enterprise-ready outcomes.",51,0.273
SKL00051,Quality Management Skill 51,Quality Management,Intermediate,"Competency in Quality Management Skill 51 for practical, enterprise-ready outcomes.",93,0.152
SKL00052,AI Skill 52,AI,Expert,"Competency in AI Skill 52 for practical, enterprise-ready outcomes.",43,0.926
SKL00053,HR Skill 53,HR,Intermediate,"Competency in HR Skill 53 for practical, enterprise-ready outcomes.",57,0.432
SKL00054,Finance Skill 54,Finance,Expert,"Competency in Finance Skill 54 for practical, enterprise-ready outcomes.",80,0.931
SKL00055,Governance Skill 55,Governance,Beginner,"Competency in Governance Skill 55 for practical, enterprise-ready outcomes.",55,0.435
SKL00056,Manufacturing Skill 56,Manufacturing,Expert,"Competency in Manufacturing Skill 56 for practical, enterprise-ready outcomes.",51,0.964
SKL00057,Finance Skill 57,Finance,Advanced,"Competency in Finance Skill 57 for practical, enterprise-ready outcomes.",62,0.247
SKL00058,Project Management Skill 58,Project Management,Advanced,"Competency in Project Management Skill 58 for practical, enterprise-ready outcomes.",87,0.848
SKL00059,Data Science Skill 59,Data Science,Advanced,"Competency in Data Science Skill 59 for practical, enterprise-ready outcomes.",41,0.448
SKL00060,Cloud Skill 60,Cloud,Intermediate,"Competency in Cloud Skill 60 for practical, enterprise-ready outcomes.",94,0.299
SKL00061,Cybersecurity Skill 61,Cybersecurity,Intermediate,"Competency in Cybersecurity Skill 61 for practical, enterprise-ready outcomes.",57,0.686
SKL00062,Healthcare Skill 62,Healthcare,Beginner,"Competency in Healthcare Skill 62 for practical, enterprise-ready outcomes.",95,0.802
SKL00063,Sales Skill 63,Sales,Beginner,"Competency in Sales Skill 63 for practical, enterprise-ready outcomes.",70,0.92
SKL00064,Governance Skill 64,Governance,Intermediate,"Competency in Governance Skill 64 for practical, enterprise-ready outcomes.",78,0.821
SKL00065,Cybersecurity Skill 65,Cybersecurity,Advanced,"Competency in Cybersecurity Skill 65 for practical, enterprise-ready outcomes.",78,0.825
SKL00066,Digital Marketing Skill 66,Digital Marketing,Advanced,"Competency in Digital Marketing Skill 66 for practical, enterprise-ready outcomes.",67,0.906
SKL00067,Quality Management Skill 67,Quality Management,Advanced,"Competency in Quality Management Skill 67 for practical, enterprise-ready outcomes.",69,0.327
SKL00068,Finance Skill 68,Finance,Advanced,"Competency in Finance Skill 68 for practical, enterprise-ready outcomes.",83,0.569
SKL00069,Manufacturing Skill 69,Manufacturing,Expert,"Competency in Manufacturing Skill 69 for practical, enterprise-ready outcomes.",77,0.192
SKL00070,Healthcare Skill 70,Healthcare,Advanced,"Competency in Healthcare Skill 70 for practical, enterprise-ready outcomes.",75,0.683
SKL00071,Manufacturing Skill 71,Manufacturing,Advanced,"Competency in Manufacturing Skill 71 for practical, enterprise-ready outcomes.",59,0.716
SKL00072,Finance Skill 72,Finance,Beginner,"Competency in Finance Skill 72 for practical, enterprise-ready outcomes.",61,0.99
SKL00073,Governance Skill 73,Governance,Advanced,"Competency in Governance Skill 73 for practical, enterprise-ready outcomes.",95,0.349
SKL00074,Governance Skill 74,Governance,Advanced,"Competency in Governance Skill 74 for practical, enterprise-ready outcomes.",52,0.235
SKL00075,Sales Skill 75,Sales,Intermediate,"Competency in Sales Skill 75 for practical, enterprise-ready outcomes.",97,0.151
SKL00076,Quality Management Skill 76,Quality Management,Expert,"Competency in Quality Management Skill 76 for practical, enterprise-ready outcomes.",82,0.388
SKL00077,Cloud Skill 77,Cloud,Beginner,"Competency in Cloud Skill 77 for practical, enterprise-ready outcomes.",81,0.548
SKL00078,Digital Marketing Skill 78,Digital Marketing,Advanced,"Competency in Digital Marketing Skill 78 for practical, enterprise-ready outcomes.",98,0.477
SKL00079,Leadership Skill 79,Leadership,Beginner,"Competency in Leadership Skill 79 for practical, enterprise-ready outcomes.",77,0.737
SKL00080,Manufacturing Skill 80,Manufacturing,Intermediate,"Competency in Manufacturing Skill 80 for practical, enterprise-ready outcomes.",61,0.754
SKL00081,Cybersecurity Skill 81,Cybersecurity,Expert,"Competency in Cybersecurity Skill 81 for practical, enterprise-ready outcomes.",98,0.947
SKL00082,Full Stack Skill 82,Full Stack,Advanced,"Competency in Full Stack Skill 82 for practical, enterprise-ready outcomes.",94,0.253
SKL00083,Governance Skill 83,Governance,Intermediate,"Competency in Governance Skill 83 for practical, enterprise-ready outcomes.",58,0.188
SKL00084,Cloud Skill 84,Cloud,Advanced,"Competency in Cloud Skill 84 for practical, enterprise-ready outcomes.",86,0.828
SKL00085,Sales Skill 85,Sales,Intermediate,"Competency in Sales Skill 85 for practical, enterprise-ready outcomes.",100,0.712
SKL00086,Full Stack Skill 86,Full Stack,Beginner,"Competency in Full Stack Skill 86 for practical, enterprise-ready outcomes.",54,0.42
SKL00087,HR Skill 87,HR,Advanced,"Competency in HR Skill 87 for practical, enterprise-ready outcomes.",66,0.809
SKL00088,Full Stack Skill 88,Full Stack,Advanced,"Competency in Full Stack Skill 88 for practical, enterprise-ready outcomes.",56,0.627
SKL00089,Finance Skill 89,Finance,Beginner,"Competency in Finance Skill 89 for practical, enterprise-ready outcomes.",70,0.148
SKL00090,Governance Skill 90,Governance,Beginner,"Competency in Governance Skill 90 for practical, enterprise-ready outcomes.",70,0.9
SKL00091,Healthcare Skill 91,Healthcare,Beginner,"Competency in Healthcare Skill 91 for practical, enterprise-ready outcomes.",95,0.713
SKL00092,Healthcare Skill 92,Healthcare,Advanced,"Competency in Healthcare Skill 92 for practical, enterprise-ready outcomes.",66,0.149
SKL00093,Quality Management Skill 93,Quality Management,Intermediate,"Competency in Quality Management Skill 93 for practical, enterprise-ready outcomes.",48,0.993
SKL00094,Full Stack Skill 94,Full Stack,Expert,"Competency in Full Stack Skill 94 for practical, enterprise-ready outcomes.",76,0.904
SKL00095,Finance Skill 95,Finance,Intermediate,"Competency in Finance Skill 95 for practical, enterprise-ready outcomes.",60,0.876
SKL00096,Cloud Skill 96,Cloud,Beginner,"Competency in Cloud Skill 96 for practical, enterprise-ready outcomes.",71,0.399
SKL00097,Cloud Skill 97,Cloud,Advanced,"Competency in Cloud Skill 97 for practical, enterprise-ready outcomes.",80,0.152
SKL00098,Finance Skill 98,Finance,Advanced,"Competency in Finance Skill 98 for practical, enterprise-ready outcomes.",53,0.785
SKL00099,Cloud Skill 99,Cloud,Intermediate,"Competency in Cloud Skill 99 for practical, enterprise-ready outcomes.",71,0.807
SKL00100,Sales Skill 100,Sales,Beginner,"Competency in Sales Skill 100 for practical, enterprise-ready outcomes.",48,0.653
SKL00101,Governance Skill 101,Governance,Expert,"Competency in Governance Skill 101 for practical, enterprise-ready outcomes.",65,0.486
SKL00102,Finance Skill 102,Finance,Expert,"Competency in Finance Skill 102 for practical, enterprise-ready outcomes.",40,0.134
SKL00103,Cybersecurity Skill 103,Cybersecurity,Advanced,"Competency in Cybersecurity Skill 103 for practical, enterprise-ready outcomes.",100,0.113
SKL00104,Full Stack Skill 104,Full Stack,Intermediate,"Competency in Full Stack Skill 104 for practical, enterprise-ready outcomes.",41,0.709
SKL00105,Governance Skill 105,Governance,Intermediate,"Competency in Governance Skill 105 for practical, enterprise-ready outcomes.",54,0.724
SKL00106,Full Stack Skill 106,Full Stack,Advanced,"Competency in Full Stack Skill 106 for practical, enterprise-ready outcomes.",48,0.192
SKL00107,Healthcare Skill 107,Healthcare,Advanced,"Competency in Healthcare Skill 107 for practical, enterprise-ready outcomes.",50,0.159
SKL00108,AI Skill 108,AI,Advanced,"Competency in AI Skill 108 for practical, enterprise-ready outcomes.",100,0.362
SKL00109,HR Skill 109,HR,Advanced,"Competency in HR Skill 109 for practical, enterprise-ready outcomes.",67,0.899
SKL00110,Cloud Skill 110,Cloud,Advanced,"Competency in Cloud Skill 110 for practical, enterprise-ready outcomes.",97,0.541
SKL00111,Sales Skill 111,Sales,Intermediate,"Competency in Sales Skill 111 for practical, enterprise-ready outcomes.",50,0.953
SKL00112,Project Management Skill 112,Project Management,Expert,"Competency in Project Management Skill 112 for practical, enterprise-ready outcomes.",41,0.306
SKL00113,HR Skill 113,HR,Intermediate,"Competency in HR Skill 113 for practical, enterprise-ready outcomes.",53,0.761
SKL00114,Manufacturing Skill 114,Manufacturing,Intermediate,"Competency in Manufacturing Skill 114 for practical, enterprise-ready outcomes.",47,0.43
SKL00115,Governance Skill 115,Governance,Beginner,"Competency in Governance Skill 115 for practical, enterprise-ready outcomes.",64,0.889
SKL00116,Digital Marketing Skill 116,Digital Marketing,Beginner,"Competency in Digital Marketing Skill 116 for practical, enterprise-ready outcomes.",78,0.995
SKL00117,Governance Skill 117,Governance,Beginner,"Competency in Governance Skill 117 for practical, enterprise-ready outcomes.",81,0.853
SKL00118,AI Skill 118,AI,Beginner,"Competency in AI Skill 118 for practical, enterprise-ready outcomes.",66,0.5
SKL00119,Data Science Skill 119,Data Science,Advanced,"Competency in Data Science Skill 119 for practical, enterprise-ready outcomes.",70,0.732
SKL00120,Cybersecurity Skill 120,Cybersecurity,Beginner,"Competency in Cybersecurity Skill 120 for practical, enterprise-ready outcomes.",59,0.479
SKL00121,Data Science Skill 121,Data Science,Advanced,"Competency in Data Science Skill 121 for practical, enterprise-ready outcomes.",79,0.645
SKL00122,Cloud Skill 122,Cloud,Expert,"Competency in Cloud Skill 122 for practical, enterprise-ready outcomes.",93,0.909
SKL00123,Healthcare Skill 123,Healthcare,Beginner,"Competency in Healthcare Skill 123 for practical, enterprise-ready outcomes.",58,0.203
SKL00124,Data Science Skill 124,Data Science,Expert,"Competency in Data Science Skill 124 for practical, enterprise-ready outcomes.",52,0.648
SKL00125,Sales Skill 125,Sales,Advanced,"Competency in Sales Skill 125 for practical, enterprise-ready outcomes.",93,0.571
SKL00126,Cybersecurity Skill 126,Cybersecurity,Advanced,"Competency in Cybersecurity Skill 126 for practical, enterprise-ready outcomes.",85,0.469
SKL00127,Cloud Skill 127,Cloud,Beginner,"Competency in Cloud Skill 127 for practical, enterprise-ready outcomes.",75,0.547
SKL00128,Cybersecurity Skill 128,Cybersecurity,Expert,"Competency in Cybersecurity Skill 128 for practical, enterprise-ready outcomes.",61,0.311
SKL00129,AI Skill 129,AI,Beginner,"Competency in AI Skill 129 for practical, enterprise-ready outcomes.",98,0.199
SKL00130,Manufacturing Skill 130,Manufacturing,Expert,"Competency in Manufacturing Skill 130 for practical, enterprise-ready outcomes.",49,0.955
SKL00131,Sales Skill 131,Sales,Beginner,"Competency in Sales Skill 131 for practical, enterprise-ready outcomes.",86,0.751
SKL00132,Project Management Skill 132,Project Management,Advanced,"Competency in Project Management Skill 132 for practical, enterprise-ready outcomes.",81,0.308
SKL00133,Digital Marketing Skill 133,Digital Marketing,Advanced,"Competency in Digital Marketing Skill 133 for practical, enterprise-ready outcomes.",69,0.145
SKL00134,Quality Management Skill 134,Quality Management,Intermediate,"Competency in Quality Management Skill 134 for practical, enterprise-ready outcomes.",95,0.136
SKL00135,Digital Marketing Skill 135,Digital Marketing,Advanced,"Competency in Digital Marketing Skill 135 for practical, enterprise-ready outcomes.",91,0.709
SKL00136,Leadership Skill 136,Leadership,Beginner,"Competency in Leadership Skill 136 for practical, enterprise-ready outcomes.",46,0.866
SKL00137,Project Management Skill 137,Project Management,Beginner,"Competency in Project Management Skill 137 for practical, enterprise-ready outcomes.",40,0.867
SKL00138,Governance Skill 138,Governance,Intermediate,"Competency in Governance Skill 138 for practical, enterprise-ready outcomes.",61,0.422
SKL00139,Finance Skill 139,Finance,Advanced,"Competency in Finance Skill 139 for practical, enterprise-ready outcomes.",96,0.76
SKL00140,Full Stack Skill 140,Full Stack,Advanced,"Competency in Full Stack Skill 140 for practical, enterprise-ready outcomes.",51,0.202
SKL00141,Leadership Skill 141,Leadership,Expert,"Competency in Leadership Skill 141 for practical, enterprise-ready outcomes.",57,0.852
SKL00142,HR Skill 142,HR,Expert,"Competency in HR Skill 142 for practical, enterprise-ready outcomes.",91,0.48
SKL00143,Project Management Skill 143,Project Management,Intermediate,"Competency in Project Management Skill 143 for practical, enterprise-ready outcomes.",47,0.219
SKL00144,HR Skill 144,HR,Beginner,"Competency in HR Skill 144 for practical, enterprise-ready outcomes.",100,0.86
SKL00145,Data Science Skill 145,Data Science,Expert,"Competency in Data Science Skill 145 for practical, enterprise-ready outcomes.",98,0.632
SKL00146,Sales Skill 146,Sales,Expert,"Competency in Sales Skill 146 for practical, enterprise-ready outcomes.",51,0.65
SKL00147,Sales Skill 147,Sales,Advanced,"Competency in Sales Skill 147 for practical, enterprise-ready outcomes.",79,0.126
SKL00148,Governance Skill 148,Governance,Intermediate,"Competency in Governance Skill 148 for practical, enterprise-ready outcomes.",70,0.928
SKL00149,Data Science Skill 149,Data Science,Expert,"Competency in Data Science Skill 149 for practical, enterprise-ready outcomes.",68,0.141
SKL00150,Digital Marketing Skill 150,Digital Marketing,Advanced,"Competency in Digital Marketing Skill 150 for practical, enterprise-ready outcomes.",40,0.734
SKL00151,Governance Skill 151,Governance,Intermediate,"Competency in Governance Skill 151 for practical, enterprise-ready outcomes.",82,0.886
SKL00152,Healthcare Skill 152,Healthcare,Beginner,"Competency in Healthcare Skill 152 for practical, enterprise-ready outcomes.",67,0.696
SKL00153,Cybersecurity Skill 153,Cybersecurity,Expert,"Competency in Cybersecurity Skill 153 for practical, enterprise-ready outcomes.",62,0.697
SKL00154,Governance Skill 154,Governance,Expert,"Competency in Governance Skill 154 for practical, enterprise-ready outcomes.",49,0.855
SKL00155,Healthcare Skill 155,Healthcare,Beginner,"Competency in Healthcare Skill 155 for practical, enterprise-ready outcomes.",40,0.679
SKL00156,Cloud Skill 156,Cloud,Expert,"Competency in Cloud Skill 156 for practical, enterprise-ready outcomes.",94,0.546
SKL00157,Cloud Skill 157,Cloud,Beginner,"Competency in Cloud Skill 157 for practical, enterprise-ready outcomes.",88,0.542
SKL00158,Cybersecurity Skill 158,Cybersecurity,Advanced,"Competency in Cybersecurity Skill 158 for practical, enterprise-ready outcomes.",57,0.145
SKL00159,Cybersecurity Skill 159,Cybersecurity,Expert,"Competency in Cybersecurity Skill 159 for practical, enterprise-ready outcomes.",65,0.835
SKL00160,Data Science Skill 160,Data Science,Expert,"Competency in Data Science Skill 160 for practical, enterprise-ready outcomes.",68,0.821
SKL00161,Finance Skill 161,Finance,Beginner,"Competency in Finance Skill 161 for practical, enterprise-ready outcomes.",94,0.549
SKL00162,Full Stack Skill 162,Full Stack,Beginner,"Competency in Full Stack Skill 162 for practical, enterprise-ready outcomes.",71,0.771
SKL00163,AI Skill 163,AI,Beginner,"Competency in AI Skill 163 for practical, enterprise-ready outcomes.",65,0.471
SKL00164,Healthcare Skill 164,Healthcare,Beginner,"Competency in Healthcare Skill 164 for practical, enterprise-ready outcomes.",92,0.182
SKL00165,Manufacturing Skill 165,Manufacturing,Advanced,"Competency in Manufacturing Skill 165 for practical, enterprise-ready outcomes.",96,0.558
SKL00166,Cybersecurity Skill 166,Cybersecurity,Expert,"Competency in Cybersecurity Skill 166 for practical, enterprise-ready outcomes.",100,0.407
SKL00167,Quality Management Skill 167,Quality Management,Beginner,"Competency in Quality Management Skill 167 for practical, enterprise-ready outcomes.",92,0.301
SKL00168,Finance Skill 168,Finance,Advanced,"Competency in Finance Skill 168 for practical, enterprise-ready outcomes.",75,0.791
SKL00169,Manufacturing Skill 169,Manufacturing,Expert,"Competency in Manufacturing Skill 169 for practical, enterprise-ready outcomes.",85,0.691
SKL00170,HR Skill 170,HR,Expert,"Competency in HR Skill 170 for practical, enterprise-ready outcomes.",47,0.188
SKL00171,Governance Skill 171,Governance,Intermediate,"Competency in Governance Skill 171 for practical, enterprise-ready outcomes.",40,0.407
SKL00172,Quality Management Skill 172,Quality Management,Advanced,"Competency in Quality Management Skill 172 for practical, enterprise-ready outcomes.",75,0.57
SKL00173,HR Skill 173,HR,Beginner,"Competency in HR Skill 173 for practical, enterprise-ready outcomes.",42,0.907
SKL00174,Finance Skill 174,Finance,Intermediate,"Competency in Finance Skill 174 for practical, enterprise-ready outcomes.",92,0.745
SKL00175,HR Skill 175,HR,Expert,"Competency in HR Skill 175 for practical, enterprise-ready outcomes.",46,0.329
SKL00176,Cybersecurity Skill 176,Cybersecurity,Intermediate,"Competency in Cybersecurity Skill 176 for practical, enterprise-ready outcomes.",47,0.937
SKL00177,Leadership Skill 177,Leadership,Intermediate,"Competency in Leadership Skill 177 for practical, enterprise-ready outcomes.",69,0.842
SKL00178,Cybersecurity Skill 178,Cybersecurity,Advanced,"Competency in Cybersecurity Skill 178 for practical, enterprise-ready outcomes.",46,0.781
SKL00179,AI Skill 179,AI,Beginner,"Competency in AI Skill 179 for practical, enterprise-ready outcomes.",89,0.903
SKL00180,Finance Skill 180,Finance,Intermediate,"Competency in Finance Skill 180 for practical, enterprise-ready outcomes.",71,0.104
SKL00181,HR Skill 181,HR,Beginner,"Competency in HR Skill 181 for practical, enterprise-ready outcomes.",75,0.942
SKL00182,Quality Management Skill 182,Quality Management,Expert,"Competency in Quality Management Skill 182 for practical, enterprise-ready outcomes.",99,0.557
SKL00183,Project Management Skill 183,Project Management,Intermediate,"Competency in Project Management Skill 183 for practical, enterprise-ready outcomes.",84,0.621
SKL00184,HR Skill 184,HR,Intermediate,"Competency in HR Skill 184 for practical, enterprise-ready outcomes.",46,0.449
SKL00185,Manufacturing Skill 185,Manufacturing,Advanced,"Competency in Manufacturing Skill 185 for practical, enterprise-ready outcomes.",72,0.893
SKL00186,Leadership Skill 186,Leadership,Intermediate,"Competency in Leadership Skill 186 for practical, enterprise-ready outcomes.",57,0.458
SKL00187,Full Stack Skill 187,Full Stack,Advanced,"Competency in Full Stack Skill 187 for practical, enterprise-ready outcomes.",68,0.824
SKL00188,Cloud Skill 188,Cloud,Expert,"Competency in Cloud Skill 188 for practical, enterprise-ready outcomes.",78,0.73
SKL00189,HR Skill 189,HR,Advanced,"Competency in HR Skill 189 for practical, enterprise-ready outcomes.",93,0.731
SKL00190,Quality Management Skill 190,Quality Management,Advanced,"Competency in Quality Management Skill 190 for practical, enterprise-ready outcomes.",85,0.763
SKL00191,Healthcare Skill 191,Healthcare,Intermediate,"Competency in Healthcare Skill 191 for practical, enterprise-ready outcomes.",52,0.289
SKL00192,HR Skill 192,HR,Advanced,"Competency in HR Skill 192 for practical, enterprise-ready outcomes.",83,0.411
SKL00193,Governance Skill 193,Governance,Intermediate,"Competency in Governance Skill 193 for practical, enterprise-ready outcomes.",85,0.685
SKL00194,Cloud Skill 194,Cloud,Advanced,"Competency in Cloud Skill 194 for practical, enterprise-ready outcomes.",85,0.204
SKL00195,Full Stack Skill 195,Full Stack,Expert,"Competency in Full Stack Skill 195 for practical, enterprise-ready outcomes.",77,0.614
SKL00196,Governance Skill 196,Governance,Expert,"Competency in Governance Skill 196 for practical, enterprise-ready outcomes.",83,0.773
SKL00197,Quality Management Skill 197,Quality Management,Advanced,"Competency in Quality Management Skill 197 for practical, enterprise-ready outcomes.",96,0.863
SKL00198,Sales Skill 198,Sales,Beginner,"Competency in Sales Skill 198 for practical, enterprise-ready outcomes.",73,0.196
SKL00199,Leadership Skill 199,Leadership,Intermediate,"Competency in Leadership Skill 199 for practical, enterprise-ready outcomes.",43,0.703
SKL00200,Cybersecurity Skill 200,Cybersecurity,Advanced,"Competency in Cybersecurity Skill 200 for practical, enterprise-ready outcomes.",88,0.807
SKL00201,Digital Marketing Skill 201,Digital Marketing,Advanced,"Competency in Digital Marketing Skill 201 for practical, enterprise-ready outcomes.",49,0.855
SKL00202,HR Skill 202,HR,Advanced,"Competency in HR Skill 202 for practical, enterprise-ready outcomes.",53,0.778
SKL00203,AI Skill 203,AI,Advanced,"Competency in AI Skill 203 for practical, enterprise-ready outcomes.",92,0.507
SKL00204,Manufacturing Skill 204,Manufacturing,Intermediate,"Competency in Manufacturing Skill 204 for practical, enterprise-ready outcomes.",87,0.682
SKL00205,Leadership Skill 205,Leadership,Intermediate,"Competency in Leadership Skill 205 for practical, enterprise-ready outcomes.",72,0.806
SKL00206,Sales Skill 206,Sales,Advanced,"Competency in Sales Skill 206 for practical, enterprise-ready outcomes.",84,0.698
SKL00207,Project Management Skill 207,Project Management,Expert,"Competency in Project Management Skill 207 for practical, enterprise-ready outcomes.",64,0.475
SKL00208,Sales Skill 208,Sales,Advanced,"Competency in Sales Skill 208 for practical, enterprise-ready outcomes.",75,0.148
SKL00209,HR Skill 209,HR,Advanced,"Competency in HR Skill 209 for practical, enterprise-ready outcomes.",52,0.659
SKL00210,Sales Skill 210,Sales,Expert,"Competency in Sales Skill 210 for practical, enterprise-ready outcomes.",93,0.303
SKL00211,Governance Skill 211,Governance,Advanced,"Competency in Governance Skill 211 for practical, enterprise-ready outcomes.",88,0.63
SKL00212,HR Skill 212,HR,Intermediate,"Competency in HR Skill 212 for practical, enterprise-ready outcomes.",89,0.752
SKL00213,Cybersecurity Skill 213,Cybersecurity,Advanced,"Competency in Cybersecurity Skill 213 for practical, enterprise-ready outcomes.",68,0.26
SKL00214,Governance Skill 214,Governance,Beginner,"Competency in Governance Skill 214 for practical, enterprise-ready outcomes.",51,0.966
SKL00215,HR Skill 215,HR,Beginner,"Competency in HR Skill 215 for practical, enterprise-ready outcomes.",64,0.137
