batch_id,enterprise_id,course_id,batch_name,trainer_id,start_date,end_date,delivery_mode,participant_count,attendance_avg_pct,completion_avg_pct,training_roi_score,status
BAT000016,ENT00137,CRS049677,Corporate Training Batch 16,USR041126,2025-11-19,2025-12-03,Hybrid,497,82,56,95,Running
BAT000017,ENT00445,CRS045880,Corporate Training Batch 17,USR044531,2026-02-22,2026-03-24,Online,168,83,68,27,Completed
BAT000018,ENT00493,CRS010760,Corporate Training Batch 18,USR030392,2026-05-05,2026-08-03,Online,226,79,40,42,Planned
BAT000019,ENT00108,CRS045169,Corporate Training Batch 19,USR002420,2026-02-05,2026-05-06,Hybrid,447,65,58,97,Completed
BAT000020,ENT00031,CRS022546,Corporate Training Batch 20,USR037114,2025-11-29,2026-01-13,Offline,173,88,20,56,Completed
BAT000021,ENT00171,CRS009000,Corporate Training Batch 21,USR005375,2025-11-18,2026-01-02,Online,388,83,92,73,Planned
BAT000022,ENT00291,CRS014284,Corporate Training Batch 22,USR008714,2026-01-31,2026-02-14,Hybrid,143,77,39,31,Completed
BAT000023,ENT00225,CRS045973,Corporate Training Batch 23,USR022051,2026-03-29,2026-05-28,Offline,151,61,98,28,Running
BAT000024,ENT00288,CRS003619,Corporate Training Batch 24,USR045368,2026-05-12,2026-06-11,Online,158,100,89,21,On Hold
BAT000025,ENT00220,CRS045813,Corporate Training Batch 25,USR033903,2026-01-22,2026-03-08,Online,483,55,79,52,Planned
BAT000026,ENT00487,CRS048161,Corporate Training Batch 26,USR045190,2026-05-12,2026-06-26,Online,301,59,24,48,Planned
BAT000027,ENT00291,CRS040568,Corporate Training Batch 27,USR000226,2026-01-02,2026-04-02,Hybrid,349,70,24,84,Completed
BAT000028,ENT00409,CRS020441,Corporate Training Batch 28,USR016215,2026-03-21,2026-06-19,Offline,477,63,47,24,Completed
BAT000029,ENT00128,CRS017563,Corporate Training Batch 29,USR029581,2026-03-25,2026-04-24,Online,352,64,47,77,Planned
BAT000030,ENT00177,CRS007446,Corporate Training Batch 30,USR000664,2026-03-08,2026-06-06,Offline,46,83,50,49,Running
BAT000031,ENT00205,CRS017253,Corporate Training Batch 31,USR032405,2025-11-17,2026-01-16,Online,109,66,83,54,On Hold
BAT000032,ENT00110,CRS010702,Corporate Training Batch 32,USR026726,2026-04-12,2026-05-27,Online,354,73,96,76,Completed
BAT000033,ENT00198,CRS015592,Corporate Training Batch 33,USR023779,2026-01-31,2026-03-17,Hybrid,332,88,33,66,Planned
BAT000034,ENT00406,CRS026179,Corporate Training Batch 34,USR003799,2025-11-30,2025-12-07,Online,84,71,59,42,Running
BAT000035,ENT00428,CRS020046,Corporate Training Batch 35,USR030082,2025-11-15,2025-12-30,Hybrid,407,61,88,46,Completed
BAT000036,ENT00036,CRS028452,Corporate Training Batch 36,USR003765,2025-11-27,2025-12-11,Hybrid,81,96,65,86,Completed
BAT000037,ENT00466,CRS011504,Corporate Training Batch 37,USR003117,2026-03-24,2026-04-07,Online,365,89,20,41,Completed
BAT000038,ENT00456,CRS000687,Corporate Training Batch 38,USR019463,2025-11-18,2026-01-02,Online,191,100,95,43,Planned
BAT000039,ENT00038,CRS002159,Corporate Training Batch 39,USR017954,2026-03-17,2026-03-31,Online,303,79,30,82,On Hold
BAT000040,ENT00205,CRS031051,Corporate Training Batch 40,USR027722,2026-03-29,2026-04-28,Hybrid,87,62,80,20,Running
BAT000041,ENT00248,CRS022146,Corporate Training Batch 41,USR005576,2026-02-22,2026-05-23,Online,276,66,55,97,On Hold
BAT000042,ENT00060,CRS017508,Corporate Training Batch 42,USR001080,2026-05-01,2026-07-30,Hybrid,353,97,75,91,Planned
BAT000043,ENT00343,CRS014068,Corporate Training Batch 43,USR018338,2026-02-22,2026-03-24,Hybrid,487,76,74,80,Running
BAT000044,ENT00477,CRS029451,Corporate Training Batch 44,USR012899,2026-03-24,2026-06-22,Online,247,74,88,94,Running
BAT000045,ENT00236,CRS011118,Corporate Training Batch 45,USR021585,2026-03-19,2026-05-03,Offline,304,57,44,23,Planned
BAT000046,ENT00353,CRS032719,Corporate Training Batch 46,USR012734,2026-02-17,2026-03-03,Online,272,78,32,70,On Hold
BAT000047,ENT00455,CRS020751,Corporate Training Batch 47,USR003380,2026-03-20,2026-03-27,Hybrid,440,75,40,93,On Hold
BAT000048,ENT00083,CRS041382,Corporate Training Batch 48,USR043244,2026-05-06,2026-05-20,Offline,128,96,62,46,Completed
BAT000049,ENT00336,CRS014261,Corporate Training Batch 49,USR010602,2025-11-18,2025-12-18,Online,405,69,56,47,Completed
BAT000050,ENT00133,CRS039911,Corporate Training Batch 50,USR039701,2025-12-22,2026-01-05,Offline,316,83,74,92,Planned
BAT000051,ENT00214,CRS032467,Corporate Training Batch 51,USR039572,2026-02-15,2026-02-22,Offline,471,86,33,80,On Hold
BAT000052,ENT00220,CRS029278,Corporate Training Batch 52,USR036501,2025-11-27,2025-12-11,Offline,164,66,83,86,Running
BAT000053,ENT00492,CRS009082,Corporate Training Batch 53,USR026447,2025-12-08,2026-03-08,Offline,83,62,58,92,Planned
BAT000054,ENT00308,CRS039291,Corporate Training Batch 54,USR042775,2026-02-06,2026-02-20,Hybrid,281,92,100,92,Planned
BAT000055,ENT00057,CRS046026,Corporate Training Batch 55,USR017909,2026-03-09,2026-05-08,Hybrid,481,84,81,42,On Hold
BAT000056,ENT00403,CRS020117,Corporate Training Batch 56,USR026493,2026-02-05,2026-05-06,Online,274,62,87,83,On Hold
BAT000057,ENT00332,CRS016646,Corporate Training Batch 57,USR043587,2026-02-24,2026-05-25,Online,242,83,34,43,Planned
BAT000058,ENT00283,CRS046785,Corporate Training Batch 58,USR035380,2026-04-08,2026-05-23,Offline,409,80,71,79,Planned
BAT000059,ENT00411,CRS007368,Corporate Training Batch 59,USR002574,2026-04-18,2026-05-02,Online,212,94,66,83,Running
BAT000060,ENT00127,CRS037175,Corporate Training Batch 60,USR048329,2026-04-21,2026-04-28,Offline,130,72,87,42,Running
BAT000061,ENT00200,CRS042026,Corporate Training Batch 61,USR044519,2025-12-26,2026-02-24,Hybrid,335,89,20,96,Running
BAT000062,ENT00454,CRS029057,Corporate Training Batch 62,USR013512,2026-01-28,2026-03-14,Offline,340,77,75,73,On Hold
BAT000063,ENT00341,CRS009424,Corporate Training Batch 63,USR006100,2025-11-27,2025-12-04,Hybrid,39,93,22,83,Planned
BAT000064,ENT00291,CRS032310,Corporate Training Batch 64,USR030515,2026-03-02,2026-04-01,Offline,52,57,30,41,Planned
BAT000065,ENT00232,CRS034569,Corporate Training Batch 65,USR042763,2025-11-18,2025-12-02,Offline,136,96,28,73,Completed
BAT000066,ENT00186,CRS003451,Corporate Training Batch 66,USR018699,2026-03-19,2026-03-26,Offline,219,72,93,89,On Hold
BAT000067,ENT00343,CRS010524,Corporate Training Batch 67,USR044350,2026-04-30,2026-05-14,Online,467,93,64,51,Planned
BAT000068,ENT00218,CRS039352,Corporate Training Batch 68,USR033611,2026-03-22,2026-05-21,Online,261,88,83,88,Completed
BAT000069,ENT00345,CRS016884,Corporate Training Batch 69,USR026696,2026-03-07,2026-05-06,Online,147,90,55,62,On Hold
BAT000070,ENT00091,CRS035438,Corporate Training Batch 70,USR044907,2026-02-16,2026-04-17,Hybrid,403,80,25,49,Planned
BAT000071,ENT00321,CRS047559,Corporate Training Batch 71,USR045876,2026-01-03,2026-02-17,Offline,111,55,27,80,Completed
BAT000072,ENT00440,CRS017307,Corporate Training Batch 72,USR049416,2026-02-25,2026-03-27,Hybrid,298,85,29,80,Completed
BAT000073,ENT00309,CRS002976,Corporate Training Batch 73,USR013811,2026-01-20,2026-01-27,Online,211,67,62,28,On Hold
BAT000074,ENT00034,CRS009450,Corporate Training Batch 74,USR016701,2026-04-03,2026-07-02,Online,439,82,69,82,On Hold
BAT000075,ENT00165,CRS013567,Corporate Training Batch 75,USR015276,2026-01-09,2026-01-23,Offline,467,69,67,60,Planned
BAT000076,ENT00267,CRS039266,Corporate Training Batch 76,USR008319,2026-03-03,2026-03-10,Offline,166,80,88,70,Planned
BAT000077,ENT00483,CRS047661,Corporate Training Batch 77,USR018744,2026-02-07,2026-05-08,Offline,149,68,22,91,Running
BAT000078,ENT00386,CRS009843,Corporate Training Batch 78,USR019053,2025-11-22,2026-01-06,Offline,195,77,46,21,Planned
BAT000079,ENT00365,CRS009924,Corporate Training Batch 79,USR049355,2025-12-24,2026-02-22,Online,372,93,23,95,Completed
BAT000080,ENT00186,CRS042776,Corporate Training Batch 80,USR045930,2026-02-13,2026-02-20,Online,28,82,54,82,Completed
BAT000081,ENT00065,CRS028951,Corporate Training Batch 81,USR039956,2025-12-19,2026-02-02,Online,486,84,29,69,On Hold
BAT000082,ENT00017,CRS023908,Corporate Training Batch 82,USR037722,2026-03-25,2026-04-01,Hybrid,453,68,24,60,On Hold
BAT000083,ENT00238,CRS034180,Corporate Training Batch 83,USR021935,2025-12-15,2026-01-14,Hybrid,500,100,34,21,Planned
BAT000084,ENT00320,CRS029515,Corporate Training Batch 84,USR025044,2026-03-16,2026-03-23,Offline,365,64,63,52,Planned
BAT000085,ENT00338,CRS015838,Corporate Training Batch 85,USR037648,2026-01-02,2026-02-16,Offline,17,92,59,20,Planned
BAT000086,ENT00145,CRS006720,Corporate Training Batch 86,USR017167,2026-05-10,2026-08-08,Offline,99,79,60,84,Running
BAT000087,ENT00255,CRS024647,Corporate Training Batch 87,USR031948,2026-01-15,2026-04-15,Online,217,90,90,64,Planned
BAT000088,ENT00160,CRS043806,Corporate Training Batch 88,USR046526,2026-02-22,2026-04-23,Online,227,76,24,78,Running
BAT000089,ENT00359,CRS043230,Corporate Training Batch 89,USR022117,2026-01-10,2026-02-24,Hybrid,19,96,81,31,Planned
BAT000090,ENT00097,CRS049733,Corporate Training Batch 90,USR005174,2026-04-05,2026-05-20,Hybrid,208,62,48,78,Completed
BAT000091,ENT00112,CRS047835,Corporate Training Batch 91,USR000113,2026-04-13,2026-06-12,Offline,343,92,32,21,Running
BAT000092,ENT00476,CRS043875,Corporate Training Batch 92,USR047411,2026-02-24,2026-03-26,Online,69,63,81,84,On Hold
BAT000093,ENT00233,CRS028474,Corporate Training Batch 93,USR047182,2025-11-20,2026-01-19,Hybrid,449,88,68,76,Running
BAT000094,ENT00388,CRS030377,Corporate Training Batch 94,USR016488,2026-05-10,2026-05-17,Online,108,83,59,95,Running
BAT000095,ENT00379,CRS029492,Corporate Training Batch 95,USR037871,2025-11-29,2025-12-13,Online,172,72,91,89,On Hold
BAT000096,ENT00288,CRS013273,Corporate Training Batch 96,USR045593,2026-01-07,2026-04-07,Online,395,81,63,98,Running
BAT000097,ENT00183,CRS041736,Corporate Training Batch 97,USR042325,2026-01-14,2026-01-21,Hybrid,15,98,33,29,On Hold
BAT000098,ENT00349,CRS018428,Corporate Training Batch 98,USR029727,2026-01-16,2026-03-17,Online,414,71,73,42,Planned
BAT000099,ENT00273,CRS047357,Corporate Training Batch 99,USR030484,2026-02-03,2026-04-04,Online,433,70,31,72,Running
BAT000100,ENT00287,CRS039261,Corporate Training Batch 100,USR028917,2026-01-05,2026-02-04,Online,48,70,80,93,Running
BAT000101,ENT00117,CRS048355,Corporate Training Batch 101,USR011487,2026-02-07,2026-03-24,Hybrid,43,70,54,69,Completed
BAT000102,ENT00334,CRS040217,Corporate Training Batch 102,USR001471,2026-01-10,2026-03-11,Hybrid,470,97,38,61,Planned
BAT000103,ENT00427,CRS004202,Corporate Training Batch 103,USR044427,2026-03-18,2026-06-16,Online,267,85,38,87,Planned
BAT000104,ENT00117,CRS034047,Corporate Training Batch 104,USR043743,2026-03-15,2026-03-29,Offline,341,59,36,49,Running
BAT000105,ENT00429,CRS048901,Corporate Training Batch 105,USR024014,2026-03-27,2026-05-11,Offline,269,59,28,36,On Hold
BAT000106,ENT00308,CRS005891,Corporate Training Batch 106,USR042235,2025-12-23,2026-01-06,Offline,459,94,59,59,Planned
BAT000107,ENT00297,CRS046901,Corporate Training Batch 107,USR046560,2026-01-04,2026-02-03,Online,258,57,20,43,Planned
BAT000108,ENT00273,CRS037938,Corporate Training Batch 108,USR032905,2026-05-02,2026-07-01,Hybrid,344,98,41,100,On Hold
BAT000109,ENT00454,CRS016986,Corporate Training Batch 109,USR000122,2025-12-31,2026-01-07,Online,302,82,92,93,Running
BAT000110,ENT00154,CRS022999,Corporate Training Batch 110,USR039118,2025-12-27,2026-01-10,Offline,241,60,20,59,Planned
BAT000111,ENT00109,CRS018832,Corporate Training Batch 111,USR015552,2026-04-19,2026-06-18,Hybrid,32,75,64,75,On Hold
BAT000112,ENT00223,CRS049123,Corporate Training Batch 112,USR013504,2026-03-14,2026-06-12,Hybrid,123,68,64,46,Completed
BAT000113,ENT00428,CRS036170,Corporate Training Batch 113,USR020894,2026-01-11,2026-03-12,Hybrid,439,65,23,37,Completed
BAT000114,ENT00457,CRS003046,Corporate Training Batch 114,USR010427,2026-03-13,2026-03-27,Offline,332,100,67,88,On Hold
BAT000115,ENT00159,CRS040289,Corporate Training Batch 115,USR041027,2026-01-25,2026-02-24,Online,446,82,29,32,Running
BAT000116,ENT00045,CRS007592,Corporate Training Batch 116,USR017042,2026-02-24,2026-04-25,Online,53,61,82,94,On Hold
BAT000117,ENT00313,CRS045846,Corporate Training Batch 117,USR040970,2026-02-27,2026-03-06,Hybrid,306,90,81,28,On Hold
BAT000118,ENT00411,CRS014393,Corporate Training Batch 118,USR033358,2026-04-27,2026-06-26,Online,199,100,60,39,Planned
BAT000119,ENT00198,CRS003866,Corporate Training Batch 119,USR046361,2026-02-04,2026-03-21,Hybrid,214,98,75,67,Running
BAT000120,ENT00387,CRS040641,Corporate Training Batch 120,USR040132,2025-11-27,2026-01-26,Online,317,61,24,22,Completed
BAT000121,ENT00408,CRS004454,Corporate Training Batch 121,USR010842,2026-03-01,2026-04-15,Offline,74,94,24,70,On Hold
BAT000122,ENT00038,CRS030719,Corporate Training Batch 122,USR046850,2026-02-21,2026-04-07,Online,344,88,25,97,Running
BAT000123,ENT00317,CRS020423,Corporate Training Batch 123,USR021927,2025-11-18,2026-01-02,Online,322,82,20,82,Planned
BAT000124,ENT00307,CRS024223,Corporate Training Batch 124,USR015916,2026-01-03,2026-01-17,Offline,369,86,60,32,Running
BAT000125,ENT00468,CRS043327,Corporate Training Batch 125,USR015671,2026-05-08,2026-05-22,Online,299,62,81,52,Running
BAT000126,ENT00316,CRS032576,Corporate Training Batch 126,USR042680,2026-04-30,2026-06-29,Offline,79,86,35,70,On Hold
BAT000127,ENT00046,CRS008629,Corporate Training Batch 127,USR043470,2026-01-06,2026-01-20,Offline,373,67,28,41,Planned
BAT000128,ENT00032,CRS022734,Corporate Training Batch 128,USR019550,2026-01-11,2026-02-25,Offline,262,58,28,65,Planned
BAT000129,ENT00183,CRS032313,Corporate Training Batch 129,USR039962,2026-02-25,2026-03-04,Offline,305,79,100,35,On Hold
BAT000130,ENT00245,CRS039373,Corporate Training Batch 130,USR026441,2026-04-25,2026-06-09,Offline,419,78,49,52,Completed
BAT000131,ENT00177,CRS040994,Corporate Training Batch 131,USR036369,2025-11-21,2026-01-20,Online,369,58,21,59,Completed
BAT000132,ENT00085,CRS048359,Corporate Training Batch 132,USR005663,2026-03-04,2026-04-18,Hybrid,318,58,53,96,On Hold
BAT000133,ENT00046,CRS039104,Corporate Training Batch 133,USR041888,2025-12-13,2026-01-27,Online,245,85,54,79,On Hold
BAT000134,ENT00295,CRS049201,Corporate Training Batch 134,USR048093,2026-02-09,2026-05-10,Offline,334,80,57,25,Planned
BAT000135,ENT00240,CRS044186,Corporate Training Batch 135,USR029138,2026-01-03,2026-02-17,Hybrid,343,59,22,29,On Hold
BAT000136,ENT00321,CRS029664,Corporate Training Batch 136,USR019296,2025-11-17,2026-01-01,Offline,452,100,54,94,On Hold
BAT000137,ENT00213,CRS046843,Corporate Training Batch 137,USR022845,2025-11-14,2025-11-28,Offline,391,62,66,30,On Hold
BAT000138,ENT00031,CRS021343,Corporate Training Batch 138,USR032355,2026-03-14,2026-03-28,Online,144,60,98,90,On Hold
BAT000139,ENT00275,CRS048445,Corporate Training Batch 139,USR045871,2025-12-31,2026-01-14,Hybrid,73,97,55,63,Running
BAT000140,ENT00383,CRS045750,Corporate Training Batch 140,USR033416,2026-04-24,2026-05-08,Offline,337,98,24,36,Completed
BAT000141,ENT00253,CRS044096,Corporate Training Batch 141,USR005852,2026-01-16,2026-02-15,Offline,103,95,21,98,On Hold
BAT000142,ENT00220,CRS012825,Corporate Training Batch 142,USR020611,2026-02-01,2026-05-02,Offline,484,78,45,76,Planned
BAT000143,ENT00299,CRS045305,Corporate Training Batch 143,USR003192,2026-02-15,2026-04-01,Offline,59,57,81,68,Running
BAT000144,ENT00415,CRS044279,Corporate Training Batch 144,USR024324,2025-12-13,2026-02-11,Offline,407,81,56,100,Running
BAT000145,ENT00217,CRS045742,Corporate Training Batch 145,USR047343,2026-04-12,2026-07-11,Online,480,72,84,89,On Hold
BAT000146,ENT00417,CRS037860,Corporate Training Batch 146,USR014080,2026-03-09,2026-05-08,Online,487,59,82,73,On Hold
BAT000147,ENT00248,CRS020062,Corporate Training Batch 147,USR012177,2025-11-25,2026-01-24,Offline,338,99,89,65,Completed
BAT000148,ENT00030,CRS027037,Corporate Training Batch 148,USR048177,2025-11-30,2026-01-29,Online,83,87,92,58,Running
BAT000149,ENT00325,CRS034403,Corporate Training Batch 149,USR027185,2025-12-06,2026-01-20,Hybrid,366,57,49,86,On Hold
BAT000150,ENT00389,CRS025623,Corporate Training Batch 150,USR041713,2026-02-28,2026-05-29,Offline,409,95,37,77,Planned
BAT000151,ENT00095,CRS028148,Corporate Training Batch 151,USR044844,2026-03-27,2026-04-26,Offline,53,86,77,61,Running
BAT000152,ENT00254,CRS042248,Corporate Training Batch 152,USR017061,2025-11-23,2026-02-21,Offline,475,87,40,70,Completed
BAT000153,ENT00363,CRS041695,Corporate Training Batch 153,USR048993,2026-03-06,2026-06-04,Offline,36,84,38,68,Completed
BAT000154,ENT00243,CRS011251,Corporate Training Batch 154,USR038417,2026-03-26,2026-05-10,Offline,98,75,58,91,Planned
BAT000155,ENT00146,CRS035131,Corporate Training Batch 155,USR018458,2026-05-09,2026-05-16,Offline,255,65,21,73,Running
BAT000156,ENT00220,CRS002128,Corporate Training Batch 156,USR001977,2026-02-09,2026-02-23,Hybrid,351,62,57,42,Completed
BAT000157,ENT00312,CRS024679,Corporate Training Batch 157,USR024674,2026-03-01,2026-03-08,Online,139,96,76,21,Completed
BAT000158,ENT00321,CRS015496,Corporate Training Batch 158,USR018375,2026-01-14,2026-04-14,Hybrid,356,90,82,73,On Hold
BAT000159,ENT00017,CRS030103,Corporate Training Batch 159,USR035836,2025-12-25,2026-01-01,Offline,420,85,32,57,Planned
BAT000160,ENT00355,CRS033627,Corporate Training Batch 160,USR043751,2025-12-19,2026-03-19,Online,339,100,68,42,Planned
BAT000161,ENT00373,CRS031016,Corporate Training Batch 161,USR015114,2025-11-19,2025-12-19,Online,359,82,20,95,Completed
BAT000162,ENT00337,CRS029668,Corporate Training Batch 162,USR036937,2025-12-17,2026-01-16,Online,146,96,88,94,On Hold
BAT000163,ENT00427,CRS012275,Corporate Training Batch 163,USR025848,2026-02-01,2026-05-02,Offline,423,59,20,32,On Hold
BAT000164,ENT00223,CRS019217,Corporate Training Batch 164,USR010976,2026-03-22,2026-05-06,Hybrid,257,94,93,30,Running
BAT000165,ENT00230,CRS032447,Corporate Training Batch 165,USR010819,2025-12-19,2026-02-17,Online,438,93,75,45,Planned
BAT000166,ENT00286,CRS047305,Corporate Training Batch 166,USR049231,2025-12-19,2026-02-17,Online,117,100,37,75,Planned
BAT000167,ENT00256,CRS014494,Corporate Training Batch 167,USR048596,2025-12-07,2025-12-21,Offline,453,99,85,86,Planned
BAT000168,ENT00465,CRS045989,Corporate Training Batch 168,USR009821,2026-03-17,2026-04-16,Online,192,89,90,21,Running
BAT000169,ENT00007,CRS045018,Corporate Training Batch 169,USR003346,2026-05-06,2026-06-05,Hybrid,65,75,39,61,Running
BAT000170,ENT00085,CRS009785,Corporate Training Batch 170,USR023760,2026-03-24,2026-06-22,Offline,432,80,28,82,On Hold
BAT000171,ENT00391,CRS042914,Corporate Training Batch 171,USR038797,2026-01-06,2026-03-07,Hybrid,242,68,24,99,Planned
BAT000172,ENT00240,CRS003082,Corporate Training Batch 172,USR046590,2026-02-19,2026-05-20,Online,397,96,92,54,Running
BAT000173,ENT00077,CRS030257,Corporate Training Batch 173,USR009343,2026-04-12,2026-04-26,Online,176,69,69,41,Planned
BAT000174,ENT00213,CRS042974,Corporate Training Batch 174,USR000468,2026-01-29,2026-03-30,Offline,150,72,94,64,On Hold
BAT000175,ENT00461,CRS033704,Corporate Training Batch 175,USR023162,2026-05-11,2026-05-25,Online,101,72,98,90,Running
BAT000176,ENT00335,CRS014818,Corporate Training Batch 176,USR025251,2026-03-22,2026-05-21,Hybrid,244,67,28,59,Completed
BAT000177,ENT00211,CRS001737,Corporate Training Batch 177,USR013123,2026-03-07,2026-03-14,Hybrid,48,59,100,37,Completed
BAT000178,ENT00423,CRS023212,Corporate Training Batch 178,USR041442,2026-03-11,2026-06-09,Hybrid,81,81,20,49,Completed
BAT000179,ENT00256,CRS013592,Corporate Training Batch 179,USR010436,2026-03-16,2026-04-15,Online,49,66,78,83,Planned
BAT000180,ENT00320,CRS000515,Corporate Training Batch 180,USR022368,2025-12-09,2026-02-07,Offline,54,100,50,43,Running
BAT000181,ENT00011,CRS047643,Corporate Training Batch 181,USR010541,2026-02-06,2026-02-13,Hybrid,388,60,48,96,Planned
BAT000182,ENT00401,CRS017403,Corporate Training Batch 182,USR020368,2026-04-14,2026-06-13,Online,35,98,42,23,Completed
BAT000183,ENT00261,CRS042262,Corporate Training Batch 183,USR034640,2026-02-04,2026-03-06,Offline,471,97,98,26,Running
BAT000184,ENT00263,CRS038764,Corporate Training Batch 184,USR039466,2026-03-31,2026-04-30,Hybrid,478,61,32,56,Running
BAT000185,ENT00231,CRS048408,Corporate Training Batch 185,USR013208,2026-01-12,2026-04-12,Online,416,89,80,50,On Hold
BAT000186,ENT00437,CRS022782,Corporate Training Batch 186,USR006085,2025-12-04,2025-12-18,Hybrid,247,94,83,87,Running
BAT000187,ENT00105,CRS042539,Corporate Training Batch 187,USR049202,2026-03-16,2026-04-15,Hybrid,75,88,96,77,Completed
BAT000188,ENT00378,CRS002809,Corporate Training Batch 188,USR040208,2026-04-12,2026-06-11,Offline,162,84,30,59,Planned
BAT000189,ENT00199,CRS000849,Corporate Training Batch 189,USR044063,2025-11-29,2026-02-27,Offline,163,75,42,21,Completed
BAT000190,ENT00198,CRS006101,Corporate Training Batch 190,USR010500,2025-12-08,2026-03-08,Offline,105,67,26,96,On Hold
BAT000191,ENT00413,CRS048880,Corporate Training Batch 191,USR002159,2026-02-07,2026-03-24,Hybrid,69,57,25,83,Planned
BAT000192,ENT00347,CRS009037,Corporate Training Batch 192,USR012808,2025-12-05,2026-01-04,Offline,36,63,76,79,Completed
BAT000193,ENT00430,CRS027036,Corporate Training Batch 193,USR044870,2025-11-23,2025-12-07,Hybrid,163,63,47,37,Planned
BAT000194,ENT00027,CRS002771,Corporate Training Batch 194,USR047175,2026-01-08,2026-04-08,Online,374,69,87,43,Completed
BAT000195,ENT00268,CRS003640,Corporate Training Batch 195,USR012043,2025-12-04,2026-01-18,Online,398,72,80,46,Completed
BAT000196,ENT00083,CRS033309,Corporate Training Batch 196,USR029074,2026-03-08,2026-04-22,Hybrid,278,62,35,52,Planned
BAT000197,ENT00072,CRS015672,Corporate Training Batch 197,USR038657,2026-03-10,2026-03-17,Offline,141,89,53,77,Planned
BAT000198,ENT00388,CRS021508,Corporate Training Batch 198,USR034425,2026-04-25,2026-05-02,Online,63,98,27,22,On Hold
BAT000199,ENT00008,CRS040492,Corporate Training Batch 199,USR007294,2026-03-29,2026-06-27,Online,51,89,71,85,Planned
BAT000200,ENT00076,CRS000303,Corporate Training Batch 200,USR048328,2026-04-20,2026-06-04,Online,199,76,64,49,Running
BAT000201,ENT00379,CRS038046,Corporate Training Batch 201,USR001475,2026-02-27,2026-03-29,Online,431,82,85,77,Planned
BAT000202,ENT00419,CRS004760,Corporate Training Batch 202,USR001885,2025-12-10,2026-02-08,Online,384,67,23,70,Planned
BAT000203,ENT00131,CRS037267,Corporate Training Batch 203,USR030022,2025-12-29,2026-03-29,Hybrid,99,85,36,39,On Hold
BAT000204,ENT00109,CRS025021,Corporate Training Batch 204,USR003012,2025-11-15,2025-12-15,Online,15,85,30,21,On Hold
BAT000205,ENT00217,CRS000636,Corporate Training Batch 205,USR048030,2026-04-22,2026-05-22,Online,142,80,79,53,Completed
BAT000206,ENT00484,CRS008913,Corporate Training Batch 206,USR046510,2026-02-21,2026-02-28,Hybrid,442,89,83,63,Planned
BAT000207,ENT00216,CRS004651,Corporate Training Batch 207,USR045064,2025-11-22,2026-01-21,Online,408,96,83,83,Planned
BAT000208,ENT00439,CRS017420,Corporate Training Batch 208,USR041807,2026-04-25,2026-05-09,Hybrid,17,61,60,42,Running
BAT000209,ENT00239,CRS046644,Corporate Training Batch 209,USR001138,2025-12-30,2026-03-30,Hybrid,475,97,81,44,Running
BAT000210,ENT00287,CRS025276,Corporate Training Batch 210,USR040066,2026-03-09,2026-04-23,Hybrid,56,70,87,47,Completed
BAT000211,ENT00041,CRS043818,Corporate Training Batch 211,USR042031,2026-01-06,2026-01-20,Offline,462,82,72,98,Planned
BAT000212,ENT00395,CRS016299,Corporate Training Batch 212,USR030664,2025-12-26,2026-01-25,Hybrid,478,78,37,60,Running
