certificate_id,user_id,course_id,credential_type,certificate_title,issued_date,expiry_date,verification_qr_url,blockchain_hash,status
CERT0000013,USR000785,CRS028998,Skill Badge,Skill Badge in Cybersecurity,2025-07-03,2028-07-02,https://verify.kaasdemo.ai/cert/782432af-4fb8-4ef4-88b4-f8ca013fffce,93a95de52de84e7699ab9a59be31df60,Revoked
CERT0000014,USR013351,CRS045283,Professional Certificate,Compliance Certificate in Manufacturing,2026-02-24,2029-02-23,https://verify.kaasdemo.ai/cert/0d95a191-c316-4bca-bee0-a5e6716f245c,b1b3e33ff256403893980ceb7f82d736,Revoked
CERT0000015,USR029207,CRS036301,Micro Credential,Leadership Credential in AI,2026-01-22,2027-01-22,https://verify.kaasdemo.ai/cert/ace0088d-4c03-4d23-8dd2-a5439166d517,685bba7319e042feac5fd91cf6f85366,Active
CERT0000016,USR015885,CRS001677,Leadership Credential,Leadership Credential in Cloud,2025-12-03,2028-12-02,https://verify.kaasdemo.ai/cert/57888ec0-93df-410b-b645-e3b1a12faa12,63ccad1bf28b4170af64f63d17c55d45,Revoked
CERT0000017,USR035756,CRS025079,Micro Credential,Completion Certificate in Sales,2026-04-14,2028-04-13,https://verify.kaasdemo.ai/cert/5bd6ce7d-42ec-4ffa-b636-10237b476424,a619fcbf162149d6b30915a6f540ab57,Active
CERT0000018,USR039793,CRS008322,Completion Certificate,Leadership Credential in AI,2025-10-02,2026-10-02,https://verify.kaasdemo.ai/cert/df20ad94-bc2e-4f74-80a2-60db2d909e96,21420200c0f0474783b292be74df260a,Expired
CERT0000019,USR009926,CRS008986,Professional Certificate,Leadership Credential in Quality Management,2025-06-01,2027-06-01,https://verify.kaasdemo.ai/cert/38c7d690-d6ec-426e-ac11-030ae60e067b,34515cc186df4894b80306bcb11b0911,Active
CERT0000020,USR044081,CRS002813,Leadership Credential,Leadership Credential in Cybersecurity,2025-08-28,2028-08-27,https://verify.kaasdemo.ai/cert/e70b77f1-8d7f-4f65-952b-70f084cf6c56,d9c1605812bd45c3ad32e0469a8a1ce1,Active
CERT0000021,USR042008,CRS009474,Compliance Certificate,Compliance Certificate in Data Science,2026-04-26,2029-04-25,https://verify.kaasdemo.ai/cert/408bb856-9d1f-4485-8dfe-a474303df610,f2fef5681557451abe85d1a96892712a,Active
CERT0000022,USR015129,CRS022863,Professional Certificate,Skill Badge in Healthcare,2025-11-08,2026-11-08,https://verify.kaasdemo.ai/cert/05e345ff-c0bd-4b92-a553-0ed0e7d7133e,5b967b5b52f64bc1932363b406a8a480,Expired
CERT0000023,USR005321,CRS012866,Micro Credential,Professional Certificate in HR,2025-08-30,2027-08-30,https://verify.kaasdemo.ai/cert/32e178f1-a727-4451-a1ce-3f855b7fb329,b71abb71e309491cb2d5beebec25710b,Active
CERT0000024,USR005279,CRS043160,Professional Certificate,Micro Credential in Leadership,2025-11-07,2027-11-07,https://verify.kaasdemo.ai/cert/db65411a-8f02-4a56-a658-e3cf7351dde0,10239c8715a64216ab8ee9d7ee1ef3f3,Expired
CERT0000025,USR023091,CRS019415,Skill Badge,Leadership Credential in Digital Marketing,2026-05-04,2028-05-03,https://verify.kaasdemo.ai/cert/20d3a337-c41f-414e-8d90-1fa04a7438a9,94987953b7b546528fc90e3f8932504e,Revoked
CERT0000026,USR031326,CRS044395,Skill Badge,Professional Certificate in Governance,2025-06-03,2028-06-02,https://verify.kaasdemo.ai/cert/6e9a2f1b-569e-462c-81d5-fad1b349a2f9,c07be0d5904c4b0fa35b67bc9fa793a1,Expired
CERT0000027,USR020778,CRS019445,Skill Badge,Completion Certificate in Full Stack,2026-04-01,2028-03-31,https://verify.kaasdemo.ai/cert/e5f744c0-e60d-4ad0-b9cc-78ceec2284fa,35b1f3605e3a4141ae34dc5cb7731476,Revoked
CERT0000028,USR011253,CRS011161,Professional Certificate,Compliance Certificate in Governance,2025-09-11,2027-09-11,https://verify.kaasdemo.ai/cert/0c3ccccf-dbb4-4271-9ea6-fdab789864a8,fb645f43076a4e12ae3ef2544a1bfd64,Active
CERT0000029,USR035682,CRS024763,Completion Certificate,Completion Certificate in Full Stack,2026-04-19,2029-04-18,https://verify.kaasdemo.ai/cert/f13deea0-77e3-4ed4-9e39-4467b2555e84,59aff989744140a793cbb95d41d03c93,Active
CERT0000030,USR018519,CRS039987,Compliance Certificate,Leadership Credential in Leadership,2025-09-04,2026-09-04,https://verify.kaasdemo.ai/cert/7987ae04-86bd-413e-b9ea-415c49b9e307,4e9f53ee3533498685d49f0c1d48aec3,Expired
CERT0000031,USR010743,CRS028880,Compliance Certificate,Completion Certificate in Sales,2025-08-13,2028-08-12,https://verify.kaasdemo.ai/cert/08737ea8-ee92-448e-aaa2-2a4b7a84781d,e09716a78936457293a856912ec3ed58,Expired
CERT0000032,USR042956,CRS014551,Compliance Certificate,Compliance Certificate in Project Management,2025-10-10,2028-10-09,https://verify.kaasdemo.ai/cert/98c7e52d-3af8-4138-aa6a-045a81fc5770,c09d7e6d5aba4d86a8308d9e72ca177f,Expired
CERT0000033,USR022009,CRS036293,Skill Badge,Compliance Certificate in Cloud,2026-01-27,2027-01-27,https://verify.kaasdemo.ai/cert/5d3dae89-8a4e-420a-974f-5fd737e012b8,4c8c5cce0205464cbc3f45fae2ca02a6,Active
CERT0000034,USR013470,CRS016495,Skill Badge,Compliance Certificate in Cloud,2025-09-30,2027-09-30,https://verify.kaasdemo.ai/cert/28240dcf-4412-4c7b-af33-5dff7531fb46,d46d7c1210ca4ff6b500b97c719686ab,Expired
CERT0000035,USR042682,CRS029706,Micro Credential,Micro Credential in Sales,2025-05-17,2026-05-17,https://verify.kaasdemo.ai/cert/4fd0eb59-f512-4d83-9386-db1dfef15822,e8ec10741ca24911a770fd6ea6242e82,Active
CERT0000036,USR037951,CRS045278,Skill Badge,Skill Badge in AI,2025-05-28,2026-05-28,https://verify.kaasdemo.ai/cert/29b42ff0-e46f-4a86-b658-df95404bedc1,b9ab7c850b88460694351c1fbb730752,Active
CERT0000037,USR012458,CRS029728,Professional Certificate,Professional Certificate in Governance,2026-02-05,2027-02-05,https://verify.kaasdemo.ai/cert/0ba4991d-0e51-4e23-9690-5fa8251432e0,b6876c8932ec4f58a1693e4c3e28b2f0,Active
CERT0000038,USR016099,CRS042197,Leadership Credential,Compliance Certificate in Quality Management,2025-12-28,2026-12-28,https://verify.kaasdemo.ai/cert/e5e9d5f2-6e9e-426f-8f44-01596a9ff049,1c37cc815fe44255a0b4fadd85ca14e6,Revoked
CERT0000039,USR027405,CRS046184,Professional Certificate,Completion Certificate in Cybersecurity,2025-11-03,2028-11-02,https://verify.kaasdemo.ai/cert/da22b1aa-61c1-48d1-97bf-2c48a0a71327,3534907a78c947478b49fee7a7d7b1f8,Expired
CERT0000040,USR018239,CRS023483,Professional Certificate,Micro Credential in Project Management,2026-02-25,2027-02-25,https://verify.kaasdemo.ai/cert/2a29594b-7eb1-4655-8b30-59ed287878d9,ba2d63ab2d8a43eeb429b4cede86ee34,Revoked
CERT0000041,USR024942,CRS020082,Leadership Credential,Skill Badge in AI,2025-06-21,2027-06-21,https://verify.kaasdemo.ai/cert/840d007f-e106-4e55-b19a-3eb7464c96d3,98f4259f4d764400a60ef6584acf25b1,Active
CERT0000042,USR020305,CRS013376,Leadership Credential,Compliance Certificate in Cybersecurity,2025-08-24,2027-08-24,https://verify.kaasdemo.ai/cert/0e9723f1-2dff-4b07-8990-149e60973315,446a8f3a908f40019978ee0cfb3c4870,Active
CERT0000043,USR033493,CRS046134,Compliance Certificate,Professional Certificate in Data Science,2026-01-11,2029-01-10,https://verify.kaasdemo.ai/cert/49fc7a72-caf0-4755-b65f-c81cffde3ee1,577c5f7e2d7c4183b00f56a0610c33a1,Active
CERT0000044,USR049018,CRS036989,Compliance Certificate,Micro Credential in AI,2025-12-13,2028-12-12,https://verify.kaasdemo.ai/cert/0e8c675d-9467-48cc-8e63-490cfc6a352b,0ace8dbcec1049df9df1ef7bd76cb3a5,Active
CERT0000045,USR009868,CRS020255,Micro Credential,Micro Credential in Data Science,2025-10-17,2027-10-17,https://verify.kaasdemo.ai/cert/58d0f6e5-d836-4208-9c3f-434662fe3c05,b1ace47713f04f558a42dd7851e09b0c,Active
CERT0000046,USR044262,CRS032822,Micro Credential,Compliance Certificate in Full Stack,2025-06-04,2028-06-03,https://verify.kaasdemo.ai/cert/05b0bd6b-3616-410c-b5c8-e32e04fb29b4,b8df2429b0c347bcafcefb5df3cda73e,Active
CERT0000047,USR033611,CRS030416,Professional Certificate,Compliance Certificate in Finance,2025-09-22,2026-09-22,https://verify.kaasdemo.ai/cert/96265fe4-755e-4c62-a64a-e6c1e63f60f7,83f2c0af4ea34a96a131922c341caba9,Active
CERT0000048,USR026605,CRS040099,Skill Badge,Micro Credential in Healthcare,2025-08-05,2028-08-04,https://verify.kaasdemo.ai/cert/837cfc56-397b-4678-8564-c71df9c8bd7a,a288d2999d7f40fbb7c5a2df53c93bb6,Active
CERT0000049,USR027434,CRS033621,Micro Credential,Compliance Certificate in AI,2026-01-17,2029-01-16,https://verify.kaasdemo.ai/cert/88a56812-be85-4c47-8a56-7446b64c4ac4,691bc66d531741a8acb4c859dcff8e9f,Revoked
CERT0000050,USR013669,CRS008237,Completion Certificate,Micro Credential in Manufacturing,2025-06-24,2026-06-24,https://verify.kaasdemo.ai/cert/f31ed739-4540-4494-8d25-dec53c0675e8,f43312c7a08d495289c456b85306afb6,Active
CERT0000051,USR020206,CRS012016,Micro Credential,Professional Certificate in Full Stack,2025-12-29,2027-12-29,https://verify.kaasdemo.ai/cert/2afd8b3b-a0f3-4c91-aa4a-ff2b49e99bee,fe6afe75454140d796d146f95bccefeb,Revoked
CERT0000052,USR000971,CRS034533,Leadership Credential,Leadership Credential in Finance,2025-06-07,2028-06-06,https://verify.kaasdemo.ai/cert/3a3846c1-9522-4158-aa22-09a0c460d65d,1e7d0a2bc6704179a112ccee4f59ea20,Revoked
CERT0000053,USR016570,CRS044794,Completion Certificate,Skill Badge in Sales,2025-06-04,2026-06-04,https://verify.kaasdemo.ai/cert/9cf4530e-446d-43ea-a762-588af8e9d0f2,1ec313b6e68645c883d349441609273b,Revoked
CERT0000054,USR031488,CRS033181,Professional Certificate,Compliance Certificate in Quality Management,2026-03-31,2029-03-30,https://verify.kaasdemo.ai/cert/c09007e0-4c6d-4e4e-a972-7fce37ff1491,abf80f12d36e4b7a970d4b2532ea94fd,Expired
CERT0000055,USR041399,CRS046280,Micro Credential,Leadership Credential in Sales,2025-09-30,2026-09-30,https://verify.kaasdemo.ai/cert/63a633fd-cd2c-4219-91d5-4d895b067f0b,aaa35cbada21467caed5eee41e9bebbd,Active
CERT0000056,USR004899,CRS010000,Completion Certificate,Professional Certificate in Data Science,2025-10-13,2027-10-13,https://verify.kaasdemo.ai/cert/b911fe24-ac79-4915-8926-b239153f2240,0f4ba6215aa44bde8f36b5fb570feada,Active
CERT0000057,USR029336,CRS040119,Completion Certificate,Professional Certificate in HR,2025-10-20,2027-10-20,https://verify.kaasdemo.ai/cert/5e972c60-cd26-42de-8ed7-146bad3428f6,6230c8aac9bb462aa25b968c17a29ecb,Active
CERT0000058,USR002406,CRS031574,Skill Badge,Micro Credential in Data Science,2025-07-15,2027-07-15,https://verify.kaasdemo.ai/cert/dc8211e8-faf9-4ecb-b18b-638d3fea6b08,7749db5074d64fc6b516916948d8469f,Active
CERT0000059,USR005255,CRS031086,Leadership Credential,Skill Badge in Cybersecurity,2025-08-12,2026-08-12,https://verify.kaasdemo.ai/cert/f8a32346-345d-4bfe-b3b4-f149c2c1f175,e3cb9c3984634a15a77945faa517d137,Revoked
CERT0000060,USR014776,CRS017990,Micro Credential,Professional Certificate in AI,2025-12-20,2028-12-19,https://verify.kaasdemo.ai/cert/e7b7d540-5e31-4842-91f1-98b81eea81c1,670acdb25dab4369960a4ead23704f36,Active
CERT0000061,USR005279,CRS038803,Leadership Credential,Micro Credential in Healthcare,2026-03-04,2028-03-03,https://verify.kaasdemo.ai/cert/4daa5329-695e-48c5-888d-617bcfee3c35,da83bff346484c8aa50eee9c58a74a7b,Revoked
CERT0000062,USR037807,CRS033903,Professional Certificate,Professional Certificate in Governance,2025-10-06,2027-10-06,https://verify.kaasdemo.ai/cert/5f0bca0d-f3a2-4526-adfb-abb4cf5de0e8,b925f3adc7bc4a9a905ebf90630af6eb,Active
CERT0000063,USR027862,CRS041515,Leadership Credential,Professional Certificate in Leadership,2025-06-15,2026-06-15,https://verify.kaasdemo.ai/cert/a4bfc5fe-cf52-403f-9e25-64823f369957,523bfb1515da4c7a85d6565477e5b0b0,Active
CERT0000064,USR002063,CRS040326,Skill Badge,Professional Certificate in Digital Marketing,2025-08-17,2028-08-16,https://verify.kaasdemo.ai/cert/2fd9aa49-a410-464c-b428-61c8e2565d79,eef741bc46d94be889927decc5f0e68c,Active
CERT0000065,USR002302,CRS025597,Completion Certificate,Professional Certificate in Finance,2025-11-18,2028-11-17,https://verify.kaasdemo.ai/cert/3ebf7fc7-ee69-4a52-8764-0471f0792142,32338c4dc3314449b19e9f2a24cc0a22,Active
CERT0000066,USR019611,CRS021635,Skill Badge,Skill Badge in Sales,2026-01-11,2027-01-11,https://verify.kaasdemo.ai/cert/2f86f576-51da-4e30-8694-2589f387c7db,d3552d8b934b4fbc94075361b128be89,Active
CERT0000067,USR013012,CRS007521,Leadership Credential,Leadership Credential in AI,2026-02-02,2028-02-02,https://verify.kaasdemo.ai/cert/d207ea0d-160c-4d21-801b-16b28e613527,d83dad3a5e724198b2aae25155cf361f,Active
CERT0000068,USR043467,CRS044821,Skill Badge,Leadership Credential in Data Science,2025-09-29,2027-09-29,https://verify.kaasdemo.ai/cert/8f1dcfeb-7076-4c90-86d8-649cffdc57bb,34517b60aa2e4752ab2aed6f53acbc4b,Active
CERT0000069,USR015429,CRS038227,Skill Badge,Compliance Certificate in Manufacturing,2026-04-03,2029-04-02,https://verify.kaasdemo.ai/cert/588ba8d1-97ee-4521-b8c1-f4e3bce8f0bf,9c6695290b42475d87ced941c568d8fa,Active
CERT0000070,USR032628,CRS046320,Compliance Certificate,Compliance Certificate in Full Stack,2026-01-10,2029-01-09,https://verify.kaasdemo.ai/cert/4bfe06cc-3148-43ee-9ff6-9c1632148741,d28569ff51a74f299e37c8eb778dbda7,Active
CERT0000071,USR017274,CRS045967,Skill Badge,Leadership Credential in HR,2025-11-05,2027-11-05,https://verify.kaasdemo.ai/cert/523c77a1-5224-49e9-b806-9ed513495fcc,0870e8bec0264794a451f160df97c4c1,Active
CERT0000072,USR047872,CRS021026,Micro Credential,Skill Badge in Data Science,2025-05-23,2026-05-23,https://verify.kaasdemo.ai/cert/1113899f-f661-4923-9465-44f26918b66e,8be7bfeba3a2483ca409b6181156d601,Revoked
CERT0000073,USR045834,CRS011618,Skill Badge,Leadership Credential in Project Management,2026-01-21,2029-01-20,https://verify.kaasdemo.ai/cert/3e9204a5-9b2f-46c5-becb-3a880df6b730,652346e217a54aeabab3dc6b32aa3b8f,Active
CERT0000074,USR019565,CRS003672,Professional Certificate,Skill Badge in Cybersecurity,2025-10-20,2028-10-19,https://verify.kaasdemo.ai/cert/525ab0de-ea7d-4031-8a15-14c7e4cb067d,6d6de4b0db324b7ba02c5b81194fabb9,Active
CERT0000075,USR013682,CRS046847,Completion Certificate,Leadership Credential in Data Science,2026-02-13,2029-02-12,https://verify.kaasdemo.ai/cert/d77f4414-875a-411c-9eb8-c07d20c79e5e,1fe2fd4781b64fb4945338c51f7cf9bd,Expired
CERT0000076,USR020749,CRS006959,Completion Certificate,Leadership Credential in Cybersecurity,2025-06-03,2026-06-03,https://verify.kaasdemo.ai/cert/375484b7-af20-438c-801f-056576bf82d1,3aca9523c81b4fc9b53fdc2de6e3a3dc,Active
CERT0000077,USR002762,CRS040824,Completion Certificate,Professional Certificate in Governance,2025-12-16,2027-12-16,https://verify.kaasdemo.ai/cert/2615f588-ff9e-4715-a2f5-218812352064,eaca2d92afc24793aa590095a0623294,Active
CERT0000078,USR000737,CRS020718,Skill Badge,Professional Certificate in Sales,2025-07-28,2028-07-27,https://verify.kaasdemo.ai/cert/64de7649-691a-481a-b956-5f5ebe66b6d7,c42ffb9e746f45caacf875067639aa59,Active
CERT0000079,USR042889,CRS017036,Leadership Credential,Compliance Certificate in Governance,2026-02-12,2027-02-12,https://verify.kaasdemo.ai/cert/303fadec-7c76-451a-b21c-e64120cd2c3b,1c8fcfba796842cda168f22840076f57,Active
CERT0000080,USR017678,CRS047058,Completion Certificate,Professional Certificate in Full Stack,2025-11-25,2028-11-24,https://verify.kaasdemo.ai/cert/e43619c7-1172-4d79-a51f-cd3e10af9905,8468a35f00194d83833fec11dcb9248c,Active
CERT0000081,USR042510,CRS023229,Leadership Credential,Leadership Credential in AI,2025-12-18,2027-12-18,https://verify.kaasdemo.ai/cert/b6cc90b8-c97f-486a-88ea-c108f4e4d526,b87773d0c52a41c5996b52b0bc8d9b8d,Active
CERT0000082,USR020307,CRS022514,Skill Badge,Micro Credential in Leadership,2025-07-11,2027-07-11,https://verify.kaasdemo.ai/cert/1d8fbf11-992c-4631-a69a-17e9cfdb1bd6,d7509aee3d5e410791f8f0a502b3369e,Active
CERT0000083,USR047123,CRS006907,Compliance Certificate,Completion Certificate in Leadership,2025-10-30,2028-10-29,https://verify.kaasdemo.ai/cert/e8f212b0-7387-408e-988e-1e60a8e12b77,889d63334edf454187deea721d2ecd36,Expired
CERT0000084,USR028647,CRS025956,Completion Certificate,Skill Badge in Cloud,2026-01-21,2027-01-21,https://verify.kaasdemo.ai/cert/87dae7e3-7549-4918-971f-7fa936bad437,d6eab53678e3407480240f164e429059,Revoked
CERT0000085,USR036903,CRS004000,Compliance Certificate,Skill Badge in Finance,2025-07-07,2026-07-07,https://verify.kaasdemo.ai/cert/4121122d-795d-40f5-8c9d-286cba0ede75,4f2a8f8156ff4b83a67dd3bd26c51985,Active
CERT0000086,USR048972,CRS035884,Skill Badge,Compliance Certificate in Cloud,2025-12-08,2028-12-07,https://verify.kaasdemo.ai/cert/6233d34c-df59-4b89-9568-87371c012a9e,66170892bbd94f7280f7b7e53db02531,Active
CERT0000087,USR030898,CRS007306,Micro Credential,Leadership Credential in AI,2026-04-07,2029-04-06,https://verify.kaasdemo.ai/cert/d0bbbf8c-188d-4313-9cdc-ea7c8fb5798f,c838892703564a049ae50a4836acd814,Active
CERT0000088,USR017400,CRS019198,Skill Badge,Professional Certificate in Cloud,2025-12-19,2028-12-18,https://verify.kaasdemo.ai/cert/f875dabc-d16b-4f3a-87d6-d0289d90a69e,f95074ba099a4b01bdf622903849eb34,Active
CERT0000089,USR027027,CRS044690,Micro Credential,Skill Badge in Finance,2026-02-01,2029-01-31,https://verify.kaasdemo.ai/cert/40441e2c-91b9-4397-b411-23115458a0f6,c28f7f200e534b068e2137c5c477e79d,Active
CERT0000090,USR025753,CRS028482,Completion Certificate,Skill Badge in Data Science,2025-08-29,2028-08-28,https://verify.kaasdemo.ai/cert/c1960de3-ee53-4651-910e-f2a58b8b62eb,b916d57677f14d7687dfe4d4ebc52b13,Active
CERT0000091,USR021906,CRS028151,Skill Badge,Compliance Certificate in Cloud,2025-12-17,2026-12-17,https://verify.kaasdemo.ai/cert/d7a07e58-872b-408f-835b-851f7936f4ae,0b44dc8e16e34b2bb81d7e10c1c1df4d,Active
CERT0000092,USR029358,CRS040804,Compliance Certificate,Skill Badge in Project Management,2026-01-06,2027-01-06,https://verify.kaasdemo.ai/cert/2e19c55b-377b-4f0a-965a-8fd358616390,c0b93e0fe1c5431fa2b6614aca898207,Revoked
CERT0000093,USR047035,CRS003119,Professional Certificate,Completion Certificate in Governance,2025-06-17,2026-06-17,https://verify.kaasdemo.ai/cert/9a5e3a70-163a-4b9c-9b8c-9a7bb229a9f0,f90a288ecae6497c8d9453af1fd18cd6,Revoked
CERT0000094,USR017187,CRS005911,Leadership Credential,Completion Certificate in Project Management,2025-10-28,2028-10-27,https://verify.kaasdemo.ai/cert/462a6d85-0fd8-4b7a-a919-1343f3fd52ac,db2193037aaa42b28beb64080d732fec,Active
CERT0000095,USR015136,CRS046267,Professional Certificate,Micro Credential in Healthcare,2025-07-12,2028-07-11,https://verify.kaasdemo.ai/cert/9ca09f47-28cd-4118-a566-e62f1d77fa78,5e80b53962704fc8a5c8a7d5d574c8c1,Expired
CERT0000096,USR005943,CRS021843,Completion Certificate,Micro Credential in Full Stack,2025-11-03,2026-11-03,https://verify.kaasdemo.ai/cert/835323d9-9678-4369-9158-c4ffd6513339,152744ab0c3442f786aa7e27f92c39a4,Revoked
CERT0000097,USR047301,CRS023900,Micro Credential,Leadership Credential in Sales,2025-11-05,2026-11-05,https://verify.kaasdemo.ai/cert/0115c9a1-bcdb-40ca-8214-39c83767e73e,6e3c03f4cf754ad78441cdebef95698a,Revoked
CERT0000098,USR037249,CRS037682,Completion Certificate,Leadership Credential in Project Management,2026-02-17,2027-02-17,https://verify.kaasdemo.ai/cert/92c73302-a601-4f9a-b217-bcf570e6ae46,3a6579462365407695a64f323e4d156e,Active
CERT0000099,USR028944,CRS002822,Leadership Credential,Micro Credential in Full Stack,2025-10-24,2028-10-23,https://verify.kaasdemo.ai/cert/9e2578ce-f7a4-4496-9083-3862d997de3d,09de7addd0fa4e7f90d0c607b0cf003c,Active
CERT0000100,USR008673,CRS047743,Completion Certificate,Completion Certificate in Finance,2026-04-30,2028-04-29,https://verify.kaasdemo.ai/cert/68083650-5d68-4330-9835-504b16582acb,32aca308f5084d698a509259bcf54eda,Revoked
CERT0000101,USR043141,CRS038583,Compliance Certificate,Professional Certificate in Digital Marketing,2025-08-27,2027-08-27,https://verify.kaasdemo.ai/cert/93c01b28-b6d5-46a9-9bfb-cdb948491034,a6f0f42ed86f4b1182dcd31c140bf9bd,Active
CERT0000102,USR021353,CRS010321,Professional Certificate,Leadership Credential in Digital Marketing,2025-09-17,2026-09-17,https://verify.kaasdemo.ai/cert/cee6c058-c918-41b7-ab94-cf87023dfd5c,3e72a2feebda41e8b858b472888261f6,Revoked
CERT0000103,USR027200,CRS048477,Leadership Credential,Completion Certificate in Manufacturing,2025-08-12,2028-08-11,https://verify.kaasdemo.ai/cert/b3efc149-1dd4-41ac-8a9e-b3c2855e19d1,f2d7822c46884152a65c2c5a5b46cf7e,Revoked
CERT0000104,USR023105,CRS011218,Skill Badge,Compliance Certificate in Sales,2026-02-11,2028-02-11,https://verify.kaasdemo.ai/cert/bc96abb0-45c0-46f5-9a6f-b8f9c320b6fa,49b4fc5edf294977a8a9d2374c9447dd,Active
CERT0000105,USR034993,CRS029343,Compliance Certificate,Compliance Certificate in Cybersecurity,2025-07-29,2027-07-29,https://verify.kaasdemo.ai/cert/98e2c779-52cd-455f-8750-e232e76e2874,765987a5436b4a3cafcdf3ce34756896,Revoked
CERT0000106,USR028341,CRS006672,Compliance Certificate,Micro Credential in Healthcare,2026-02-22,2027-02-22,https://verify.kaasdemo.ai/cert/42945ead-b378-4be9-8ad9-4970d5656d9f,2b4682c987394a7eb92302edee3de682,Expired
CERT0000107,USR036957,CRS027736,Compliance Certificate,Leadership Credential in Sales,2026-04-04,2027-04-04,https://verify.kaasdemo.ai/cert/995d8db3-bce3-4076-a2ef-5d529744fbc0,9f5c9bf20e534db1b47b1b79caa0db72,Active
CERT0000108,USR039771,CRS022314,Micro Credential,Professional Certificate in Finance,2025-07-31,2028-07-30,https://verify.kaasdemo.ai/cert/34ff936c-546e-43b7-80f0-c59f16eb5d1d,f8ffd48f696940b690edbae40ad6754b,Active
CERT0000109,USR022128,CRS044470,Professional Certificate,Completion Certificate in Digital Marketing,2026-03-31,2028-03-30,https://verify.kaasdemo.ai/cert/788522e6-79d0-44fe-8737-c696af3e9107,dc55250721244d44bae6260331e93857,Active
CERT0000110,USR021375,CRS009972,Completion Certificate,Skill Badge in AI,2025-06-20,2026-06-20,https://verify.kaasdemo.ai/cert/db613345-6315-4276-9e70-29e5dbc5cbbb,852e078eb92e473ab0380eea6e15cb84,Active
CERT0000111,USR012443,CRS025419,Completion Certificate,Skill Badge in Cybersecurity,2025-10-26,2027-10-26,https://verify.kaasdemo.ai/cert/955665f1-5108-49ea-88af-f85a27f85251,17985231cece463787659be2072ae43b,Revoked
CERT0000112,USR048429,CRS036161,Professional Certificate,Professional Certificate in AI,2026-03-10,2028-03-09,https://verify.kaasdemo.ai/cert/7c322f44-8f63-41d3-a289-788ce33d49d6,ab053dc8f5b3431084491e769cc58abb,Active
