assessment_id,course_id,assessment_title,assessment_type,difficulty,question_count,max_score,passing_score,llm_generated,gamified_mode,proctoring_required,created_at
ASM000042,CRS023012,Case Study Assessment 42,Viva,Advanced,60,100,54,True,Quest,False,2026-01-23
ASM000043,CRS000725,Viva Assessment 43,Simulation,Intermediate,43,50,25,True,Classic,False,2026-04-14
ASM000044,CRS013502,Roleplay Assessment 44,Case Study,Beginner,39,50,31,False,Classic,True,2025-03-03
ASM000045,CRS016463,Roleplay Assessment 45,Viva,Expert,51,150,72,True,Classic,False,2025-12-01
ASM000046,CRS008460,MCQ Assessment 46,Project Submission,Expert,53,100,53,True,Escape Room,False,2025-02-27
ASM000047,CRS015565,Roleplay Assessment 47,Viva,Beginner,21,50,25,True,Classic,True,2025-05-10
ASM000048,CRS042889,Coding Challenge Assessment 48,Project Submission,Intermediate,18,150,86,True,Quest,False,2024-08-04
ASM000049,CRS033134,Viva Assessment 49,Roleplay,Expert,48,150,100,True,Classic,True,2025-08-21
ASM000050,CRS045132,Case Study Assessment 50,Simulation,Intermediate,57,150,88,False,Scenario Mission,True,2025-10-26
ASM000051,CRS019837,Simulation Assessment 51,Roleplay,Expert,13,200,125,True,Escape Room,False,2024-10-25
ASM000052,CRS028918,Project Submission Assessment 52,Simulation,Advanced,46,200,117,True,Battle,True,2025-02-20
ASM000053,CRS021043,Simulation Assessment 53,Gamified Quest,Expert,36,100,54,True,Battle,False,2026-04-02
ASM000054,CRS031527,Case Study Assessment 54,Viva,Advanced,21,150,81,False,Battle,False,2026-02-01
ASM000055,CRS049039,MCQ Assessment 55,Coding Challenge,Advanced,39,150,80,True,Battle,True,2025-02-06
ASM000056,CRS020241,Simulation Assessment 56,Viva,Expert,15,50,32,False,Battle,True,2026-04-23
ASM000057,CRS000272,Coding Challenge Assessment 57,Viva,Expert,43,150,86,False,Battle,False,2024-06-20
ASM000058,CRS028045,Coding Challenge Assessment 58,Roleplay,Expert,46,50,29,False,Scenario Mission,False,2025-01-05
ASM000059,CRS043102,Coding Challenge Assessment 59,Project Submission,Intermediate,58,150,70,True,Quest,False,2025-02-03
ASM000060,CRS032886,Case Study Assessment 60,Coding Challenge,Expert,47,100,58,True,Scenario Mission,True,2025-05-24
ASM000061,CRS017823,Project Submission Assessment 61,Project Submission,Expert,14,200,106,False,Classic,False,2025-08-31
ASM000062,CRS036237,Project Submission Assessment 62,Gamified Quest,Beginner,26,200,97,True,Quest,False,2025-03-13
ASM000063,CRS049164,Case Study Assessment 63,Project Submission,Advanced,56,100,45,True,Battle,False,2024-06-12
ASM000064,CRS019302,Coding Challenge Assessment 64,Viva,Beginner,13,100,59,True,Timed Challenge,True,2024-11-20
ASM000065,CRS027644,Case Study Assessment 65,Coding Challenge,Expert,47,150,101,True,Scenario Mission,False,2024-05-20
ASM000066,CRS044308,Project Submission Assessment 66,Roleplay,Advanced,34,50,30,False,Battle,False,2026-01-01
ASM000067,CRS030782,Case Study Assessment 67,MCQ,Beginner,59,50,23,True,Quest,False,2025-01-25
ASM000068,CRS009506,MCQ Assessment 68,Simulation,Expert,57,50,23,False,Quest,False,2025-06-15
ASM000069,CRS042928,Case Study Assessment 69,Viva,Intermediate,53,200,103,True,Quest,False,2024-12-24
ASM000070,CRS035950,Viva Assessment 70,Roleplay,Intermediate,40,50,32,False,Quest,False,2025-02-04
ASM000071,CRS044715,Viva Assessment 71,Simulation,Expert,52,200,93,True,Classic,False,2025-05-26
ASM000072,CRS044269,Roleplay Assessment 72,Roleplay,Expert,17,100,48,True,Battle,True,2024-12-13
ASM000073,CRS026943,Roleplay Assessment 73,Case Study,Beginner,10,50,34,False,Quest,False,2024-12-04
ASM000074,CRS023759,Coding Challenge Assessment 74,Roleplay,Beginner,41,200,113,False,Escape Room,False,2025-09-05
ASM000075,CRS011602,Coding Challenge Assessment 75,Case Study,Expert,17,200,102,True,Battle,False,2025-09-10
ASM000076,CRS019111,Case Study Assessment 76,Viva,Intermediate,27,150,90,False,Escape Room,False,2024-06-28
ASM000077,CRS021632,Viva Assessment 77,Simulation,Expert,22,200,109,True,Scenario Mission,True,2025-12-28
ASM000078,CRS044304,MCQ Assessment 78,MCQ,Advanced,21,50,31,True,Escape Room,True,2025-02-24
ASM000079,CRS016662,Gamified Quest Assessment 79,Project Submission,Expert,39,150,68,True,Scenario Mission,True,2024-12-22
ASM000080,CRS016065,Coding Challenge Assessment 80,Case Study,Beginner,26,50,30,True,Classic,False,2024-07-24
ASM000081,CRS020885,Coding Challenge Assessment 81,Viva,Intermediate,12,150,72,False,Battle,False,2024-06-30
ASM000082,CRS030089,Gamified Quest Assessment 82,Gamified Quest,Advanced,34,150,99,True,Quest,False,2025-07-26
ASM000083,CRS041217,MCQ Assessment 83,Roleplay,Expert,12,200,110,False,Escape Room,True,2026-03-15
ASM000084,CRS018276,Coding Challenge Assessment 84,MCQ,Beginner,36,200,124,False,Scenario Mission,False,2025-12-04
ASM000085,CRS044488,Viva Assessment 85,Gamified Quest,Beginner,52,100,54,True,Quest,False,2024-07-09
ASM000086,CRS022531,Project Submission Assessment 86,Roleplay,Intermediate,43,150,68,True,Quest,False,2025-02-09
ASM000087,CRS014513,Coding Challenge Assessment 87,MCQ,Expert,25,150,91,False,Timed Challenge,True,2024-09-18
ASM000088,CRS002160,Roleplay Assessment 88,Coding Challenge,Intermediate,21,150,100,False,Timed Challenge,False,2024-12-13
ASM000089,CRS017344,Coding Challenge Assessment 89,Roleplay,Expert,42,100,69,True,Scenario Mission,False,2024-08-30
ASM000090,CRS001150,Case Study Assessment 90,Coding Challenge,Beginner,15,150,83,True,Quest,True,2026-02-22
ASM000091,CRS022988,Case Study Assessment 91,Gamified Quest,Intermediate,5,100,66,True,Scenario Mission,True,2025-12-16
ASM000092,CRS042234,Simulation Assessment 92,Viva,Advanced,25,150,86,True,Battle,True,2025-02-15
ASM000093,CRS002176,Roleplay Assessment 93,Gamified Quest,Beginner,12,50,24,True,Battle,True,2025-01-22
ASM000094,CRS024424,Gamified Quest Assessment 94,Simulation,Intermediate,5,150,67,False,Quest,False,2026-03-31
ASM000095,CRS022727,Project Submission Assessment 95,Project Submission,Expert,23,150,71,False,Escape Room,True,2024-08-13
ASM000096,CRS038900,MCQ Assessment 96,Simulation,Expert,13,100,52,False,Timed Challenge,True,2025-11-06
ASM000097,CRS029293,Viva Assessment 97,Viva,Intermediate,9,150,87,True,Scenario Mission,True,2026-02-04
ASM000098,CRS035440,MCQ Assessment 98,Viva,Intermediate,56,200,104,True,Timed Challenge,True,2025-03-22
ASM000099,CRS022283,Case Study Assessment 99,Case Study,Expert,12,50,24,True,Battle,False,2025-12-23
ASM000100,CRS031417,Simulation Assessment 100,Project Submission,Beginner,21,50,30,False,Quest,False,2024-08-20
ASM000101,CRS000879,MCQ Assessment 101,Coding Challenge,Beginner,15,150,73,True,Timed Challenge,True,2025-02-05
ASM000102,CRS002314,Project Submission Assessment 102,Simulation,Expert,27,150,86,True,Timed Challenge,True,2026-03-01
ASM000103,CRS041784,Gamified Quest Assessment 103,Coding Challenge,Advanced,18,100,63,True,Quest,False,2024-05-23
ASM000104,CRS009549,Gamified Quest Assessment 104,Case Study,Beginner,33,100,66,False,Classic,False,2025-01-18
ASM000105,CRS026993,Coding Challenge Assessment 105,Case Study,Expert,9,100,68,False,Scenario Mission,False,2025-01-11
ASM000106,CRS013434,Case Study Assessment 106,Roleplay,Intermediate,52,100,57,True,Battle,False,2025-06-23
ASM000107,CRS043284,Gamified Quest Assessment 107,Roleplay,Expert,51,100,47,False,Scenario Mission,False,2024-09-13
ASM000108,CRS011623,Gamified Quest Assessment 108,Gamified Quest,Advanced,51,50,25,False,Quest,True,2024-07-16
ASM000109,CRS020904,Gamified Quest Assessment 109,Viva,Expert,22,200,123,True,Quest,False,2025-11-26
ASM000110,CRS013352,Project Submission Assessment 110,MCQ,Expert,28,200,122,True,Classic,False,2025-03-24
ASM000111,CRS019553,Gamified Quest Assessment 111,Case Study,Expert,53,100,69,True,Scenario Mission,False,2025-05-24
ASM000112,CRS037951,Simulation Assessment 112,Project Submission,Beginner,6,150,91,True,Classic,False,2025-12-18
ASM000113,CRS002577,Coding Challenge Assessment 113,Simulation,Beginner,38,100,49,True,Classic,True,2026-02-03
ASM000114,CRS009646,Coding Challenge Assessment 114,Gamified Quest,Beginner,54,150,87,False,Escape Room,True,2025-07-12
ASM000115,CRS016900,Project Submission Assessment 115,Gamified Quest,Beginner,40,100,52,False,Quest,True,2026-02-03
ASM000116,CRS026757,Roleplay Assessment 116,Project Submission,Expert,14,200,117,True,Classic,True,2026-03-11
ASM000117,CRS014738,Coding Challenge Assessment 117,Coding Challenge,Intermediate,21,150,96,False,Quest,False,2025-10-02
ASM000118,CRS045503,Project Submission Assessment 118,Project Submission,Advanced,30,200,106,True,Scenario Mission,True,2024-11-07
ASM000119,CRS044465,Simulation Assessment 119,Gamified Quest,Intermediate,52,200,116,False,Timed Challenge,False,2024-10-15
ASM000120,CRS007584,Viva Assessment 120,Coding Challenge,Advanced,24,150,96,False,Escape Room,True,2024-10-24
ASM000121,CRS026044,MCQ Assessment 121,Project Submission,Beginner,31,150,100,True,Escape Room,True,2025-04-24
ASM000122,CRS000933,Case Study Assessment 122,Roleplay,Advanced,48,50,30,False,Classic,False,2024-09-24
ASM000123,CRS007025,Coding Challenge Assessment 123,Case Study,Beginner,7,100,60,False,Scenario Mission,False,2026-01-14
ASM000124,CRS030055,Project Submission Assessment 124,Viva,Beginner,15,100,65,False,Quest,False,2024-12-13
ASM000125,CRS008011,Roleplay Assessment 125,Gamified Quest,Intermediate,56,50,25,False,Scenario Mission,False,2025-09-14
ASM000126,CRS019479,Coding Challenge Assessment 126,Case Study,Advanced,53,50,23,True,Classic,False,2024-10-09
ASM000127,CRS000295,Coding Challenge Assessment 127,Gamified Quest,Beginner,19,50,26,True,Timed Challenge,True,2025-03-02
ASM000128,CRS038815,MCQ Assessment 128,Simulation,Advanced,41,200,97,True,Battle,False,2025-09-06
ASM000129,CRS046814,Coding Challenge Assessment 129,Project Submission,Advanced,52,150,98,True,Timed Challenge,True,2025-02-04
ASM000130,CRS022949,Coding Challenge Assessment 130,Case Study,Intermediate,8,50,24,True,Quest,True,2024-11-04
ASM000131,CRS023487,Project Submission Assessment 131,Roleplay,Advanced,59,200,108,True,Battle,False,2025-02-08
ASM000132,CRS029167,Simulation Assessment 132,Simulation,Intermediate,43,50,28,True,Battle,False,2024-12-24
ASM000133,CRS028307,Coding Challenge Assessment 133,Gamified Quest,Expert,42,150,77,True,Timed Challenge,False,2024-11-12
ASM000134,CRS033744,Simulation Assessment 134,Case Study,Advanced,9,100,53,True,Escape Room,False,2026-02-25
ASM000135,CRS038809,Coding Challenge Assessment 135,Simulation,Beginner,53,200,98,True,Timed Challenge,True,2025-03-30
ASM000136,CRS014247,Case Study Assessment 136,Case Study,Beginner,34,150,100,False,Scenario Mission,False,2024-12-20
ASM000137,CRS010434,Gamified Quest Assessment 137,Simulation,Expert,19,200,92,False,Battle,False,2025-07-24
ASM000138,CRS036920,Project Submission Assessment 138,Roleplay,Intermediate,18,200,119,True,Escape Room,False,2025-03-09
ASM000139,CRS043489,Case Study Assessment 139,Case Study,Beginner,9,50,27,True,Escape Room,False,2026-01-16
ASM000140,CRS009428,Gamified Quest Assessment 140,Roleplay,Beginner,43,200,126,True,Classic,False,2024-10-20
ASM000141,CRS033193,Simulation Assessment 141,Coding Challenge,Expert,37,50,34,True,Escape Room,False,2024-06-05
ASM000142,CRS032700,Project Submission Assessment 142,MCQ,Intermediate,41,150,67,True,Escape Room,False,2026-03-28
ASM000143,CRS043291,Viva Assessment 143,Roleplay,Advanced,6,200,120,False,Classic,False,2025-07-01
ASM000144,CRS020968,Viva Assessment 144,Simulation,Intermediate,27,150,93,True,Battle,True,2025-03-30
ASM000145,CRS040356,Case Study Assessment 145,Simulation,Expert,37,100,59,True,Battle,False,2025-12-14
ASM000146,CRS049949,Case Study Assessment 146,Coding Challenge,Beginner,11,50,23,True,Timed Challenge,False,2025-05-09
ASM000147,CRS022216,Coding Challenge Assessment 147,Simulation,Advanced,48,100,65,True,Battle,True,2025-06-21
ASM000148,CRS007553,Simulation Assessment 148,Simulation,Expert,33,50,27,False,Timed Challenge,True,2025-07-31
ASM000149,CRS009533,MCQ Assessment 149,Gamified Quest,Intermediate,24,50,32,False,Timed Challenge,False,2026-04-10
ASM000150,CRS025967,Roleplay Assessment 150,Viva,Advanced,56,150,88,True,Battle,False,2024-11-08
ASM000151,CRS030418,Coding Challenge Assessment 151,Viva,Beginner,51,100,46,True,Classic,False,2024-10-29
ASM000152,CRS024422,Project Submission Assessment 152,Viva,Expert,55,50,26,True,Timed Challenge,True,2025-01-20
ASM000153,CRS048086,Roleplay Assessment 153,Coding Challenge,Beginner,23,50,26,False,Escape Room,False,2024-12-31
ASM000154,CRS017637,Simulation Assessment 154,MCQ,Intermediate,58,150,104,False,Escape Room,False,2026-03-24
ASM000155,CRS038869,Viva Assessment 155,Coding Challenge,Beginner,53,200,121,True,Escape Room,True,2024-10-05
ASM000156,CRS000143,Case Study Assessment 156,Viva,Expert,29,50,30,False,Quest,False,2026-01-17
ASM000157,CRS017743,Project Submission Assessment 157,Simulation,Expert,52,100,47,True,Escape Room,True,2025-06-02
ASM000158,CRS040148,Gamified Quest Assessment 158,Simulation,Intermediate,37,200,114,True,Battle,False,2025-06-30
ASM000159,CRS008930,Coding Challenge Assessment 159,MCQ,Beginner,35,200,117,False,Scenario Mission,False,2025-03-09
ASM000160,CRS036124,Case Study Assessment 160,MCQ,Expert,60,50,29,True,Scenario Mission,False,2024-12-08
ASM000161,CRS026684,Simulation Assessment 161,Gamified Quest,Intermediate,57,100,63,False,Escape Room,True,2025-06-30
ASM000162,CRS007315,Coding Challenge Assessment 162,Case Study,Beginner,49,50,24,True,Scenario Mission,False,2025-02-10
ASM000163,CRS042017,Roleplay Assessment 163,Roleplay,Expert,31,150,74,True,Scenario Mission,False,2025-07-14
ASM000164,CRS048893,Project Submission Assessment 164,Gamified Quest,Intermediate,9,150,78,False,Escape Room,False,2026-03-25
ASM000165,CRS012845,Viva Assessment 165,Roleplay,Advanced,32,150,70,False,Classic,False,2025-11-23
ASM000166,CRS011748,Roleplay Assessment 166,MCQ,Advanced,27,150,92,True,Classic,True,2025-04-06
ASM000167,CRS014068,MCQ Assessment 167,Viva,Intermediate,40,50,32,True,Escape Room,False,2025-04-04
ASM000168,CRS026644,Gamified Quest Assessment 168,Viva,Beginner,35,100,56,False,Scenario Mission,False,2024-07-01
ASM000169,CRS013556,Simulation Assessment 169,Roleplay,Beginner,30,150,87,False,Timed Challenge,True,2024-10-21
ASM000170,CRS037236,Coding Challenge Assessment 170,Simulation,Intermediate,28,200,129,False,Timed Challenge,True,2026-03-06
ASM000171,CRS029307,Gamified Quest Assessment 171,Gamified Quest,Beginner,10,150,74,False,Battle,False,2026-03-10
ASM000172,CRS014416,Roleplay Assessment 172,Case Study,Intermediate,40,200,136,False,Classic,False,2024-11-28
ASM000173,CRS037283,Case Study Assessment 173,Project Submission,Advanced,46,200,134,False,Quest,False,2024-10-02
ASM000174,CRS043144,Gamified Quest Assessment 174,Coding Challenge,Intermediate,49,150,97,True,Quest,False,2026-05-04
ASM000175,CRS037129,Project Submission Assessment 175,Simulation,Intermediate,23,150,69,False,Quest,True,2024-11-13
ASM000176,CRS041669,Coding Challenge Assessment 176,Project Submission,Intermediate,54,100,51,True,Timed Challenge,True,2024-05-17
ASM000177,CRS031381,Roleplay Assessment 177,Viva,Beginner,36,150,99,True,Timed Challenge,False,2025-12-31
ASM000178,CRS027236,Case Study Assessment 178,Viva,Advanced,24,200,108,False,Battle,False,2026-02-06
ASM000179,CRS001675,Project Submission Assessment 179,Coding Challenge,Intermediate,18,50,22,False,Escape Room,False,2024-08-15
ASM000180,CRS037048,MCQ Assessment 180,Simulation,Advanced,58,200,121,True,Quest,False,2025-07-14
ASM000181,CRS030152,Gamified Quest Assessment 181,Viva,Intermediate,46,150,78,True,Quest,False,2025-04-06
ASM000182,CRS002187,Case Study Assessment 182,Viva,Expert,51,100,54,True,Timed Challenge,True,2025-11-29
ASM000183,CRS006387,Gamified Quest Assessment 183,Gamified Quest,Beginner,32,50,33,True,Timed Challenge,False,2024-09-22
ASM000184,CRS017410,Viva Assessment 184,Roleplay,Intermediate,46,150,78,True,Quest,True,2025-02-07
ASM000185,CRS034641,MCQ Assessment 185,Simulation,Advanced,8,100,53,True,Timed Challenge,False,2026-02-01
ASM000186,CRS032095,MCQ Assessment 186,MCQ,Intermediate,37,50,26,True,Battle,False,2024-07-31
ASM000187,CRS016577,Coding Challenge Assessment 187,Simulation,Advanced,17,50,25,False,Scenario Mission,True,2025-11-02
ASM000188,CRS019598,Gamified Quest Assessment 188,MCQ,Intermediate,56,100,64,False,Quest,False,2025-07-22
ASM000189,CRS005589,Coding Challenge Assessment 189,Coding Challenge,Expert,54,150,89,True,Classic,False,2026-03-28
ASM000190,CRS007083,Coding Challenge Assessment 190,MCQ,Intermediate,51,200,126,True,Timed Challenge,False,2025-11-15
ASM000191,CRS013082,Simulation Assessment 191,Roleplay,Expert,49,100,68,True,Classic,False,2025-06-12
ASM000192,CRS010632,Gamified Quest Assessment 192,Coding Challenge,Beginner,48,50,30,True,Battle,False,2024-10-03
ASM000193,CRS029301,MCQ Assessment 193,Project Submission,Advanced,26,150,70,True,Timed Challenge,False,2024-07-13
ASM000194,CRS002687,Coding Challenge Assessment 194,Roleplay,Intermediate,15,100,56,False,Quest,False,2026-03-30
ASM000195,CRS048228,Gamified Quest Assessment 195,Project Submission,Expert,17,50,25,True,Scenario Mission,False,2025-11-06
ASM000196,CRS048759,Project Submission Assessment 196,Roleplay,Expert,14,100,51,False,Classic,False,2024-10-21
ASM000197,CRS004566,Roleplay Assessment 197,Coding Challenge,Intermediate,41,50,33,True,Quest,True,2024-06-09
ASM000198,CRS033444,Simulation Assessment 198,MCQ,Beginner,21,50,25,True,Timed Challenge,True,2026-02-21
ASM000199,CRS017647,Simulation Assessment 199,Project Submission,Advanced,7,150,98,True,Quest,False,2025-11-11
ASM000200,CRS010645,Coding Challenge Assessment 200,MCQ,Beginner,52,50,25,True,Escape Room,False,2026-03-04
ASM000201,CRS046932,MCQ Assessment 201,MCQ,Intermediate,24,100,56,False,Timed Challenge,True,2024-06-27
ASM000202,CRS031694,Coding Challenge Assessment 202,Project Submission,Intermediate,38,100,65,False,Quest,True,2025-06-04
ASM000203,CRS012361,MCQ Assessment 203,Case Study,Advanced,22,50,33,True,Battle,True,2024-10-13
ASM000204,CRS031075,Case Study Assessment 204,Simulation,Expert,6,50,31,False,Scenario Mission,True,2025-09-05
ASM000205,CRS048487,Project Submission Assessment 205,Gamified Quest,Intermediate,13,50,28,True,Battle,True,2025-07-08
ASM000206,CRS036440,Viva Assessment 206,Gamified Quest,Intermediate,8,50,28,False,Quest,False,2024-09-28
ASM000207,CRS040898,Roleplay Assessment 207,Case Study,Expert,51,200,121,True,Escape Room,False,2025-07-19
ASM000208,CRS024327,Simulation Assessment 208,Case Study,Advanced,35,150,79,False,Escape Room,True,2024-08-04
ASM000209,CRS034126,Simulation Assessment 209,Roleplay,Beginner,26,50,34,True,Quest,False,2025-07-31
ASM000210,CRS049834,MCQ Assessment 210,MCQ,Expert,5,150,90,True,Scenario Mission,False,2026-02-09
ASM000211,CRS028070,Coding Challenge Assessment 211,Coding Challenge,Advanced,29,100,59,True,Quest,False,2025-07-09
ASM000212,CRS028008,MCQ Assessment 212,Case Study,Beginner,34,50,26,False,Escape Room,True,2025-12-07
ASM000213,CRS020817,Case Study Assessment 213,Gamified Quest,Advanced,31,100,61,False,Quest,True,2024-11-05
ASM000214,CRS015234,Case Study Assessment 214,Case Study,Beginner,47,200,133,False,Classic,False,2024-05-13
ASM000215,CRS007624,Viva Assessment 215,Project Submission,Advanced,24,200,100,True,Timed Challenge,False,2026-01-11
ASM000216,CRS038597,Coding Challenge Assessment 216,MCQ,Intermediate,17,150,71,True,Escape Room,False,2024-07-14
ASM000217,CRS027729,Case Study Assessment 217,Project Submission,Advanced,53,100,59,True,Escape Room,False,2026-02-25
ASM000218,CRS035932,Project Submission Assessment 218,Viva,Intermediate,7,200,128,True,Quest,False,2024-07-29
ASM000219,CRS000843,Coding Challenge Assessment 219,Case Study,Beginner,7,200,139,True,Quest,False,2025-01-24
ASM000220,CRS016907,Simulation Assessment 220,Roleplay,Intermediate,20,200,132,True,Scenario Mission,False,2025-06-12
ASM000221,CRS018921,Case Study Assessment 221,Viva,Intermediate,46,50,23,True,Classic,True,2025-11-25
ASM000222,CRS029410,Case Study Assessment 222,Viva,Advanced,44,100,55,True,Quest,False,2024-05-24
ASM000223,CRS032182,Project Submission Assessment 223,Project Submission,Expert,9,50,25,False,Timed Challenge,True,2025-10-22
ASM000224,CRS033750,Case Study Assessment 224,Viva,Beginner,54,150,91,False,Battle,False,2026-03-04
ASM000225,CRS039249,Gamified Quest Assessment 225,Simulation,Intermediate,22,50,24,True,Escape Room,True,2025-06-10
ASM000226,CRS037337,Gamified Quest Assessment 226,Viva,Intermediate,46,150,75,True,Classic,False,2024-11-09
ASM000227,CRS033111,Gamified Quest Assessment 227,Simulation,Beginner,28,200,139,True,Battle,False,2024-09-09
ASM000228,CRS011222,Coding Challenge Assessment 228,Viva,Advanced,13,100,68,True,Quest,False,2025-07-23
ASM000229,CRS009376,MCQ Assessment 229,Gamified Quest,Expert,51,100,58,False,Classic,False,2025-04-06
ASM000230,CRS022485,MCQ Assessment 230,Gamified Quest,Expert,51,200,103,False,Quest,True,2026-02-19
ASM000231,CRS015708,Coding Challenge Assessment 231,Simulation,Beginner,33,50,33,True,Scenario Mission,False,2026-02-18
ASM000232,CRS006592,Gamified Quest Assessment 232,Roleplay,Beginner,9,100,51,True,Timed Challenge,False,2025-08-17
ASM000233,CRS030303,Case Study Assessment 233,Simulation,Beginner,24,50,32,True,Timed Challenge,True,2024-10-12
ASM000234,CRS032225,MCQ Assessment 234,MCQ,Beginner,13,150,72,True,Scenario Mission,False,2024-11-05
ASM000235,CRS014625,Project Submission Assessment 235,Coding Challenge,Intermediate,12,50,25,True,Escape Room,True,2025-01-25
ASM000236,CRS048019,Case Study Assessment 236,Viva,Advanced,45,50,34,True,Classic,True,2024-08-23
ASM000237,CRS022758,Coding Challenge Assessment 237,Gamified Quest,Intermediate,41,100,55,True,Escape Room,False,2024-06-04
ASM000238,CRS025398,MCQ Assessment 238,Viva,Advanced,7,200,126,False,Quest,True,2025-07-07
ASM000239,CRS022863,Viva Assessment 239,Case Study,Advanced,59,100,69,True,Classic,False,2024-10-20
ASM000240,CRS010564,Project Submission Assessment 240,Coding Challenge,Expert,47,200,114,True,Escape Room,True,2024-07-06
ASM000241,CRS044091,Viva Assessment 241,Case Study,Advanced,47,100,49,True,Scenario Mission,False,2025-08-27
