post_id,user_id,post_type,content,hashtags,likes_count,comments_count,shares_count,ai_moderation_status,created_at
PST0000024,USR000895,Poll,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,337,176,110,Approved,2026-01-12
PST0000025,USR032376,Poll,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,3404,489,178,Flagged,2026-02-05
PST0000026,USR019432,Job Opportunity,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,4622,42,61,Approved,2026-04-19
PST0000027,USR004443,Learning Update,"Sharing my learning progress and insights on Finance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Finance #KaaS #Learning #AI,1490,358,98,Approved,2025-12-19
PST0000028,USR012227,Question,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,1454,481,65,Approved,2026-02-18
PST0000029,USR046072,Poll,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,4506,160,189,Approved,2025-11-24
PST0000030,USR034359,Job Opportunity,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,2786,275,15,Approved,2025-12-29
PST0000031,USR013540,Question,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,2408,280,167,Approved,2026-01-15
PST0000032,USR039305,Learning Update,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,4338,422,188,Approved,2026-04-30
PST0000033,USR007864,Project Showcase,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,391,432,154,Needs Review,2025-12-03
PST0000034,USR024706,Question,"Sharing my learning progress and insights on Quality Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#QualityManagement #KaaS #Learning #AI,3413,349,9,Approved,2026-01-04
PST0000035,USR021736,Article Share,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,4292,397,79,Approved,2026-02-13
PST0000036,USR048830,Learning Update,"Sharing my learning progress and insights on Manufacturing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Manufacturing #KaaS #Learning #AI,3965,103,18,Flagged,2025-12-06
PST0000037,USR015246,Learning Update,"Sharing my learning progress and insights on Governance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Governance #KaaS #Learning #AI,2522,266,47,Approved,2026-02-19
PST0000038,USR015702,Question,"Sharing my learning progress and insights on HR. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#HR #KaaS #Learning #AI,547,349,123,Needs Review,2026-04-09
PST0000039,USR023764,Project Showcase,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,3437,378,103,Approved,2025-12-26
PST0000040,USR044349,Poll,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,2241,425,186,Approved,2026-03-31
PST0000041,USR013265,Achievement,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,926,99,5,Approved,2026-02-06
PST0000042,USR039779,Achievement,"Sharing my learning progress and insights on Quality Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#QualityManagement #KaaS #Learning #AI,2790,317,143,Approved,2026-03-05
PST0000043,USR038419,Learning Update,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,4337,299,3,Approved,2026-04-05
PST0000044,USR008213,Job Opportunity,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,4288,191,144,Approved,2026-05-05
PST0000045,USR049190,Achievement,"Sharing my learning progress and insights on Governance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Governance #KaaS #Learning #AI,4293,124,51,Flagged,2026-04-15
PST0000046,USR036600,Article Share,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,2248,209,125,Flagged,2026-03-17
PST0000047,USR025967,Question,"Sharing my learning progress and insights on Governance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Governance #KaaS #Learning #AI,2206,121,119,Approved,2026-03-26
PST0000048,USR022628,Learning Update,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,3686,289,76,Approved,2026-01-16
PST0000049,USR007771,Learning Update,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,2415,321,39,Approved,2025-12-09
PST0000050,USR005231,Article Share,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,3249,106,193,Flagged,2026-01-02
PST0000051,USR019669,Poll,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,4997,243,57,Approved,2026-01-17
PST0000052,USR016389,Question,"Sharing my learning progress and insights on Quality Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#QualityManagement #KaaS #Learning #AI,768,264,60,Approved,2025-12-25
PST0000053,USR031237,Learning Update,"Sharing my learning progress and insights on Full Stack. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#FullStack #KaaS #Learning #AI,3242,323,13,Approved,2025-11-26
PST0000054,USR024024,Project Showcase,"Sharing my learning progress and insights on Digital Marketing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DigitalMarketing #KaaS #Learning #AI,686,22,186,Needs Review,2026-04-09
PST0000055,USR041832,Learning Update,"Sharing my learning progress and insights on Digital Marketing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DigitalMarketing #KaaS #Learning #AI,1925,332,77,Approved,2026-02-16
PST0000056,USR004725,Job Opportunity,"Sharing my learning progress and insights on Full Stack. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#FullStack #KaaS #Learning #AI,1995,167,136,Needs Review,2026-01-24
PST0000057,USR027337,Article Share,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,877,111,75,Approved,2026-01-24
PST0000058,USR048204,Job Opportunity,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,3882,62,13,Needs Review,2025-12-26
PST0000059,USR012017,Project Showcase,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,1035,136,14,Flagged,2026-02-11
PST0000060,USR010573,Learning Update,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,4258,214,64,Flagged,2026-01-16
PST0000061,USR005285,Article Share,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,2443,394,193,Flagged,2025-11-27
PST0000062,USR044686,Learning Update,"Sharing my learning progress and insights on Finance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Finance #KaaS #Learning #AI,4778,72,191,Approved,2026-04-22
PST0000063,USR012559,Job Opportunity,"Sharing my learning progress and insights on Full Stack. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#FullStack #KaaS #Learning #AI,2625,347,186,Approved,2026-02-14
PST0000064,USR011855,Job Opportunity,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,3122,99,166,Approved,2026-04-27
PST0000065,USR046176,Question,"Sharing my learning progress and insights on Full Stack. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#FullStack #KaaS #Learning #AI,696,381,101,Approved,2025-11-18
PST0000066,USR009742,Poll,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,4302,139,182,Approved,2026-04-10
PST0000067,USR016346,Job Opportunity,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,2488,40,36,Approved,2026-03-07
PST0000068,USR046562,Article Share,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,3362,3,175,Needs Review,2026-03-26
PST0000069,USR049532,Article Share,"Sharing my learning progress and insights on Governance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Governance #KaaS #Learning #AI,3714,200,167,Flagged,2026-04-15
PST0000070,USR027471,Poll,"Sharing my learning progress and insights on HR. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#HR #KaaS #Learning #AI,290,72,21,Needs Review,2026-01-30
PST0000071,USR010326,Achievement,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,2280,148,190,Needs Review,2026-04-11
PST0000072,USR046651,Project Showcase,"Sharing my learning progress and insights on Governance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Governance #KaaS #Learning #AI,544,466,67,Approved,2026-01-15
PST0000073,USR027468,Achievement,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,2306,155,40,Needs Review,2026-01-04
PST0000074,USR000027,Learning Update,"Sharing my learning progress and insights on HR. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#HR #KaaS #Learning #AI,2653,273,152,Needs Review,2026-03-25
PST0000075,USR005195,Project Showcase,"Sharing my learning progress and insights on HR. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#HR #KaaS #Learning #AI,78,466,120,Approved,2026-05-07
PST0000076,USR021053,Achievement,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,1491,26,69,Flagged,2025-12-13
PST0000077,USR048662,Article Share,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,3799,253,111,Flagged,2026-03-10
PST0000078,USR006948,Article Share,"Sharing my learning progress and insights on Quality Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#QualityManagement #KaaS #Learning #AI,596,145,157,Flagged,2026-01-30
PST0000079,USR007327,Project Showcase,"Sharing my learning progress and insights on Digital Marketing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DigitalMarketing #KaaS #Learning #AI,1367,192,135,Approved,2026-01-31
PST0000080,USR017017,Achievement,"Sharing my learning progress and insights on Governance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Governance #KaaS #Learning #AI,2468,10,98,Flagged,2026-02-26
PST0000081,USR024464,Job Opportunity,"Sharing my learning progress and insights on Governance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Governance #KaaS #Learning #AI,2466,424,122,Approved,2026-05-04
PST0000082,USR003308,Article Share,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,1414,487,106,Needs Review,2026-05-13
PST0000083,USR024093,Article Share,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,1757,115,193,Approved,2026-04-21
PST0000084,USR036409,Poll,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,3906,12,141,Approved,2026-04-28
PST0000085,USR008434,Question,"Sharing my learning progress and insights on Full Stack. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#FullStack #KaaS #Learning #AI,3216,337,161,Approved,2025-11-30
PST0000086,USR040061,Achievement,"Sharing my learning progress and insights on Governance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Governance #KaaS #Learning #AI,3729,452,171,Needs Review,2026-05-12
PST0000087,USR023159,Job Opportunity,"Sharing my learning progress and insights on Finance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Finance #KaaS #Learning #AI,2825,72,80,Approved,2026-02-18
PST0000088,USR037007,Article Share,"Sharing my learning progress and insights on Full Stack. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#FullStack #KaaS #Learning #AI,2565,297,16,Approved,2026-01-23
PST0000089,USR024561,Project Showcase,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,3996,345,33,Approved,2026-01-15
PST0000090,USR025641,Poll,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,3874,382,169,Needs Review,2025-12-26
PST0000091,USR014286,Learning Update,"Sharing my learning progress and insights on Manufacturing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Manufacturing #KaaS #Learning #AI,109,204,114,Flagged,2026-04-24
PST0000092,USR023502,Article Share,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,697,307,25,Approved,2026-01-29
PST0000093,USR013814,Project Showcase,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,3825,189,80,Approved,2026-04-16
PST0000094,USR011212,Poll,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,2985,264,153,Flagged,2025-11-23
PST0000095,USR023481,Achievement,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,2756,170,74,Flagged,2026-02-18
PST0000096,USR047851,Job Opportunity,"Sharing my learning progress and insights on HR. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#HR #KaaS #Learning #AI,2693,248,17,Approved,2026-01-05
PST0000097,USR022074,Poll,"Sharing my learning progress and insights on Finance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Finance #KaaS #Learning #AI,135,9,150,Approved,2025-11-27
PST0000098,USR015159,Article Share,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,849,177,176,Approved,2025-12-20
PST0000099,USR036731,Article Share,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,491,151,55,Approved,2026-01-09
PST0000100,USR040823,Project Showcase,"Sharing my learning progress and insights on Full Stack. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#FullStack #KaaS #Learning #AI,3835,287,112,Flagged,2025-12-18
PST0000101,USR049096,Job Opportunity,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,4870,333,193,Flagged,2026-02-19
PST0000102,USR002446,Project Showcase,"Sharing my learning progress and insights on Healthcare. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Healthcare #KaaS #Learning #AI,3934,416,108,Approved,2025-12-20
PST0000103,USR025803,Learning Update,"Sharing my learning progress and insights on Cloud. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cloud #KaaS #Learning #AI,548,155,79,Approved,2026-04-16
PST0000104,USR030789,Project Showcase,"Sharing my learning progress and insights on Quality Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#QualityManagement #KaaS #Learning #AI,1393,177,51,Needs Review,2026-02-13
PST0000105,USR027849,Learning Update,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,1461,41,176,Approved,2025-12-08
PST0000106,USR002350,Job Opportunity,"Sharing my learning progress and insights on Quality Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#QualityManagement #KaaS #Learning #AI,2249,73,153,Approved,2025-12-27
PST0000107,USR005817,Project Showcase,"Sharing my learning progress and insights on Sales. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Sales #KaaS #Learning #AI,2881,141,129,Approved,2026-04-09
PST0000108,USR044645,Job Opportunity,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,943,110,104,Approved,2026-02-12
PST0000109,USR033518,Project Showcase,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,3937,319,67,Needs Review,2026-05-11
PST0000110,USR030060,Achievement,"Sharing my learning progress and insights on Healthcare. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Healthcare #KaaS #Learning #AI,4502,165,154,Approved,2026-01-03
PST0000111,USR025630,Achievement,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,3457,378,50,Flagged,2025-11-21
PST0000112,USR038433,Article Share,"Sharing my learning progress and insights on Manufacturing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Manufacturing #KaaS #Learning #AI,1650,221,197,Approved,2026-02-18
PST0000113,USR005874,Article Share,"Sharing my learning progress and insights on Digital Marketing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DigitalMarketing #KaaS #Learning #AI,4013,193,102,Flagged,2026-01-31
PST0000114,USR034597,Achievement,"Sharing my learning progress and insights on Finance. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Finance #KaaS #Learning #AI,1946,274,48,Approved,2026-04-22
PST0000115,USR042326,Job Opportunity,"Sharing my learning progress and insights on Cybersecurity. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Cybersecurity #KaaS #Learning #AI,822,45,80,Needs Review,2026-03-19
PST0000116,USR016205,Achievement,"Sharing my learning progress and insights on Digital Marketing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DigitalMarketing #KaaS #Learning #AI,1460,444,120,Flagged,2026-05-06
PST0000117,USR024756,Question,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,478,31,173,Approved,2026-03-22
PST0000118,USR033881,Job Opportunity,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,3749,456,200,Approved,2026-02-20
PST0000119,USR017073,Achievement,"Sharing my learning progress and insights on Healthcare. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Healthcare #KaaS #Learning #AI,3932,186,103,Flagged,2026-04-10
PST0000120,USR025672,Question,"Sharing my learning progress and insights on Manufacturing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Manufacturing #KaaS #Learning #AI,4535,148,68,Approved,2025-12-02
PST0000121,USR043269,Poll,"Sharing my learning progress and insights on Data Science. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DataScience #KaaS #Learning #AI,1546,338,52,Needs Review,2026-05-07
PST0000122,USR009174,Poll,"Sharing my learning progress and insights on AI. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#AI #KaaS #Learning #AI,4911,159,154,Approved,2026-03-28
PST0000123,USR043407,Question,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,2382,452,97,Needs Review,2026-02-06
PST0000124,USR025591,Achievement,"Sharing my learning progress and insights on Leadership. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Leadership #KaaS #Learning #AI,3543,284,170,Approved,2026-02-04
PST0000125,USR009746,Poll,"Sharing my learning progress and insights on Project Management. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#ProjectManagement #KaaS #Learning #AI,2630,459,49,Needs Review,2025-12-10
PST0000126,USR039172,Achievement,"Sharing my learning progress and insights on Full Stack. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#FullStack #KaaS #Learning #AI,4054,22,81,Needs Review,2026-01-04
PST0000127,USR048173,Job Opportunity,"Sharing my learning progress and insights on Healthcare. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#Healthcare #KaaS #Learning #AI,3249,263,6,Approved,2025-11-21
PST0000128,USR004039,Job Opportunity,"Sharing my learning progress and insights on Digital Marketing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DigitalMarketing #KaaS #Learning #AI,3580,264,51,Approved,2026-03-12
PST0000129,USR015359,Poll,"Sharing my learning progress and insights on Digital Marketing. This post demonstrates social learning, knowledge sharing, and mini-LinkedIn style engagement.",#DigitalMarketing #KaaS #Learning #AI,926,239,50,Approved,2026-04-12
